,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
173,Shandon Anderson,27,HOU,SG,82,82,29.2,3.2,7.2,.446,0.6,2.1,.271,2.6,5.1,.517,.485,1.7,2.3,.734,0.9,3.2,4.1,2.3,1.0,0.5,1.6,2.5,8.7
174,Chris Porter,22,GSW,SF,51,35,22.5,3.4,8.7,.389,0.0,0.1,.000,3.4,8.6,.393,.389,1.8,2.8,.667,1.7,2.0,3.7,1.2,0.9,0.1,1.2,2.2,8.6
175,Jahidi White,24,WAS,C,68,56,23.7,3.0,6.0,.498,0.0,0.0,.000,3.0,6.0,.499,.498,2.6,4.6,.567,2.6,5.0,7.7,0.3,0.5,1.6,2.0,3.1,8.6
176,P.J. Brown,31,CHH,C,80,79,35.1,3.1,7.0,.444,0.0,0.1,.000,3.1,7.0,.447,.444,2.2,2.6,.852,3.2,6.1,9.3,1.6,1.0,1.2,1.4,3.3,8.5
177,Horace Grant,35,LAL,PF,77,77,31.0,3.4,7.4,.462,0.0,0.0,.000,3.4,7.4,.465,.462,1.7,2.2,.775,2.9,4.2,7.1,1.6,0.7,0.8,0.6,2.4,8.5
178,Michael Olowokandi,25,LAC,C,82,82,25.9,3.8,8.6,.435,0.0,0.0,,3.8,8.6,.435,.435,1.0,1.9,.545,2.0,4.4,6.4,0.6,0.4,1.3,2.1,3.0,8.5
179,George Lynch,30,PHI,SF,82,80,32.3,3.3,7.5,.445,0.2,0.7,.263,3.2,6.8,.463,.457,1.5,2.1,.719,2.4,4.8,7.2,1.7,1.2,0.4,1.3,2.7,8.4
180,Tyrone Nesby,25,2TM,SG,62,34,25.1,3.0,8.5,.357,0.8,2.9,.272,2.3,5.6,.400,.403,1.4,1.7,.802,0.8,2.0,2.8,1.2,0.8,0.3,1.0,2.5,8.3
181,Tyrone Nesby,25,LAC,SG,14,12,23.8,2.9,8.8,.325,0.7,3.3,.217,2.1,5.5,.390,.366,1.3,1.6,.783,1.1,1.9,3.0,0.8,0.7,0.3,0.7,2.0,7.7
182,Tyrone Nesby,25,WAS,SF,48,22,25.5,3.1,8.5,.366,0.8,2.8,.291,2.3,5.7,.403,.414,1.4,1.7,.807,0.7,2.0,2.7,1.4,0.9,0.3,1.1,2.6,8.4
183,Pat Garrity,24,ORL,SF,76,1,20.8,2.9,7.6,.387,1.3,2.9,.433,1.7,4.6,.358,.471,1.1,1.3,.867,0.7,2.1,2.8,0.7,0.5,0.2,0.9,3.2,8.3
184,Bryant Reeves,27,VAN,C,75,48,24.4,3.4,7.4,.460,0.0,0.1,.250,3.4,7.3,.462,.461,1.5,1.9,.796,1.8,4.3,6.0,1.1,0.6,0.7,1.2,3.2,8.3
185,Walt Williams,30,HOU,SF,72,31,22.0,2.8,7.1,.394,1.4,3.4,.395,1.4,3.7,.392,.489,1.3,1.8,.770,0.4,3.0,3.4,1.3,0.4,0.4,1.0,2.1,8.3
186,Stephen Jackson,22,NJN,SF,77,40,21.6,3.2,7.4,.425,0.7,2.0,.335,2.5,5.4,.458,.470,1.3,1.8,.719,0.5,2.2,2.7,1.8,1.1,0.2,1.7,2.2,8.2
187,Derrick Coleman,33,CHH,PF,34,3,20.1,2.9,7.5,.380,0.6,1.5,.392,2.3,6.0,.377,.420,1.9,2.7,.685,1.4,4.1,5.4,1.1,0.3,0.6,1.2,1.6,8.1
188,James Posey,24,DEN,SF,82,82,27.5,3.0,7.2,.412,0.8,2.6,.300,2.2,4.5,.477,.467,1.4,1.7,.816,1.5,3.7,5.3,2.0,1.1,0.5,1.2,2.8,8.1
189,Quentin Richardson,20,LAC,SG,76,28,17.9,3.1,6.9,.442,0.7,2.0,.331,2.4,4.9,.487,.490,1.3,2.1,.627,1.4,2.0,3.4,0.8,0.6,0.1,0.8,1.3,8.1
190,Dana Barros,33,DET,PG,60,0,18.0,3.1,6.9,.444,0.7,1.8,.419,2.3,5.1,.453,.498,1.1,1.3,.850,0.1,1.5,1.6,1.8,0.5,0.0,1.0,1.1,8.0
191,Hubert Davis,30,2TM,PG,66,18,25.6,3.0,6.6,.453,1.2,2.6,.456,1.8,4.0,.450,.543,0.8,0.9,.871,0.4,1.7,2.1,1.7,0.5,0.0,1.2,1.8,7.9
192,Hubert Davis,30,DAL,PG,51,7,24.7,2.7,6.2,.443,1.1,2.6,.436,1.6,3.5,.448,.535,0.7,0.8,.854,0.4,1.8,2.1,1.2,0.6,0.0,1.1,1.8,7.3
193,Hubert Davis,30,WAS,PG,15,11,28.7,3.8,7.9,.479,1.3,2.5,.526,2.5,5.4,.457,.563,1.3,1.4,.905,0.7,1.3,2.0,3.3,0.4,0.0,1.7,1.9,10.2
194,Keon Clark,25,2TM,PF,81,3,21.2,3.1,6.4,.480,0.0,0.0,.000,3.1,6.4,.481,.480,1.8,3.0,.592,1.7,3.7,5.4,0.9,0.4,1.9,1.1,3.0,7.9
195,Keon Clark,25,DEN,PF,35,3,21.5,2.3,5.7,.412,0.0,0.0,,2.3,5.7,.412,.412,1.8,3.0,.600,1.7,3.7,5.3,1.0,0.5,1.3,1.4,2.9,6.5
196,Keon Clark,25,TOR,PF,46,0,21.0,3.6,7.0,.522,0.0,0.0,.000,3.6,6.9,.524,.522,1.7,2.9,.585,1.7,3.7,5.4,0.8,0.3,2.4,0.9,3.1,9.0
197,Felipe LÃ³pez,26,2TM,PG,70,48,22.4,3.0,6.8,.441,0.3,0.7,.365,2.7,6.1,.451,.461,1.6,2.2,.699,0.8,2.6,3.3,1.5,0.9,0.4,1.2,2.2,7.9
198,Felipe LÃ³pez,26,WAS,SG,47,38,23.6,3.0,6.9,.436,0.1,0.6,.207,2.9,6.3,.458,.445,1.9,2.6,.732,0.6,2.8,3.4,1.6,0.9,0.4,1.2,2.3,8.1
199,Felipe LÃ³pez,26,MIN,PG,23,10,19.9,3.0,6.6,.454,0.6,1.0,.565,2.4,5.6,.434,.497,0.8,1.4,.576,1.1,2.1,3.2,1.5,0.9,0.5,1.2,2.0,7.4
200,John Amaechi,30,ORL,C,82,36,20.9,2.9,7.2,.400,0.0,0.1,.000,2.9,7.1,.405,.400,2.1,3.4,.631,0.9,2.3,3.3,0.9,0.3,0.4,1.5,2.1,7.9
201,Sean Elliott,32,SAS,SF,52,34,23.6,2.8,6.5,.434,1.1,2.5,.426,1.8,4.0,.438,.515,1.2,1.6,.714,0.3,2.9,3.3,1.6,0.4,0.5,1.0,1.5,7.9
202,Malik Rose,26,SAS,PF,57,9,21.4,2.8,6.5,.435,0.1,0.3,.176,2.8,6.2,.447,.439,2.0,2.8,.713,1.7,3.7,5.4,0.8,1.0,0.7,1.3,2.6,7.7
203,Nazr Mohammed,23,2TM,C,58,22,15.7,3.0,6.4,.477,0.0,0.0,.000,3.0,6.3,.478,.477,1.5,2.2,.706,2.0,3.3,5.3,0.3,0.5,0.6,1.1,1.9,7.6
204,Nazr Mohammed,23,PHI,C,30,3,6.5,1.4,2.9,.466,0.0,0.0,,1.4,2.9,.466,.466,0.5,0.9,.500,0.6,1.2,1.8,0.1,0.2,0.2,0.3,1.3,3.2
205,Nazr Mohammed,23,ATL,C,28,19,25.6,4.8,10.0,.480,0.0,0.0,.000,4.8,10.0,.482,.480,2.7,3.5,.765,3.5,5.5,9.0,0.6,0.8,1.0,2.0,2.6,12.3
206,Mark Jackson,35,2TM,PG,83,82,31.2,2.9,7.0,.419,0.8,2.5,.338,2.1,4.5,.463,.479,0.9,1.1,.785,0.8,2.9,3.7,8.0,1.0,0.1,2.1,1.7,7.6
207,Mark Jackson,35,TOR,PG,54,54,33.4,3.1,7.5,.422,1.1,3.1,.345,2.1,4.4,.475,.493,1.2,1.4,.842,0.8,2.6,3.4,9.2,1.2,0.1,2.2,1.5,8.5
208,Mark Jackson,35,NYK,PG,29,28,27.1,2.6,6.2,.411,0.4,1.4,.310,2.1,4.8,.442,.447,0.3,0.6,.529,0.7,3.4,4.1,5.6,0.7,0.0,2.0,1.9,5.9
209,Bruce Bowen,29,MIA,SF,82,72,32.7,2.6,7.1,.363,1.3,3.7,.336,1.3,3.3,.394,.452,1.2,2.0,.609,0.5,2.4,3.0,1.6,1.0,0.6,0.9,3.3,7.6
210,Chris Mihm,21,CLE,C,59,43,19.8,2.9,6.6,.442,0.0,0.0,.000,2.9,6.6,.444,.442,1.7,2.1,.794,1.8,2.9,4.7,0.3,0.3,0.9,1.4,2.6,7.6
211,Isaiah Rider,29,LAL,SG,67,6,18.0,3.0,7.0,.426,0.5,1.4,.370,2.5,5.7,.439,.462,1.1,1.2,.855,0.7,1.7,2.3,1.7,0.4,0.1,1.5,1.6,7.6
212,Kenny Anderson,30,BOS,PG,33,28,25.7,2.7,6.9,.388,0.3,1.0,.333,2.3,5.9,.397,.412,1.8,2.2,.831,0.5,1.7,2.2,4.1,1.3,0.1,1.6,1.9,7.5
213,Al Harrington,20,IND,PF,78,38,24.3,3.1,7.0,.444,0.0,0.1,.143,3.1,6.9,.448,.445,1.3,2.0,.656,1.5,3.4,4.9,1.7,0.8,0.2,1.9,2.9,7.5
214,Vitaly Potapenko,25,BOS,C,82,7,23.2,3.0,6.4,.476,0.0,0.0,,3.0,6.4,.476,.476,1.4,1.9,.728,2.5,3.5,6.0,0.8,0.6,0.3,1.3,2.8,7.5
215,Erick Dampier,25,GSW,C,43,26,24.1,2.9,7.3,.401,0.0,0.0,.000,2.9,7.3,.404,.401,1.6,2.9,.532,2.3,3.6,5.8,1.4,0.4,1.3,1.9,2.9,7.4
216,Danny Manning,34,UTA,PF,82,0,15.9,3.0,6.1,.494,0.1,0.3,.250,2.9,5.8,.508,.501,1.2,1.7,.729,0.8,1.8,2.6,1.1,0.6,0.4,1.2,2.7,7.4
217,Eddie Robinson,24,CHH,SF,67,6,17.9,3.2,6.1,.531,0.0,0.1,.500,3.2,6.0,.531,.533,1.0,1.3,.727,0.9,2.1,3.0,0.9,0.7,0.5,0.6,1.0,7.4
218,Vonteego Cummings,24,GSW,PG,66,11,22.7,2.7,7.8,.344,0.7,2.2,.336,2.0,5.7,.348,.391,1.2,1.8,.681,0.7,1.4,2.1,3.4,1.0,0.2,1.4,2.4,7.3
219,Bo Outlaw,29,ORL,PF,80,69,31.7,2.8,4.6,.614,0.0,0.0,.500,2.8,4.6,.615,.615,1.6,2.8,.573,2.6,5.1,7.7,2.8,1.3,1.7,1.8,3.0,7.3
220,Dale Davis,31,POR,C,81,43,26.7,3.0,6.0,.497,0.0,0.0,.000,3.0,6.0,.501,.497,1.2,1.9,.632,2.9,4.6,7.5,1.3,0.5,0.9,0.8,2.5,7.2
221,Bobby Jackson,27,SAC,PG,79,7,20.9,2.9,6.7,.439,0.5,1.3,.375,2.4,5.3,.455,.476,0.8,1.1,.739,0.9,2.2,3.1,2.0,1.1,0.1,1.3,1.8,7.2
222,Terry Porter,37,SAS,PG,80,42,21.0,2.5,5.5,.448,1.1,2.6,.424,1.4,2.9,.468,.547,1.2,1.5,.793,0.3,2.2,2.5,3.1,0.7,0.1,1.3,1.1,7.2
223,Shawn Bradley,28,DAL,C,82,35,24.4,2.7,5.5,.490,0.0,0.1,.167,2.7,5.4,.494,.491,1.7,2.2,.787,2.0,5.5,7.4,0.5,0.4,2.8,1.1,3.1,7.1
224,Jason Caffey,27,MIL,PF,70,33,20.9,2.6,5.2,.488,0.0,0.0,,2.6,5.2,.488,.488,2.0,3.0,.673,1.9,3.1,5.0,0.8,0.5,0.4,1.1,2.6,7.1
225,Wesley Person,29,CLE,SG,44,22,21.8,2.9,6.6,.438,0.8,1.9,.405,2.1,4.7,.452,.497,0.5,0.7,.800,0.3,2.7,3.0,1.5,0.6,0.3,0.9,1.4,7.1
226,Kenny Thomas,23,HOU,PF,74,21,24.6,2.8,6.3,.443,0.3,1.2,.272,2.4,5.0,.485,.470,1.2,1.7,.722,1.6,4.0,5.6,1.0,0.5,0.6,1.6,2.4,7.1
227,Charlie Ward,30,NYK,PG,61,33,24.5,2.5,6.1,.416,1.1,2.9,.383,1.4,3.2,.444,.505,0.9,1.1,.800,0.5,2.1,2.6,4.5,1.1,0.2,1.8,2.2,7.1
228,Dee Brown,32,ORL,PG,7,0,22.1,2.3,6.3,.364,1.7,4.6,.375,0.6,1.7,.333,.500,0.6,0.7,.800,0.0,1.6,1.6,1.7,0.6,0.0,1.0,1.4,6.9
229,Chris Crawford,25,ATL,PF,47,22,19.2,2.6,5.7,.452,0.1,0.5,.273,2.5,5.3,.468,.463,1.4,1.8,.819,0.6,1.7,2.3,0.8,0.4,0.3,1.3,2.5,6.8
230,Shammond Williams,25,SEA,PG,69,6,17.9,2.3,5.3,.438,0.9,1.9,.459,1.4,3.4,.426,.520,1.2,1.4,.875,0.5,1.4,1.9,2.8,0.4,0.1,1.2,1.2,6.8
231,Matt Maloney,29,ATL,PG,55,27,25.5,2.7,6.3,.420,0.9,2.6,.359,1.7,3.7,.461,.493,0.5,0.6,.765,0.3,1.9,2.1,2.8,1.0,0.1,1.3,1.7,6.7
232,Moochie Norris,27,HOU,PG,82,6,20.2,2.2,5.0,.446,0.3,1.1,.281,1.9,4.0,.491,.476,1.8,2.4,.778,0.5,1.9,2.4,3.5,0.8,0.0,1.3,1.0,6.6
233,Eric Williams,28,BOS,SF,81,11,21.5,2.0,5.5,.362,0.6,1.7,.331,1.4,3.8,.375,.413,2.0,2.9,.714,0.8,1.8,2.6,1.4,0.8,0.2,0.9,2.2,6.6
234,Cedric Ceballos,31,2TM,SF,40,0,14.0,2.5,5.7,.441,0.6,1.8,.301,2.0,3.9,.506,.489,0.9,1.1,.860,0.9,1.8,2.7,0.5,0.4,0.2,0.8,1.5,6.5
235,Cedric Ceballos,31,DET,SF,13,0,12.8,2.2,5.5,.394,0.8,3.1,.275,1.3,2.4,.548,.472,0.6,0.8,.800,0.5,1.5,2.0,0.5,0.5,0.2,0.7,1.5,5.8
236,Cedric Ceballos,31,MIA,SF,27,0,14.6,2.7,5.9,.462,0.4,1.2,.333,2.3,4.6,.496,.497,1.1,1.2,.879,1.0,2.0,3.0,0.5,0.4,0.1,0.9,1.6,6.9
237,Mahmoud Abdul-Rauf,31,VAN,PG,41,0,11.9,2.9,6.0,.488,0.1,0.3,.286,2.8,5.7,.500,.496,0.5,0.7,.759,0.1,0.5,0.6,1.9,0.2,0.0,0.6,1.2,6.5
238,Tony Battie,24,BOS,C,40,25,21.1,2.7,5.0,.537,0.0,0.1,.000,2.7,5.0,.545,.537,1.1,1.7,.638,1.8,4.0,5.8,0.4,0.7,1.5,0.9,3.2,6.5
239,Earl Boykins,24,LAC,PG,10,0,14.9,2.5,6.3,.397,0.1,0.8,.125,2.4,5.5,.436,.405,1.4,1.7,.824,0.4,0.7,1.1,3.2,0.5,0.0,0.9,0.9,6.5
240,Ron Harper,37,LAL,PG,47,46,24.2,2.7,5.8,.469,0.4,1.5,.264,2.3,4.2,.543,.504,0.7,1.0,.708,1.0,2.6,3.5,2.4,0.8,0.5,1.3,1.5,6.5
241,Damon Jones,24,VAN,PG,71,10,19.9,2.4,5.9,.409,1.2,3.3,.364,1.2,2.6,.465,.510,0.5,0.7,.712,0.2,1.5,1.7,3.2,0.5,0.0,1.1,0.8,6.5
242,Shawn Kemp,31,POR,PF,68,3,15.9,2.5,6.1,.407,0.1,0.2,.364,2.4,5.9,.408,.412,1.5,1.9,.771,0.9,2.9,3.8,1.0,0.7,0.3,1.5,2.7,6.5
243,Robert Pack,31,DEN,PG,74,11,17.0,2.4,5.8,.425,0.2,0.4,.387,2.3,5.3,.428,.439,1.4,1.9,.766,0.4,1.4,1.9,4.0,0.9,0.0,1.8,1.5,6.5
244,Scot Pollard,25,SAC,C,77,8,21.5,2.4,5.1,.468,0.0,0.0,.000,2.4,5.1,.471,.468,1.7,2.2,.749,2.2,3.8,6.0,0.6,0.6,1.3,0.9,2.7,6.5
245,Anthony Carter,25,MIA,PG,72,6,22.6,2.7,6.7,.406,0.1,0.6,.150,2.6,6.1,.430,.413,0.9,1.4,.631,0.6,1.9,2.5,3.7,1.0,0.1,1.7,2.1,6.4
246,Michael Doleac,23,ORL,C,77,21,18.2,2.9,6.8,.417,0.0,0.0,.000,2.9,6.8,.420,.417,0.6,0.8,.847,0.9,2.6,3.5,0.8,0.5,0.5,0.8,3.1,6.4
247,Tom Gugliotta,31,PHO,PF,57,2,20.3,2.6,6.7,.392,0.1,0.2,.250,2.6,6.5,.397,.396,1.1,1.4,.792,1.3,3.1,4.5,1.0,0.8,0.4,0.9,1.9,6.4
248,Ben Wallace,26,DET,C,80,80,34.5,2.7,5.5,.490,0.0,0.1,.250,2.7,5.4,.492,.491,1.0,3.0,.336,3.8,9.4,13.2,1.5,1.3,2.3,1.5,2.4,6.4
249,Jerome Williams,27,2TM,PF,59,2,20.0,2.3,5.0,.463,0.0,0.1,.000,2.3,4.9,.467,.463,1.7,2.3,.741,2.3,4.2,6.5,0.8,1.0,0.3,1.1,2.1,6.3
250,Jerome Williams,27,DET,PF,33,2,24.4,2.7,6.1,.438,0.0,0.1,.000,2.7,6.0,.442,.438,2.0,2.7,.722,3.0,5.5,8.4,1.0,1.2,0.3,1.4,2.5,7.3
251,Jerome Williams,27,TOR,PF,26,0,14.5,1.8,3.6,.516,0.0,0.0,.000,1.8,3.5,.522,.516,1.3,1.7,.778,1.3,2.7,4.0,0.5,0.7,0.4,0.6,1.7,5.0
252,Brevin Knight,25,2TM,PG,53,43,27.5,2.6,7.0,.375,0.0,0.2,.100,2.6,6.8,.382,.376,1.0,1.2,.818,0.4,2.7,3.2,5.9,1.9,0.1,1.7,2.9,6.3
253,Brevin Knight,25,CLE,PG,6,0,15.5,0.3,2.5,.133,0.0,0.0,,0.3,2.5,.133,.133,0.8,1.0,.833,0.2,1.0,1.2,4.2,1.0,0.2,1.2,2.8,1.5
254,Brevin Knight,25,ATL,PG,47,43,29.0,2.9,7.6,.385,0.0,0.2,.100,2.9,7.4,.393,.386,1.0,1.3,.817,0.5,3.0,3.4,6.1,2.0,0.1,1.8,2.9,6.9
255,Bryce Drew,26,CHI,PG,48,41,27.2,2.6,6.8,.379,0.8,2.2,.381,1.8,4.6,.378,.440,0.3,0.4,.737,0.3,1.2,1.4,3.9,0.7,0.1,1.4,2.1,6.3
256,Khalid El-Amin,21,CHI,PG,50,14,18.7,2.3,6.2,.370,0.6,1.7,.333,1.7,4.5,.383,.415,1.1,1.4,.778,0.4,1.2,1.6,2.9,1.0,0.0,1.1,2.0,6.3
257,Greg Buckner,24,DAL,SG,37,9,22.2,2.3,5.2,.438,0.1,0.2,.286,2.2,5.0,.443,.443,1.6,2.2,.728,1.6,2.6,4.2,1.3,0.9,0.2,0.7,3.2,6.2
258,Matt Geiger,31,PHI,C,35,4,15.5,2.5,6.4,.393,0.0,0.1,.000,2.5,6.3,.396,.393,1.1,1.5,.685,1.4,2.5,4.0,0.4,0.3,0.2,0.7,2.1,6.1
259,Jacque Vaughn,25,UTA,PG,82,0,19.8,2.1,4.8,.433,0.4,1.0,.385,1.7,3.8,.444,.471,1.6,2.0,.780,0.2,1.6,1.8,3.9,0.6,0.0,1.6,1.8,6.1
260,Scott Williams,32,MIL,C,66,31,19.3,2.6,5.5,.474,0.0,0.1,.250,2.6,5.4,.476,.475,0.9,1.1,.857,1.5,4.0,5.5,0.5,0.7,0.5,0.6,2.7,6.1
261,Doug Overton,31,3TM,PG,21,10,22.6,2.5,6.6,.374,0.5,1.7,.306,2.0,4.9,.398,.414,0.5,0.8,.625,0.2,1.7,1.9,3.4,0.4,0.0,1.5,1.8,6.0
262,Doug Overton,31,BOS,PG,7,1,20.6,2.1,6.3,.341,0.1,0.6,.250,2.0,5.7,.350,.352,1.0,1.6,.636,0.4,1.7,2.1,2.7,0.6,0.0,1.9,2.1,5.4
263,Doug Overton,31,CHH,PG,2,0,7.5,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,1.5,1.0,2.0
264,Doug Overton,31,NJN,PG,12,9,26.3,2.9,7.8,.376,0.8,2.7,.313,2.1,5.1,.410,.430,0.3,0.4,.600,0.1,1.9,2.0,4.4,0.3,0.0,1.3,1.7,6.9
265,Dell Curry,36,TOR,SG,71,1,13.5,2.3,5.4,.424,0.9,2.0,.428,1.4,3.3,.422,.505,0.6,0.7,.843,0.2,1.0,1.2,1.1,0.4,0.1,0.5,0.9,6.0
266,A.J. Guyton,22,CHI,PG,33,8,19.1,2.4,5.8,.406,0.8,2.1,.391,1.5,3.7,.415,.477,0.5,0.5,.833,0.3,0.8,1.1,1.9,0.3,0.2,0.7,1.1,6.0
267,Trajan Langdon,24,CLE,SG,65,5,17.2,2.1,4.8,.431,0.8,1.9,.411,1.3,2.9,.444,.513,1.0,1.2,.895,0.2,1.2,1.4,1.2,0.6,0.1,0.8,1.8,6.0
268,Grant Long,34,VAN,PF,66,27,22.8,2.1,4.8,.439,0.1,0.2,.267,2.1,4.6,.447,.445,1.7,2.4,.713,1.2,3.0,4.2,1.3,1.1,0.2,0.9,2.4,6.0
269,David Wingate,37,SEA,SG,1,0,9.0,3.0,3.0,1.000,0.0,0.0,,3.0,3.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0
270,Larry Robinson,33,2TM,PG,34,1,18.6,2.0,5.4,.364,1.3,3.4,.379,0.7,2.0,.338,.484,0.6,0.7,.875,0.7,1.9,2.6,1.1,0.8,0.1,0.7,1.4,5.9
271,Larry Robinson,33,CLE,SG,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
272,Larry Robinson,33,ATL,PG,33,1,19.1,2.0,5.6,.364,1.3,3.5,.379,0.7,2.1,.338,.484,0.6,0.7,.875,0.7,1.9,2.6,1.1,0.8,0.1,0.7,1.4,6.0
273,Keyon Dooling,20,LAC,PG,76,1,16.3,1.9,4.8,.409,0.4,1.1,.350,1.6,3.7,.426,.448,1.6,2.4,.698,0.1,1.1,1.2,2.3,0.5,0.1,1.2,1.4,5.9
274,Adonal Foyle,25,GSW,C,58,37,25.1,2.7,6.5,.416,0.0,0.0,,2.7,6.5,.416,.416,0.5,1.2,.441,2.7,4.3,7.0,0.8,0.5,2.7,1.4,2.3,5.9
275,Dion Glover,22,ATL,SG,57,7,16.3,2.5,5.9,.420,0.2,0.8,.196,2.3,5.1,.455,.433,0.8,1.2,.681,0.7,1.6,2.3,1.2,0.9,0.2,0.9,1.6,5.9
276,Desmond Mason,23,SEA,SF,78,14,19.5,2.4,5.6,.431,0.2,0.9,.269,2.2,4.8,.460,.451,0.9,1.2,.736,0.9,2.3,3.2,0.8,0.5,0.3,0.7,1.9,5.9
277,Milt Palacio,22,BOS,PG,58,6,19.7,2.2,4.6,.472,0.2,0.6,.333,2.0,4.0,.494,.494,1.3,1.6,.848,0.4,1.3,1.8,2.6,0.8,0.0,1.4,1.4,5.9
278,John Wallace,26,DET,SF,40,0,13.2,2.5,5.9,.424,0.1,0.4,.133,2.5,5.5,.443,.428,0.9,1.1,.778,0.6,1.5,2.1,0.6,0.3,0.4,0.9,1.8,5.9
279,Matt Bullard,33,HOU,PF,61,5,16.4,2.1,5.0,.423,1.4,3.5,.404,0.7,1.5,.467,.564,0.2,0.2,.714,0.4,1.8,2.1,0.7,0.2,0.1,0.2,1.2,5.8
280,Emanual Davis,32,SEA,SG,62,39,20.8,2.1,5.1,.418,0.8,2.0,.394,1.3,3.1,.435,.497,0.7,0.9,.818,0.5,2.0,2.5,2.2,1.0,0.2,1.2,1.6,5.8
281,Chris Mullin,37,GSW,SF,20,8,18.7,1.8,5.3,.340,1.0,2.6,.365,0.9,2.7,.315,.429,1.2,1.4,.857,0.5,1.6,2.1,1.0,0.8,0.5,1.0,1.4,5.8
282,Sherman Douglas,34,NJN,PG,59,7,18.5,2.1,5.1,.403,0.1,0.7,.200,1.9,4.5,.433,.416,1.5,1.9,.748,0.4,0.9,1.3,2.4,0.6,0.1,1.3,1.6,5.7
283,Robert Traylor,23,CLE,C,70,7,17.3,2.3,4.6,.497,0.0,0.0,.000,2.3,4.6,.500,.497,1.1,2.0,.567,1.8,2.5,4.3,0.9,0.7,1.1,1.4,2.9,5.7
284,Danny Ferry,34,SAS,SF,80,29,21.1,2.2,4.7,.475,0.9,2.0,.449,1.4,2.7,.493,.568,0.3,0.4,.733,0.7,2.1,2.8,0.9,0.4,0.3,0.6,2.1,5.6
285,Avery Johnson,35,SAS,PG,55,20,23.5,2.4,5.5,.447,0.0,0.1,.167,2.4,5.3,.452,.448,0.7,1.1,.683,0.4,1.2,1.5,4.3,0.6,0.1,1.1,1.6,5.6
286,David Vanterpool,27,WAS,PG,22,0,18.7,2.1,5.0,.418,0.0,0.3,.000,2.1,4.7,.442,.418,1.4,2.3,.600,0.7,1.0,1.7,3.0,1.0,0.1,1.7,2.0,5.5
287,Mateen Cleaves,23,DET,PG,78,8,16.3,2.1,5.1,.400,0.1,0.2,.294,2.0,4.9,.405,.406,1.2,1.8,.708,0.3,1.4,1.7,2.7,0.6,0.0,1.8,2.0,5.4
288,Sean Rooks,31,LAC,C,82,0,18.9,2.1,4.8,.428,0.0,0.0,.500,2.0,4.8,.427,.429,1.3,1.7,.748,1.1,2.6,3.7,0.9,0.4,0.8,0.9,2.4,5.4
289,Calvin Booth,24,2TM,C,55,29,17.0,2.2,4.6,.476,0.0,0.0,,2.2,4.6,.476,.476,1.0,1.4,.679,1.4,3.1,4.5,0.8,0.5,2.0,1.0,2.7,5.3
290,Calvin Booth,24,WAS,C,40,22,16.0,1.9,4.2,.440,0.0,0.0,,1.9,4.2,.440,.440,0.8,1.1,.733,1.3,3.0,4.4,0.6,0.4,2.0,0.9,2.3,4.5
291,Calvin Booth,24,DAL,C,15,7,19.5,3.1,5.6,.548,0.0,0.0,,3.1,5.6,.548,.548,1.3,2.2,.606,1.6,3.2,4.8,1.3,0.8,2.0,1.1,3.7,7.5
292,Rodney Buford,23,PHI,SF,47,0,12.2,2.2,5.1,.432,0.3,0.8,.421,1.9,4.3,.433,.465,0.5,0.6,.828,0.3,1.2,1.6,0.4,0.4,0.1,0.6,1.4,5.3
293,Olden Polynice,36,UTA,C,81,79,20.0,2.5,5.1,.496,0.0,0.0,.000,2.5,5.1,.498,.496,0.2,0.8,.262,1.9,2.7,4.7,0.4,0.3,1.0,1.0,3.0,5.3
294,Brian Shaw,34,LAL,SG,80,28,22.9,2.1,5.1,.399,0.5,1.7,.311,1.5,3.5,.442,.450,0.6,0.8,.797,0.6,3.2,3.8,3.2,0.6,0.3,1.2,2.0,5.3
295,Hedo TÃ¼rkoÄlu,21,SAC,SF,74,7,16.8,1.9,4.5,.412,0.4,1.2,.326,1.5,3.4,.442,.454,1.2,1.5,.777,0.7,2.2,2.8,0.9,0.7,0.3,0.7,1.9,5.3
296,Samaki Walker,24,SAS,PF,61,1,15.8,2.0,4.1,.480,0.0,0.0,.333,2.0,4.1,.482,.482,1.3,2.0,.629,1.1,2.9,4.0,0.5,0.2,0.7,1.1,1.7,5.3
297,Erick Strickland,27,2TM,PG,50,0,16.6,1.6,5.3,.303,0.6,1.9,.316,1.0,3.4,.297,.360,1.4,1.6,.861,0.4,2.2,2.6,1.9,0.9,0.0,1.0,1.8,5.2
298,Erick Strickland,27,NYK,PG,28,0,15.0,1.4,4.7,.305,0.6,1.7,.340,0.9,3.0,.286,.366,0.9,1.0,.857,0.3,1.5,1.9,1.0,0.8,0.0,0.8,1.6,4.3
