Player,Age,Team,Pos,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MPG
Kevin Durant,21,OKC,SF,82,82,9.7,20.3,0.476,1.6,4.3,0.365,8.1,16.1,0.506,0.514,9.2,10.2,0.9,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1,39.5
LeBron James,25,CLE,SF,76,76,10.1,20.1,0.503,1.7,5.1,0.333,8.4,15.0,0.56,0.545,7.8,10.2,0.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,39.0
Carmelo Anthony,25,DEN,SF,69,69,10.0,21.8,0.458,0.9,2.7,0.316,9.1,19.1,0.478,0.478,7.4,8.9,0.83,2.2,4.4,6.6,3.2,1.3,0.4,3.0,3.3,28.2,38.2
Kobe Bryant,31,LAL,SG,73,73,9.8,21.5,0.456,1.4,4.1,0.329,8.5,17.4,0.487,0.488,6.0,7.4,0.811,1.1,4.3,5.4,5.0,1.5,0.3,3.2,2.6,27.0,38.8
Dwyane Wade,28,MIA,SG,77,77,9.3,19.6,0.476,0.9,3.2,0.3,8.4,16.5,0.509,0.5,6.9,9.1,0.761,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6,36.3
Monta Ellis,24,GSW,SG,64,64,9.9,22.0,0.449,1.2,3.6,0.338,8.7,18.4,0.47,0.476,4.6,6.1,0.753,0.7,3.3,4.0,5.3,2.2,0.4,3.8,3.0,25.5,41.4
Dirk Nowitzki,31,DAL,PF,81,80,8.9,18.5,0.481,0.6,1.5,0.421,8.3,17.0,0.487,0.498,6.6,7.2,0.915,1.0,6.7,7.7,2.7,0.9,1.0,1.8,2.6,25.0,37.5
Danny Granger,26,IND,SF,62,62,7.9,18.4,0.428,2.5,7.1,0.361,5.3,11.3,0.471,0.498,5.9,6.9,0.848,1.1,4.4,5.5,2.8,1.5,0.8,2.5,3.0,24.1,36.7
Chris Bosh,25,TOR,C,70,70,8.6,16.5,0.518,0.1,0.3,0.364,8.5,16.2,0.521,0.522,6.7,8.4,0.797,2.9,7.9,10.8,2.4,0.6,1.0,2.4,2.4,24.0,36.1
Amar'e Stoudemire,27,PHO,PF,82,82,8.6,15.4,0.557,0.0,0.1,0.167,8.6,15.3,0.559,0.557,5.9,7.7,0.771,2.8,6.1,8.9,1.0,0.6,1.0,2.6,3.4,23.1,34.6
Gilbert Arenas,28,WAS,PG,32,32,7.9,19.3,0.411,2.0,5.7,0.348,5.9,13.6,0.437,0.462,4.8,6.5,0.739,0.5,3.6,4.2,7.2,1.3,0.3,3.7,3.0,22.6,36.5
Brandon Roy,25,POR,SG,65,65,7.6,16.0,0.473,1.1,3.4,0.33,6.4,12.6,0.512,0.508,5.3,6.8,0.78,1.1,3.3,4.4,4.7,0.9,0.2,2.0,2.1,21.5,37.2
Joe Johnson,28,ATL,SG,76,76,8.4,18.2,0.458,1.7,4.6,0.369,6.7,13.6,0.488,0.505,2.9,3.5,0.818,1.0,3.7,4.6,4.9,1.1,0.1,1.9,1.9,21.3,38.0
Zach Randolph,28,MEM,PF,81,81,8.0,16.5,0.488,0.2,0.6,0.288,7.9,15.9,0.496,0.494,4.5,5.7,0.778,4.1,7.7,11.7,1.8,1.0,0.4,2.1,2.8,20.8,37.7
Derrick Rose,21,CHI,PG,78,78,8.6,17.6,0.489,0.2,0.8,0.267,8.4,16.8,0.5,0.495,3.3,4.3,0.766,0.8,2.9,3.8,6.0,0.7,0.3,2.8,1.2,20.8,36.8
Kevin Martin,26,SAC,SG,22,21,6.1,15.4,0.398,1.8,5.0,0.355,4.4,10.4,0.419,0.456,5.8,7.0,0.819,0.9,3.4,4.3,2.6,1.0,0.2,1.6,2.3,19.8,35.2
Kevin Martin,26,HOU,SG,24,22,6.4,14.8,0.435,1.3,4.2,0.31,5.1,10.6,0.484,0.479,7.1,7.7,0.924,0.4,2.5,2.9,2.3,1.0,0.1,2.4,1.9,21.3,35.8
Stephen Jackson,31,GSW,PF,9,9,6.2,14.8,0.421,1.2,4.4,0.275,5.0,10.3,0.484,0.462,2.9,4.1,0.703,0.7,3.2,3.9,4.7,1.6,0.7,2.9,1.8,16.6,33.3
Stephen Jackson,31,CHA,SG,72,72,7.6,17.8,0.423,1.6,4.9,0.334,5.9,12.9,0.457,0.469,4.3,5.5,0.786,1.0,4.1,5.1,3.6,1.6,0.5,3.2,2.5,21.1,39.3
David Lee,26,NYK,C,81,81,8.5,15.5,0.545,0.0,0.1,0.0,8.5,15.4,0.549,0.545,3.3,4.1,0.812,2.8,8.9,11.7,3.6,1.0,0.5,2.3,3.2,20.2,37.3
Tyreke Evans,20,SAC,SG,72,72,7.4,16.2,0.458,0.5,2.0,0.255,6.9,14.2,0.485,0.473,4.8,6.5,0.748,0.9,4.4,5.3,5.8,1.5,0.4,3.0,2.8,20.1,37.2
Corey Maggette,30,GSW,PF,70,49,6.5,12.7,0.516,0.2,0.7,0.26,6.3,11.9,0.531,0.523,6.6,7.9,0.835,1.3,4.0,5.3,2.5,0.7,0.1,2.4,3.3,19.8,29.7
Aaron Brooks,25,HOU,PG,82,82,7.0,16.2,0.432,2.5,6.4,0.398,4.5,9.8,0.454,0.511,3.0,3.6,0.822,0.7,2.0,2.6,5.3,0.8,0.2,2.8,2.4,19.6,35.6
Rudy Gay,23,MEM,SF,80,80,7.5,16.1,0.466,0.8,2.5,0.327,6.7,13.6,0.492,0.491,3.8,5.0,0.753,1.4,4.5,5.9,1.9,1.5,0.8,2.1,2.5,19.6,39.7
Chauncey Billups,33,DEN,PG,73,73,5.5,13.2,0.418,2.2,5.6,0.386,3.4,7.6,0.441,0.499,6.4,7.0,0.91,0.3,2.8,3.1,5.6,1.1,0.1,2.4,2.1,19.5,34.1
Carlos Boozer,28,UTA,PF,78,78,7.9,14.1,0.562,0.0,0.0,,7.9,14.1,0.562,0.562,3.7,4.9,0.742,2.3,8.9,11.2,3.2,1.1,0.5,2.7,3.5,19.5,34.3
David West,29,NOH,PF,81,81,7.6,15.1,0.505,0.1,0.3,0.259,7.6,14.8,0.51,0.508,3.7,4.2,0.865,2.0,5.4,7.5,3.0,0.9,0.7,2.1,2.9,19.0,36.4
Brook Lopez,21,NJN,C,82,82,6.9,13.8,0.499,0.0,0.0,0.0,6.9,13.7,0.5,0.499,5.1,6.2,0.817,3.3,5.4,8.6,2.3,0.7,1.7,2.5,3.1,18.8,36.9
Antawn Jamison,33,WAS,PF,41,41,7.7,17.1,0.45,1.4,4.1,0.345,6.3,13.0,0.483,0.491,3.7,5.3,0.7,2.4,6.4,8.8,1.3,1.0,0.2,1.5,2.7,20.5,38.9
Antawn Jamison,33,CLE,PF,25,23,6.5,13.4,0.485,1.1,3.2,0.342,5.4,10.3,0.529,0.525,1.7,3.3,0.506,1.5,6.2,7.7,1.3,1.1,0.5,1.2,2.7,15.8,32.4
Chris Paul,24,NOH,PG,45,45,7.0,14.2,0.493,1.2,2.8,0.409,5.8,11.3,0.514,0.534,3.6,4.2,0.847,0.4,3.8,4.2,10.7,2.1,0.2,2.5,2.6,18.7,38.0
Deron Williams,25,UTA,PG,76,76,6.5,13.9,0.469,1.3,3.4,0.371,5.2,10.4,0.501,0.515,4.4,5.5,0.801,0.7,3.3,4.0,10.5,1.3,0.2,3.3,2.7,18.7,36.9
Chris Kaman,27,LAC,C,76,76,7.8,15.8,0.49,0.0,0.1,0.0,7.8,15.7,0.492,0.49,3.0,4.0,0.749,2.4,6.8,9.3,1.6,0.5,1.2,2.9,2.8,18.5,34.3
Pau Gasol,29,LAL,C,65,65,7.0,13.0,0.536,0.0,0.1,0.0,7.0,12.9,0.539,0.536,4.4,5.6,0.79,3.7,7.6,11.3,3.4,0.6,1.7,2.2,2.3,18.3,37.0
Dwight Howard,24,ORL,C,82,82,6.2,10.2,0.612,0.0,0.1,0.0,6.2,10.1,0.617,0.612,5.9,10.0,0.592,3.5,9.7,13.2,1.8,0.9,2.8,3.3,3.5,18.3,34.7
Paul Pierce,32,BOS,SF,71,71,5.8,12.2,0.472,1.5,3.7,0.414,4.2,8.5,0.497,0.535,5.2,6.1,0.852,0.5,3.8,4.4,3.1,1.2,0.4,2.3,2.8,18.3,34.0
Gerald Wallace,27,CHA,SF,76,76,6.0,12.4,0.484,0.7,1.8,0.371,5.3,10.6,0.503,0.511,5.6,7.2,0.776,2.0,8.1,10.0,2.1,1.5,1.1,2.3,2.6,18.2,41.0
Richard Hamilton,31,DET,SG,46,46,6.4,15.6,0.409,0.9,3.0,0.297,5.5,12.6,0.435,0.437,4.4,5.2,0.846,0.7,2.0,2.7,4.4,0.7,0.1,2.5,2.5,18.1,33.7
Jamal Crawford,29,ATL,SG,79,0,6.3,14.0,0.449,2.1,5.4,0.382,4.2,8.6,0.491,0.523,3.4,4.0,0.857,0.4,2.1,2.5,3.0,0.8,0.2,1.7,1.7,18.0,31.1
LaMarcus Aldridge,24,POR,PF,78,78,7.4,15.0,0.495,0.1,0.2,0.313,7.4,14.8,0.498,0.497,2.9,3.9,0.757,2.5,5.6,8.0,2.1,0.9,0.6,1.3,3.0,17.9,37.5
Tim Duncan,33,SAS,C,78,77,7.2,13.9,0.518,0.0,0.1,0.182,7.2,13.7,0.522,0.519,3.5,4.8,0.725,2.8,7.3,10.1,3.2,0.6,1.5,1.8,1.9,17.9,31.3
Al Harrington,29,NYK,PF,72,15,6.2,14.3,0.435,1.9,5.7,0.342,4.3,8.6,0.496,0.503,3.3,4.4,0.757,1.2,4.4,5.6,1.5,0.9,0.4,1.8,2.9,17.7,30.5
Luol Deng,24,CHI,SF,70,69,6.8,14.5,0.466,0.5,1.2,0.386,6.3,13.3,0.474,0.482,3.6,4.7,0.764,1.9,5.4,7.3,2.0,0.9,0.9,1.9,1.8,17.6,37.9
Stephen Curry,21,GSW,PG,80,77,6.6,14.3,0.462,2.1,4.8,0.437,4.5,9.5,0.474,0.535,2.2,2.5,0.885,0.6,3.9,4.5,5.9,1.9,0.2,3.0,3.2,17.5,36.2
O.J. Mayo,22,MEM,SG,82,82,6.6,14.4,0.458,1.7,4.3,0.383,5.0,10.1,0.49,0.516,2.6,3.2,0.809,0.7,3.0,3.8,3.0,1.2,0.2,2.1,2.1,17.5,38.0
