Player,Age,Team,Pos,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MPG
Shaquille O'Neal,22,ORL,C,79,79,11.8,20.2,0.583,0.0,0.1,0.0,11.8,20.1,0.585,0.583,5.8,10.8,0.533,4.2,7.3,11.4,2.7,0.9,2.4,2.6,3.3,29.3,37.0
Hakeem Olajuwon,32,HOU,C,72,72,11.1,21.5,0.517,0.0,0.2,0.188,11.0,21.2,0.52,0.517,5.6,7.5,0.756,2.4,8.4,10.8,3.5,1.8,3.4,3.3,3.5,27.8,39.6
David Robinson,29,SAS,C,81,81,9.7,18.4,0.53,0.1,0.2,0.3,9.7,18.1,0.533,0.532,8.1,10.5,0.774,2.9,7.9,10.8,2.9,1.7,3.2,2.9,2.8,27.6,38.0
Michael Jordan,31,CHI,SG,17,17,9.8,23.8,0.411,0.9,1.9,0.5,8.8,21.9,0.403,0.431,6.4,8.0,0.801,1.5,5.4,6.9,5.3,1.8,0.8,2.1,2.8,26.9,39.3
Karl Malone,31,UTA,PF,82,82,10.1,18.9,0.536,0.1,0.5,0.268,10.0,18.4,0.543,0.54,6.3,8.5,0.742,1.9,8.7,10.6,3.5,1.6,1.0,2.9,3.3,26.7,38.1
Jim Jackson,24,DAL,SG,51,51,9.5,20.1,0.472,0.7,2.2,0.318,8.8,18.0,0.49,0.489,6.0,7.5,0.805,2.4,2.7,5.1,3.7,0.5,0.2,3.1,1.8,25.7,38.9
Jamal Mashburn,22,DAL,SF,80,80,8.5,19.6,0.436,1.4,4.3,0.328,7.1,15.3,0.466,0.472,5.6,7.6,0.739,1.5,2.7,4.1,3.7,1.0,0.1,2.9,2.4,24.1,37.3
Patrick Ewing,32,NYK,C,79,79,9.2,18.4,0.503,0.1,0.3,0.286,9.2,18.1,0.506,0.505,5.3,7.1,0.75,2.0,9.0,11.0,2.7,0.9,2.0,3.2,3.4,23.9,37.0
Charles Barkley,31,PHO,PF,68,66,8.1,16.8,0.486,1.1,3.2,0.338,7.1,13.6,0.521,0.518,5.6,7.5,0.748,3.0,8.1,11.1,4.1,1.6,0.7,2.2,3.0,23.0,35.0
Mitch Richmond,29,SAC,SG,82,82,8.1,18.3,0.446,1.9,5.2,0.368,6.2,13.1,0.477,0.498,4.6,5.4,0.843,0.8,3.5,4.4,3.8,1.1,0.4,2.9,2.8,22.8,38.7
Glen Rice,27,MIA,SF,82,82,8.1,17.1,0.475,2.3,5.5,0.41,5.9,11.6,0.506,0.541,3.8,4.5,0.855,1.2,3.4,4.6,2.3,1.4,0.2,1.9,2.5,22.3,36.8
Glenn Robinson,22,MIL,SF,80,76,8.0,17.6,0.451,1.1,3.4,0.321,6.9,14.3,0.482,0.482,5.0,6.2,0.796,2.1,4.3,6.4,2.5,1.4,0.3,3.9,2.9,21.9,37.0
Clyde Drexler,32,POR,SG,41,41,7.4,17.4,0.428,2.1,5.9,0.363,5.3,11.5,0.462,0.489,5.0,6.0,0.835,2.0,3.7,5.7,5.1,1.8,0.5,2.4,2.9,22.0,34.8
Clyde Drexler,32,HOU,SG,35,34,7.6,15.0,0.506,1.7,4.8,0.357,5.9,10.2,0.575,0.563,4.5,5.5,0.809,1.9,5.1,7.0,4.4,1.8,0.7,2.5,2.5,21.4,37.1
Cedric Ceballos,25,LAL,SF,58,54,8.6,16.8,0.509,1.0,2.5,0.397,7.6,14.3,0.528,0.538,3.6,5.0,0.716,2.9,5.1,8.0,1.8,1.0,0.3,2.5,2.3,21.7,35.0
Scottie Pippen,29,CHI,SF,79,79,8.0,16.7,0.48,1.4,4.0,0.345,6.6,12.7,0.523,0.522,4.0,5.6,0.716,2.2,5.9,8.1,5.2,2.9,1.1,3.4,3.0,21.4,38.2
Alonzo Mourning,24,CHH,C,77,77,7.4,14.3,0.519,0.1,0.4,0.324,7.3,13.9,0.525,0.524,6.4,8.4,0.761,2.6,7.3,9.9,1.4,0.6,2.9,3.1,3.6,21.3,38.2
Clifford Robinson,28,POR,SF,75,73,8.0,17.6,0.452,1.9,5.1,0.371,6.1,12.5,0.486,0.506,3.5,5.1,0.694,2.0,3.6,5.6,2.6,1.1,1.1,2.1,3.2,21.3,36.3
Anfernee Hardaway,23,ORL,PG,77,77,7.6,14.8,0.512,1.1,3.2,0.349,6.5,11.6,0.558,0.55,4.6,6.0,0.769,1.8,2.6,4.4,7.2,1.7,0.3,3.4,2.1,20.9,37.7
Dana Barros,27,PHI,PG,82,82,7.0,14.2,0.49,2.4,5.2,0.464,4.6,9.0,0.505,0.575,4.2,4.7,0.899,0.3,3.0,3.3,7.5,1.8,0.0,3.0,1.9,20.6,40.5
Gary Payton,26,SEA,PG,82,82,8.4,16.4,0.509,0.9,2.8,0.302,7.5,13.6,0.553,0.535,3.0,4.2,0.716,1.3,2.1,3.4,7.1,2.5,0.2,2.5,2.5,20.6,36.8
Latrell Sprewell,24,GSW,SG,69,69,7.1,17.0,0.418,1.3,4.7,0.276,5.8,12.2,0.473,0.457,5.1,6.5,0.781,0.8,2.9,3.7,4.0,1.6,0.7,3.3,1.6,20.6,40.2
Derrick Coleman,27,NJN,PF,56,54,6.6,15.6,0.424,0.5,2.1,0.233,6.1,13.5,0.454,0.44,6.7,8.8,0.767,3.0,7.6,10.6,3.3,0.6,1.7,3.1,2.9,20.5,37.6
Isaiah Rider,23,MIN,SG,75,67,7.4,16.7,0.447,1.9,5.3,0.351,5.6,11.4,0.491,0.502,3.7,4.5,0.817,1.2,2.1,3.3,3.3,0.9,0.3,3.1,2.6,20.4,35.3
Tim Hardaway,28,GSW,PG,62,62,6.9,16.2,0.427,2.7,7.2,0.378,4.2,9.1,0.465,0.51,3.5,4.6,0.76,0.7,2.3,3.1,9.3,1.4,0.2,3.5,2.5,20.1,37.4
Chris Webber,21,WSB,PF,54,52,8.6,17.4,0.495,0.7,2.7,0.276,7.9,14.7,0.535,0.516,2.2,4.3,0.502,3.7,5.9,9.6,4.7,1.5,1.6,3.1,3.4,20.1,38.3
Grant Hill,22,DET,SF,70,69,7.3,15.2,0.477,0.1,0.4,0.148,7.2,14.8,0.486,0.479,5.3,7.3,0.732,1.8,4.6,6.4,5.0,1.8,0.9,2.9,2.9,19.9,38.3
Reggie Miller,29,IND,SG,81,81,6.2,13.5,0.462,2.4,5.8,0.415,3.8,7.7,0.498,0.552,4.7,5.3,0.897,0.4,2.2,2.6,3.0,1.2,0.2,1.9,1.9,19.6,32.9
Detlef Schrempf,32,SEA,SF,82,82,6.4,12.2,0.523,1.1,2.2,0.514,5.2,10.0,0.525,0.569,5.3,6.4,0.839,1.6,4.5,6.2,3.8,1.1,0.4,2.1,3.1,19.2,35.2
Chris Mullin,31,GSW,SF,25,23,6.8,13.9,0.489,1.7,3.7,0.452,5.1,10.2,0.502,0.549,3.8,4.3,0.879,1.0,3.6,4.6,5.0,1.5,0.8,3.7,2.1,19.0,35.6
Rod Strickland,28,POR,PG,64,61,6.9,14.8,0.466,0.7,1.9,0.374,6.2,12.9,0.48,0.49,4.4,5.9,0.745,1.1,3.8,5.0,8.8,1.9,0.1,3.3,1.8,18.9,35.4
Larry Johnson,25,CHH,PF,81,81,7.2,15.0,0.48,1.0,2.6,0.386,6.2,12.5,0.5,0.513,3.4,4.4,0.774,2.3,4.9,7.2,4.6,1.0,0.3,2.6,2.1,18.8,39.9
Shawn Kemp,25,SEA,PF,82,79,6.6,12.2,0.547,0.0,0.1,0.286,6.6,12.1,0.548,0.548,5.3,7.1,0.749,3.9,7.0,10.9,1.8,1.2,1.5,3.2,4.1,18.7,32.7
Jeff Malone,33,PHI,SG,19,19,7.6,14.9,0.507,0.6,1.5,0.393,7.0,13.5,0.52,0.526,2.7,3.1,0.864,0.6,2.3,2.9,1.5,0.8,0.0,1.5,1.8,18.4,34.7
