Player,Age,Team,Pos,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MPG
Kobe Bryant,28,LAL,SG,77,77,10.6,22.8,0.463,1.8,5.2,0.344,8.8,17.6,0.497,0.502,8.7,10.0,0.868,1.0,4.7,5.7,5.4,1.4,0.5,3.3,2.7,31.6,40.8
Carmelo Anthony,22,DEN,SF,65,65,10.6,22.4,0.476,0.6,2.3,0.268,10.0,20.1,0.499,0.489,7.1,8.7,0.808,2.2,3.8,6.0,3.8,1.2,0.4,3.6,3.1,28.9,38.2
Gilbert Arenas,25,WAS,PG,74,73,8.7,20.9,0.418,2.8,7.9,0.351,6.0,13.0,0.459,0.484,8.2,9.7,0.844,0.8,3.7,4.6,6.0,1.9,0.2,3.2,3.4,28.4,39.8
Dwyane Wade,25,MIA,SG,51,50,9.3,18.9,0.491,0.4,1.5,0.266,8.8,17.3,0.511,0.502,8.5,10.5,0.807,1.0,3.7,4.7,7.5,2.1,1.2,4.2,2.3,27.4,37.9
LeBron James,22,CLE,SF,78,78,9.9,20.8,0.476,1.3,4.0,0.319,8.6,16.8,0.513,0.507,6.3,9.0,0.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,40.9
Michael Redd,27,MIL,SF,53,53,9.0,19.3,0.465,2.2,5.8,0.382,6.8,13.6,0.501,0.522,6.5,7.8,0.829,0.8,2.9,3.7,2.3,1.2,0.2,2.3,1.5,26.7,38.4
Ray Allen,31,SEA,SG,55,55,9.2,21.0,0.438,3.0,8.1,0.372,6.2,12.9,0.479,0.51,5.1,5.6,0.903,1.0,3.5,4.5,4.1,1.5,0.2,2.8,2.1,26.4,40.3
Allen Iverson,31,PHI,PG,15,15,10.1,24.4,0.413,0.8,3.5,0.226,9.3,20.9,0.444,0.429,10.3,11.6,0.885,0.5,2.3,2.7,7.3,2.2,0.1,4.4,1.4,31.2,42.7
Allen Iverson,31,DEN,SG,50,49,8.6,18.9,0.454,1.0,2.9,0.347,7.6,16.1,0.473,0.48,6.6,8.7,0.759,0.3,2.7,3.0,7.2,1.8,0.2,4.0,1.5,24.8,42.4
Vince Carter,30,NJN,SG,82,82,8.9,19.5,0.454,1.9,5.3,0.357,7.0,14.2,0.491,0.503,5.6,7.0,0.802,1.4,4.6,6.0,4.8,1.0,0.4,2.6,3.2,25.2,38.1
