Player,Age,Team,Pos,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MPG
Carmelo Anthony,28,NYK,PF,67,67,10.0,22.2,0.449,2.3,6.2,0.379,7.6,16.0,0.476,0.502,6.3,7.6,0.83,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7,37.0
Kevin Durant,24,OKC,SF,81,81,9.0,17.7,0.51,1.7,4.1,0.416,7.3,13.6,0.539,0.559,8.4,9.3,0.905,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1,38.5
Kobe Bryant,34,LAL,SG,78,78,9.5,20.4,0.463,1.7,5.2,0.324,7.8,15.2,0.51,0.504,6.7,8.0,0.839,0.8,4.7,5.6,6.0,1.4,0.3,3.7,2.2,27.3,38.6
LeBron James,28,MIA,PF,76,76,10.1,17.8,0.565,1.4,3.3,0.406,8.7,14.5,0.602,0.603,5.3,7.0,0.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,37.9
James Harden,23,HOU,SG,78,78,7.5,17.1,0.438,2.3,6.2,0.368,5.2,10.9,0.477,0.504,8.6,10.2,0.851,0.8,4.1,4.9,5.8,1.8,0.5,3.8,2.3,25.9,38.3
Russell Westbrook,24,OKC,PG,82,82,8.2,18.7,0.438,1.2,3.7,0.323,7.0,15.1,0.466,0.47,5.6,7.0,0.8,1.4,3.9,5.2,7.4,1.8,0.3,3.3,2.3,23.2,34.9
Stephen Curry,24,GSW,PG,78,78,8.0,17.8,0.451,3.5,7.7,0.453,4.5,10.1,0.449,0.549,3.4,3.7,0.9,0.8,3.3,4.0,6.9,1.6,0.2,3.1,2.5,22.9,38.2
Kyrie Irving,20,CLE,PG,59,59,8.2,18.1,0.452,1.8,4.7,0.391,6.4,13.4,0.474,0.503,4.2,4.9,0.855,0.6,3.1,3.7,5.9,1.5,0.4,3.2,2.5,22.5,34.7
Dwyane Wade,31,MIA,SG,69,69,8.2,15.8,0.521,0.2,1.0,0.258,8.0,14.9,0.537,0.528,4.5,6.2,0.725,1.2,3.7,5.0,5.1,1.9,0.8,2.8,2.0,21.2,34.7
LaMarcus Aldridge,27,POR,PF,74,74,8.6,17.8,0.484,0.0,0.2,0.143,8.6,17.6,0.488,0.485,3.8,4.7,0.81,2.4,6.7,9.1,2.6,0.8,1.2,1.9,2.5,21.1,37.7
Tony Parker,30,SAS,PG,66,66,7.9,15.1,0.522,0.4,1.0,0.353,7.5,14.0,0.534,0.534,4.2,5.0,0.845,0.3,2.7,3.0,7.6,0.8,0.1,2.6,1.4,20.3,32.9
Brook Lopez,24,BRK,C,74,74,7.7,14.8,0.521,0.0,0.0,0.0,7.7,14.8,0.522,0.521,4.0,5.3,0.758,2.8,4.1,6.9,0.9,0.4,2.1,1.8,2.1,19.4,30.4
Monta Ellis,27,MIL,SG,82,82,7.3,17.5,0.416,1.1,4.0,0.287,6.1,13.5,0.454,0.448,3.5,4.6,0.773,0.5,3.3,3.9,6.0,2.1,0.4,3.1,2.0,19.2,37.5
Damian Lillard,22,POR,PG,82,82,6.7,15.7,0.429,2.3,6.1,0.368,4.5,9.6,0.469,0.501,3.3,3.9,0.844,0.5,2.6,3.1,6.5,0.9,0.2,3.0,2.1,19.0,38.6
Deron Williams,28,BRK,PG,78,78,6.3,14.4,0.44,2.2,5.7,0.378,4.2,8.7,0.482,0.516,4.1,4.7,0.859,0.4,2.6,3.0,7.7,1.0,0.4,2.8,2.5,18.9,36.4
Paul Pierce,35,BOS,SF,77,77,6.2,14.2,0.436,1.9,5.0,0.38,4.3,9.2,0.466,0.502,4.3,5.5,0.787,0.6,5.7,6.3,4.8,1.1,0.4,2.8,2.7,18.6,33.4
David Lee,29,GSW,PF,79,79,7.6,14.7,0.519,0.0,0.1,0.0,7.6,14.6,0.521,0.519,3.2,4.1,0.797,2.8,8.5,11.2,3.5,0.8,0.3,2.6,3.1,18.5,36.8
John Wall,22,WAS,PG,49,42,6.6,15.0,0.441,0.2,0.9,0.267,6.4,14.1,0.452,0.449,5.0,6.2,0.804,0.7,3.3,4.0,7.6,1.3,0.8,3.2,2.4,18.5,32.7
Kevin Love,24,MIN,PF,18,18,5.8,16.6,0.352,1.1,5.1,0.217,4.7,11.4,0.413,0.386,5.6,7.9,0.704,3.6,10.4,14.0,2.3,0.7,0.5,2.2,1.9,18.3,34.3
Rudy Gay,26,MEM,SF,42,42,6.7,16.4,0.408,1.0,3.1,0.31,5.7,13.3,0.431,0.438,2.9,3.7,0.776,1.3,4.6,5.9,2.6,1.3,0.7,2.5,2.1,17.2,36.7
Rudy Gay,26,TOR,SF,33,32,7.3,17.1,0.425,1.3,4.0,0.336,5.9,13.2,0.452,0.464,3.6,4.2,0.856,1.3,5.1,6.4,2.8,1.7,0.7,2.8,2.9,19.5,34.7
DeMar DeRozan,23,TOR,SG,82,82,6.7,15.0,0.445,0.4,1.5,0.283,6.3,13.5,0.463,0.459,4.3,5.2,0.831,0.6,3.3,3.9,2.5,0.9,0.3,1.8,2.1,18.1,36.7
J.R. Smith,27,NYK,SG,80,0,6.6,15.6,0.422,1.9,5.5,0.356,4.7,10.2,0.458,0.484,3.0,3.9,0.762,0.8,4.5,5.3,2.7,1.3,0.3,1.7,2.8,18.1,33.5
Blake Griffin,23,LAC,PF,80,80,7.2,13.4,0.538,0.1,0.4,0.179,7.2,13.1,0.548,0.541,3.5,5.3,0.66,2.3,6.0,8.3,3.7,1.2,0.6,2.3,2.9,18.0,32.5
Tim Duncan,36,SAS,C,69,69,7.1,14.1,0.502,0.0,0.1,0.286,7.1,14.0,0.504,0.503,3.6,4.3,0.817,1.8,8.1,9.9,2.7,0.7,2.7,2.1,1.7,17.8,30.1
Al Jefferson,28,UTA,C,78,78,7.8,15.8,0.494,0.0,0.2,0.118,7.8,15.6,0.5,0.495,2.1,2.8,0.77,2.0,7.2,9.2,2.1,1.0,1.1,1.3,2.2,17.8,33.1
Jrue Holiday,22,PHI,PG,78,78,7.1,16.5,0.431,1.2,3.2,0.368,5.9,13.3,0.446,0.466,2.3,3.1,0.752,1.1,3.1,4.2,8.0,1.6,0.4,3.7,2.2,17.7,37.5
Kemba Walker,22,CHA,PG,82,82,6.4,15.2,0.423,1.3,4.0,0.322,5.1,11.1,0.459,0.466,3.6,4.5,0.798,0.7,2.7,3.5,5.7,2.0,0.4,2.4,1.9,17.7,34.9
Brandon Jennings,23,MIL,PG,80,80,6.2,15.6,0.399,2.2,5.8,0.375,4.1,9.8,0.412,0.468,2.9,3.5,0.819,0.7,2.3,3.1,6.5,1.6,0.1,2.5,1.9,17.5,36.2
Josh Smith,27,ATL,PF,76,76,7.2,15.6,0.465,0.8,2.6,0.303,6.4,12.9,0.498,0.491,2.2,4.2,0.517,1.8,6.7,8.4,4.2,1.2,1.8,3.0,2.3,17.5,35.3
Paul George,22,IND,SF,79,79,6.2,14.9,0.419,2.2,5.9,0.362,4.1,8.9,0.457,0.491,2.8,3.5,0.807,1.1,6.5,7.6,4.1,1.8,0.6,2.9,2.9,17.4,37.6
Al Horford,26,ATL,C,74,74,7.8,14.3,0.543,0.0,0.1,0.5,7.7,14.2,0.544,0.545,1.8,2.8,0.644,2.6,7.6,10.2,3.2,1.1,1.1,2.0,2.2,17.4,37.2
Dirk Nowitzki,34,DAL,PF,53,47,6.5,13.7,0.471,1.2,3.0,0.414,5.2,10.8,0.487,0.516,3.1,3.6,0.86,0.7,6.2,6.8,2.5,0.7,0.7,1.3,1.8,17.3,31.3
DeMarcus Cousins,22,SAC,C,75,74,6.4,13.8,0.465,0.1,0.3,0.182,6.4,13.5,0.471,0.467,4.2,5.6,0.738,3.0,7.0,9.9,2.7,1.4,0.7,3.0,3.6,17.1,30.5
Dwight Howard,27,LAL,C,76,76,6.2,10.7,0.578,0.0,0.1,0.167,6.2,10.6,0.581,0.579,4.7,9.5,0.492,3.3,9.1,12.4,1.4,1.1,2.4,3.0,3.8,17.1,35.8
David West,32,IND,PF,73,73,6.9,13.8,0.498,0.1,0.3,0.211,6.8,13.6,0.503,0.5,3.3,4.3,0.768,2.0,5.7,7.7,2.9,1.0,0.9,2.2,2.0,17.1,33.4
Eric Gordon,24,NOH,SG,42,40,5.6,13.9,0.402,1.3,4.1,0.324,4.3,9.8,0.436,0.45,4.5,5.3,0.842,0.2,1.6,1.8,3.3,1.1,0.2,2.8,1.8,17.0,30.1
Chris Paul,27,LAC,PG,70,70,5.9,12.2,0.481,1.1,3.3,0.328,4.8,8.9,0.538,0.526,4.1,4.6,0.885,0.8,3.0,3.7,9.7,2.4,0.1,2.3,2.0,16.9,33.4
Ty Lawson,25,DEN,PG,73,71,6.1,13.3,0.461,1.2,3.2,0.366,5.0,10.1,0.491,0.505,3.2,4.3,0.756,0.5,2.2,2.7,6.9,1.5,0.1,2.5,1.8,16.7,34.4
Chris Bosh,28,MIA,C,74,74,6.6,12.3,0.535,0.3,1.0,0.284,6.3,11.3,0.557,0.546,3.3,4.1,0.798,1.8,5.0,6.8,1.7,0.9,1.4,1.7,2.3,16.6,33.2
Klay Thompson,22,GSW,SG,82,82,6.2,14.7,0.422,2.6,6.4,0.401,3.6,8.3,0.437,0.509,1.6,1.9,0.841,0.4,3.3,3.7,2.2,1.0,0.5,1.9,2.9,16.6,35.8
Arron Afflalo,27,ORL,SF,64,64,6.2,14.1,0.439,1.1,3.8,0.3,5.1,10.4,0.489,0.478,3.0,3.5,0.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5,36.0
Jamal Crawford,32,LAC,SG,76,0,5.9,13.4,0.438,2.0,5.2,0.376,3.9,8.2,0.477,0.511,2.8,3.3,0.871,0.3,1.4,1.7,2.5,1.0,0.2,1.9,0.9,16.5,29.3
Luol Deng,27,CHI,SF,75,75,6.2,14.6,0.426,1.0,3.1,0.322,5.2,11.5,0.455,0.461,3.1,3.8,0.816,2.2,4.2,6.3,3.0,1.1,0.4,1.9,1.4,16.5,38.7
Joe Johnson,31,BRK,SG,72,72,6.2,14.6,0.423,2.1,5.5,0.375,4.1,9.1,0.452,0.493,1.8,2.2,0.82,0.7,2.3,3.0,3.5,0.7,0.2,1.7,1.4,16.3,36.7
Nikola PekoviÄ,27,MIN,C,62,62,6.2,12.0,0.52,0.0,0.0,,6.2,12.0,0.52,0.52,3.9,5.2,0.744,3.7,5.1,8.8,0.9,0.7,0.8,1.6,2.3,16.3,31.6
Ryan Anderson,24,NOH,PF,81,22,5.8,13.8,0.423,2.6,6.9,0.382,3.2,6.9,0.464,0.519,1.9,2.2,0.844,2.4,4.0,6.4,1.2,0.5,0.4,1.2,2.2,16.2,30.9
Carlos Boozer,31,CHI,PF,79,79,6.9,14.4,0.477,0.0,0.0,0.0,6.9,14.4,0.478,0.477,2.4,3.3,0.731,2.2,7.5,9.8,2.3,0.8,0.4,2.2,3.0,16.2,32.2
Danilo Gallinari,24,DEN,SF,71,71,5.1,12.3,0.418,1.9,5.1,0.373,3.2,7.2,0.45,0.495,4.0,4.9,0.822,0.9,4.3,5.2,2.5,0.9,0.5,1.6,1.8,16.2,32.5
Greg Monroe,22,DET,C,81,81,6.3,13.1,0.486,0.0,0.0,0.0,6.3,13.0,0.488,0.486,3.3,4.8,0.689,2.9,6.7,9.6,3.5,1.3,0.7,2.9,2.3,16.0,33.2
Gerald Henderson,25,CHA,SG,68,58,5.6,12.6,0.447,0.5,1.5,0.33,5.1,11.1,0.462,0.466,3.8,4.6,0.824,0.8,2.9,3.7,2.6,1.0,0.5,1.6,2.2,15.5,31.4
Chandler Parsons,24,HOU,SF,76,76,6.0,12.4,0.486,2.0,5.2,0.385,4.0,7.2,0.559,0.567,1.5,2.0,0.729,1.0,4.3,5.3,3.5,1.0,0.4,1.9,1.9,15.5,36.3
Zach Randolph,31,MEM,PF,76,75,6.2,13.5,0.46,0.0,0.3,0.087,6.2,13.2,0.469,0.461,3.0,3.9,0.75,4.1,7.2,11.2,1.4,0.8,0.4,2.0,2.4,15.4,34.3
O.J. Mayo,25,DAL,SG,82,82,5.6,12.5,0.449,1.7,4.3,0.407,3.9,8.3,0.471,0.519,2.3,2.8,0.82,0.4,3.1,3.5,4.4,1.1,0.3,2.6,2.4,15.3,35.5
Tyreke Evans,23,SAC,SG,65,61,5.6,11.8,0.478,0.7,2.0,0.338,4.9,9.7,0.508,0.508,3.2,4.2,0.775,0.9,3.6,4.4,3.5,1.4,0.4,2.0,2.0,15.2,31.0
Glen Davis,27,ORL,PF,34,33,6.3,14.1,0.448,0.0,0.1,0.0,6.3,14.0,0.45,0.448,2.5,3.4,0.718,1.6,5.6,7.2,2.1,0.9,0.6,1.9,2.6,15.1,31.3
Kevin Garnett,36,BOS,C,68,68,6.2,12.5,0.496,0.0,0.2,0.125,6.2,12.3,0.504,0.498,2.3,3.0,0.786,1.1,6.7,7.8,2.3,1.1,0.9,1.6,2.3,14.8,29.7
Wesley Matthews,26,POR,SG,69,69,5.1,11.7,0.436,2.4,6.2,0.398,2.7,5.6,0.478,0.54,2.2,2.7,0.797,0.5,2.3,2.8,2.5,1.3,0.3,1.6,2.5,14.8,34.8
Thaddeus Young,24,PHI,PF,76,76,6.7,12.6,0.531,0.0,0.1,0.125,6.7,12.5,0.535,0.532,1.4,2.5,0.574,2.4,5.1,7.5,1.6,1.8,0.7,1.2,2.5,14.8,34.6
Goran DragiÄ,26,PHO,PG,77,77,5.2,11.8,0.443,1.1,3.6,0.319,4.1,8.2,0.497,0.491,3.2,4.2,0.748,0.8,2.3,3.1,7.4,1.6,0.3,2.8,2.8,14.7,33.5
Jameer Nelson,30,ORL,PG,56,56,5.5,13.9,0.392,2.2,6.3,0.341,3.3,7.6,0.435,0.47,1.6,1.8,0.873,0.4,3.3,3.7,7.4,1.3,0.1,2.8,2.9,14.7,35.3
Dion Waiters,21,CLE,SG,61,48,5.5,13.4,0.412,1.0,3.3,0.31,4.5,10.0,0.446,0.451,2.6,3.5,0.746,0.4,2.1,2.4,3.0,1.0,0.3,2.0,1.9,14.7,28.8
Mike Conley,25,MEM,PG,80,80,5.2,11.8,0.44,1.3,3.7,0.362,3.9,8.1,0.476,0.497,2.9,3.5,0.83,0.5,2.3,2.8,6.1,2.2,0.3,2.4,2.1,14.6,34.5
Paul Millsap,27,UTA,PF,78,78,5.5,11.2,0.49,0.2,0.5,0.333,5.3,10.7,0.498,0.498,3.4,4.6,0.742,2.3,4.8,7.1,2.6,1.3,1.0,1.8,3.0,14.6,30.4
Jeff Teague,24,ATL,PG,80,78,5.5,12.2,0.451,1.1,3.1,0.359,4.4,9.1,0.482,0.496,2.5,2.8,0.881,0.3,1.9,2.3,7.2,1.5,0.4,2.9,2.3,14.6,32.9
Ramon Sessions,26,CHA,SG,61,0,4.5,11.1,0.408,0.5,1.8,0.308,4.0,9.3,0.427,0.433,4.8,5.7,0.839,0.4,2.3,2.8,3.8,0.8,0.1,1.7,1.5,14.4,27.1
