,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Jason Kidd,25,PHO,PG,50,50,2060,22.5,.527,.176,.342,4.8,14.5,9.6,44.0,3.0,0.7,15.7,21.4,5.8,2.3,8.1,.188,4.4,1.1,5.5,3.9
1,Michael Finley,25,DAL,SF,50,50,2051,19.2,.517,.155,.258,3.8,10.7,7.2,19.9,1.7,0.5,9.9,24.2,4.4,0.9,5.4,.126,2.8,-0.9,2.0,2.1
2,Shareef Abdur-Rahim,22,VAN,SF,50,50,2021,20.7,.530,.040,.492,6.5,15.4,10.9,17.6,1.8,2.0,14.6,28.9,3.7,0.9,4.6,.108,2.9,-0.9,2.0,2.1
3,Scottie Pippen,33,HOU,SF,50,50,2011,16.8,.530,.351,.303,3.9,14.2,9.4,24.4,2.6,1.3,18.8,19.7,2.5,2.3,4.9,.116,1.4,1.1,2.5,2.3
4,Gary Payton,30,SEA,PG,50,50,2008,23.1,.519,.304,.299,3.5,10.6,7.0,41.3,2.9,0.4,12.9,27.1,6.0,1.2,7.2,.172,5.1,0.0,5.1,3.6
5,Allen Iverson,23,PHI,SG,48,48,1990,22.2,.508,.188,.449,3.8,10.1,6.9,24.2,3.0,0.3,11.7,32.6,4.3,2.9,7.2,.173,5.1,0.6,5.7,3.9
6,Tim Duncan,22,SAS,PF,50,50,1963,23.2,.541,.008,.424,9.7,22.2,16.3,12.1,1.2,4.4,12.7,27.2,4.0,4.7,8.7,.213,2.7,1.8,4.5,3.2
7,Anfernee Hardaway,27,ORL,SG,50,50,1944,16.7,.488,.195,.294,4.3,12.8,8.5,25.1,3.1,0.9,15.6,22.4,1.6,3.4,5.0,.122,0.8,2.0,2.8,2.3
8,Antonio McDyess,24,DEN,C,50,50,1937,21.7,.515,.010,.383,9.7,22.8,16.0,8.7,2.0,4.2,11.8,27.3,2.9,1.3,4.2,.105,1.4,-0.7,0.7,1.3
9,Mitch Richmond,33,WAS,SG,50,50,1912,15.5,.527,.275,.365,1.8,8.9,5.2,11.4,1.8,0.4,12.7,25.7,2.2,1.0,3.3,.082,0.9,-1.2,-0.2,0.9
10,Kobe Bryant,20,LAL,SG,50,50,1896,18.9,.549,.130,.375,3.3,12.7,8.1,17.5,2.0,1.9,14.7,25.3,3.7,1.5,5.2,.130,2.1,-0.1,2.1,1.9
11,Stephon Marbury,21,2TM,PG,49,49,1895,20.8,.519,.223,.315,2.0,6.6,4.2,44.0,1.6,0.3,14.0,27.2,4.5,0.8,5.3,.134,4.3,-1.6,2.7,2.2
12,Stephon Marbury,21,MIN,PG,18,18,661,18.8,.466,.128,.286,2.7,8.3,5.2,43.8,2.3,0.6,13.8,26.4,0.8,0.6,1.3,.097,2.8,-0.5,2.3,0.7
13,Stephon Marbury,21,NJN,PG,31,31,1234,21.8,.547,.273,.330,1.7,5.7,3.6,44.1,1.3,0.2,14.1,27.6,3.8,0.2,4.0,.155,5.1,-2.3,2.9,1.5
14,Eddie Jones,27,2TM,SF,50,50,1881,18.5,.546,.239,.455,3.2,8.7,6.1,17.3,3.5,2.2,11.5,20.0,3.8,2.2,6.0,.153,2.3,2.1,4.4,3.0
15,Eddie Jones,27,LAL,SG,20,20,724,16.4,.517,.282,.352,3.3,8.8,6.1,13.3,2.5,2.4,7.4,17.6,1.5,0.6,2.0,.134,2.1,1.3,3.5,1.0
16,Eddie Jones,27,CHH,SF,30,30,1157,19.8,.563,.212,.519,3.2,8.6,6.0,19.8,4.2,2.1,13.7,21.5,2.4,1.6,4.0,.165,2.4,2.6,5.0,2.0
17,Grant Hill,26,DET,SF,50,50,1852,23.9,.543,.017,.473,4.3,19.3,11.7,33.6,2.4,1.2,16.0,29.6,4.5,2.8,7.3,.189,4.8,1.4,6.2,3.8
18,David Wesley,28,CHH,PG,50,50,1848,16.9,.561,.312,.350,1.5,8.4,5.1,31.3,2.9,0.4,18.4,19.8,3.1,1.7,4.8,.124,1.5,0.2,1.7,1.7
19,Karl Malone,35,UTA,PF,49,49,1832,25.6,.577,.001,.602,7.7,22.1,15.4,23.0,1.9,1.2,13.8,30.5,6.2,3.4,9.6,.252,5.3,1.4,6.7,4.0
20,Dikembe Mutombo,32,ATL,C,50,50,1829,18.8,.584,.000,.843,12.4,26.5,19.5,5.7,0.5,6.0,16.9,14.3,3.7,4.2,7.9,.206,1.3,2.5,3.7,2.6
21,Allan Houston,27,NYK,SG,50,50,1815,13.1,.515,.199,.277,1.3,8.3,4.9,15.0,1.1,0.4,14.1,24.3,1.1,1.8,2.9,.078,0.0,-0.7,-0.7,0.6
22,Jason Williams,23,SAC,PG,50,50,1805,12.8,.483,.524,.170,0.8,8.1,4.5,25.2,2.6,0.0,17.7,19.1,0.7,1.3,2.1,.055,-0.6,-0.3,-1.0,0.5
23,Nick Van Exel,27,DEN,PG,50,50,1802,16.7,.488,.304,.228,0.9,6.6,3.6,38.6,1.2,0.1,12.5,24.3,3.2,-1.0,2.2,.058,2.6,-3.4,-0.8,0.6
24,Reggie Miller,33,IND,SG,50,50,1787,18.7,.590,.410,.368,1.7,7.2,4.5,11.4,1.2,0.4,8.9,22.9,6.0,0.4,6.4,.172,4.3,-1.2,3.2,2.3
25,Hakeem Olajuwon,36,HOU,C,50,50,1784,23.1,.559,.018,.375,7.4,22.8,15.7,9.5,2.5,4.8,14.1,25.9,3.2,3.3,6.5,.175,1.4,1.8,3.2,2.3
26,Kevin Garnett,22,MIN,PF,47,47,1780,22.4,.493,.016,.229,9.7,22.0,15.4,21.3,2.3,3.5,12.0,27.8,2.4,3.0,5.4,.146,3.6,1.7,5.3,3.3
27,Tim Hardaway,32,MIA,PG,48,48,1772,18.8,.511,.414,.198,1.1,8.7,5.2,39.6,1.8,0.3,13.8,26.5,3.4,1.9,5.4,.146,4.2,-0.9,3.3,2.4
28,Bryon Russell,28,UTA,SF,50,50,1770,14.1,.572,.314,.365,4.8,12.9,9.2,7.3,2.4,0.6,12.3,16.7,2.9,2.7,5.6,.151,0.4,1.2,1.5,1.6
29,Doug Christie,28,TOR,SG,50,50,1768,16.9,.501,.248,.378,3.8,9.8,6.8,19.4,3.5,1.1,13.6,22.5,2.5,1.7,4.2,.113,1.0,0.5,1.5,1.6
30,Detlef Schrempf,36,SEA,SF,50,39,1765,18.4,.573,.157,.443,5.0,19.4,12.1,18.0,1.2,1.1,13.6,19.5,4.7,1.1,5.8,.158,2.1,-0.1,2.0,1.8
31,Mookie Blaylock,31,ATL,PG,48,48,1763,16.7,.463,.386,.140,3.0,11.8,7.4,31.7,3.2,0.4,14.3,21.5,1.5,3.2,4.7,.127,2.1,1.9,4.0,2.7
32,Vlade Divac,30,SAC,C,50,50,1761,18.0,.533,.077,.458,8.4,21.5,15.0,19.2,1.2,1.8,16.4,19.4,3.1,2.1,5.2,.142,1.2,0.9,2.2,1.8
33,Vince Carter,22,TOR,SF,50,49,1760,19.6,.516,.086,.350,6.1,12.6,9.3,17.2,1.7,3.3,11.1,25.6,3.6,1.4,5.0,.136,3.1,-0.4,2.8,2.1
34,Mike Bibby,20,VAN,PG,50,50,1758,14.8,.487,.122,.279,2.0,7.2,4.6,35.1,2.4,0.2,17.7,21.5,1.1,0.2,1.3,.035,-0.2,-1.6,-1.8,0.1
35,Lindsey Hunter,28,DET,PG,49,49,1755,13.9,.517,.292,.170,1.8,9.9,5.9,19.7,2.7,0.4,14.0,17.7,2.0,2.0,4.0,.109,0.1,1.1,1.1,1.4
36,Alonzo Mourning,28,MIA,C,46,46,1753,24.6,.563,.003,.667,12.3,22.0,17.5,8.7,1.1,7.7,14.5,27.1,4.0,3.9,7.9,.216,2.5,2.2,4.7,3.0
37,Clifford Robinson,32,PHO,SF,50,35,1740,18.3,.559,.221,.372,4.5,10.8,7.6,12.8,2.3,2.6,10.7,21.8,3.6,1.7,5.3,.146,2.2,0.6,2.8,2.1
38,Ray Allen,23,MIL,SG,50,50,1719,18.9,.564,.309,.290,4.1,10.7,7.4,18.8,1.7,0.3,13.9,24.5,4.2,1.1,5.2,.146,3.5,-1.0,2.4,1.9
39,Chris Webber,25,SAC,PF,42,42,1719,19.5,.491,.044,.224,9.2,24.2,16.7,17.8,1.7,3.3,14.8,24.9,1.0,2.7,3.6,.102,0.8,1.1,1.9,1.7
40,Eric Snow,25,PHI,PG,48,48,1716,12.9,.499,.060,.431,1.7,9.5,5.5,29.5,3.2,0.0,21.1,13.9,1.3,2.5,3.8,.105,-1.7,1.6,-0.1,0.8
