Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Adam Morrison,24,LAL,SF,8,0,44,2.9,0.388,0.333,0.167,5.2,15.2,10.3,9.2,0.0,0.0,18.9,15.9,-0.1,0.0,0.0,-0.045,-6.5,-2.7,-9.2,-0.1
Jamaal Magloire,30,MIA,C,55,12,709,10.6,0.505,0.0,0.458,13.7,23.8,18.7,4.6,0.8,2.9,16.9,12.5,0.4,0.9,1.3,0.089,-4.2,-0.3,-4.5,-0.4
Devean George,31,DAL,SF,43,17,708,7.0,0.485,0.535,0.155,4.1,8.5,6.3,3.0,1.7,1.1,10.1,10.9,0.1,0.6,0.6,0.042,-3.1,0.3,-2.8,-0.1
J.J. Hickson,20,CLE,C,62,0,705,12.5,0.548,0.0,0.345,9.1,18.4,13.9,2.1,1.1,3.4,16.8,18.0,0.2,1.3,1.5,0.101,-3.4,0.2,-3.2,-0.2
Josh Powell,26,LAL,PF,60,1,703,9.9,0.479,0.0,0.209,11.6,16.7,14.1,5.6,0.7,1.9,16.3,19.5,-0.3,0.9,0.6,0.043,-4.6,-1.7,-6.4,-0.8
Matt Harpring,32,UTA,SG,63,2,693,12.3,0.508,0.008,0.299,8.1,13.1,10.6,6.4,2.2,1.0,9.6,19.5,0.4,0.8,1.2,0.086,-2.8,0.0,-2.8,-0.2
Brandan Wright,21,GSW,PF,39,23,688,18.7,0.57,0.016,0.346,9.8,15.0,12.4,4.9,1.6,3.7,7.5,19.0,1.4,0.4,1.9,0.131,0.8,-0.7,0.1,0.4
Stephen Graham,26,IND,SG,52,6,684,8.5,0.498,0.258,0.242,3.4,12.2,7.7,7.3,0.7,0.4,13.7,20.9,-0.4,0.4,0.0,0.001,-4.0,-2.0,-6.0,-0.7
Fabricio Oberto,33,SAS,C,54,11,677,10.6,0.595,0.01,0.337,11.6,13.4,12.5,12.9,0.6,1.2,24.1,11.3,0.8,0.8,1.7,0.119,-3.2,1.0,-2.2,0.0
Solomon Jones,24,ATL,C,63,0,675,12.0,0.655,0.018,0.667,9.1,15.6,12.3,3.4,0.6,3.9,15.8,11.8,1.2,0.7,1.9,0.138,-3.2,0.5,-2.7,-0.1
Jerryd Bayless,20,POR,PG,53,0,655,8.2,0.487,0.143,0.545,1.5,9.4,5.4,18.2,1.4,0.2,19.3,20.9,-0.2,0.5,0.3,0.019,-4.3,-0.7,-5.0,-0.5
Damien Wilkins,29,OKC,SG,41,14,636,8.3,0.467,0.338,0.216,3.6,9.2,6.3,9.1,1.8,0.8,13.7,18.8,-0.4,0.4,0.0,0.002,-3.8,-0.9,-4.7,-0.4
Walter Herrmann,29,DET,SF,59,0,630,11.4,0.514,0.58,0.121,5.2,15.1,10.1,5.6,0.6,0.5,7.2,17.8,0.5,0.5,1.0,0.074,0.0,-1.4,-1.4,0.1
James Jones,28,MIA,SF,40,1,630,8.4,0.52,0.644,0.208,2.3,9.6,5.9,4.7,1.0,1.8,6.9,13.0,0.4,0.5,0.9,0.065,-2.1,-0.7,-2.7,-0.1
Matt Carroll,28,CHA,SG,34,10,475,7.0,0.475,0.326,0.138,1.3,12.9,7.2,8.4,2.1,0.9,15.1,17.1,-0.5,0.6,0.1,0.015,-4.5,1.3,-3.3,-0.2
Matt Carroll,28,DAL,SG,21,0,141,0.5,0.351,0.242,0.182,1.6,9.7,5.7,2.9,1.1,0.5,16.4,13.9,-0.3,0.1,-0.2,-0.084,-7.9,-2.0,-9.9,-0.3
Robin Lopez,20,PHO,C,60,7,614,11.6,0.566,0.007,0.496,10.3,12.1,11.2,1.8,0.9,4.9,14.4,14.0,0.6,0.4,1.1,0.083,-3.1,-0.3,-3.4,-0.2
Marko JariÄ,30,MEM,SG,53,0,605,7.3,0.417,0.193,0.283,4.6,8.6,6.6,19.0,2.6,1.5,23.1,16.4,-0.9,0.5,-0.4,-0.03,-4.3,0.0,-4.3,-0.4
Chris Douglas-Roberts,22,NJN,SG,44,3,585,12.2,0.531,0.068,0.352,2.8,7.4,5.1,14.8,1.1,1.0,13.2,18.7,0.4,0.2,0.6,0.046,-1.3,-1.2,-2.5,-0.1
Malik Allen,30,MIL,PF,49,3,579,7.3,0.435,0.006,0.124,6.8,14.5,10.5,9.5,0.6,1.7,10.0,15.4,-0.2,0.5,0.3,0.024,-4.2,-0.2,-4.5,-0.4
Theo Ratliff,35,PHI,C,46,0,579,11.2,0.56,0.0,0.547,9.4,17.1,13.2,2.2,1.6,6.6,15.0,7.4,0.5,0.9,1.4,0.115,-2.5,2.1,-0.4,0.2
Kosta Koufos,19,UTA,C,48,7,565,15.2,0.54,0.0,0.276,10.6,18.6,14.6,5.7,1.1,4.3,11.1,18.5,0.6,0.7,1.3,0.112,-1.3,-0.1,-1.4,0.1
Acie Law,24,ATL,PG,55,1,560,10.6,0.49,0.209,0.432,1.3,10.9,6.1,23.4,1.1,0.4,14.9,16.3,0.3,0.4,0.7,0.062,-2.2,-0.6,-2.9,-0.1
Johan Petro,23,OKC,C,22,12,342,9.3,0.426,0.009,0.133,8.9,23.3,16.0,2.8,2.4,1.1,11.1,17.4,-0.3,0.5,0.1,0.019,-5.0,0.4,-4.6,-0.2
Johan Petro,23,DEN,C,27,10,217,6.4,0.434,0.016,0.222,8.3,25.0,16.9,7.1,0.7,3.6,15.8,16.9,-0.2,0.3,0.1,0.017,-7.5,0.8,-6.7,-0.3
Tyronn Lue,31,MIL,PG,30,0,392,10.6,0.559,0.378,0.134,1.7,9.2,5.3,18.8,0.8,0.0,14.3,16.8,0.4,0.2,0.6,0.073,-0.5,-0.5,-1.0,0.1
Tyronn Lue,31,ORL,PG,14,0,129,9.4,0.474,0.395,0.07,0.0,9.4,4.8,17.8,0.8,0.0,4.3,16.6,0.1,0.2,0.3,0.093,-1.9,1.1,-0.8,0.0
Morris Peterson,31,NOH,SG,43,9,515,10.7,0.499,0.464,0.104,3.1,16.6,9.9,5.2,1.6,0.3,7.3,19.3,0.0,0.6,0.6,0.058,-1.5,-0.6,-2.1,0.0
Shelden Williams,25,SAC,PF,30,0,305,12.2,0.521,0.022,0.472,9.5,20.4,14.9,4.2,2.0,2.4,19.5,19.6,-0.1,0.2,0.1,0.014,-3.2,-1.6,-4.8,-0.2
Shelden Williams,25,MIN,PF,15,0,207,16.0,0.479,0.0,0.309,13.1,30.0,21.2,3.2,2.5,3.0,9.4,18.6,0.1,0.3,0.4,0.098,-2.2,0.5,-1.7,0.0
Brian Scalabrine,30,BOS,C,39,8,504,7.4,0.558,0.535,0.158,1.8,9.9,6.0,5.3,0.7,1.6,9.0,12.4,0.4,0.7,1.1,0.105,-2.5,1.1,-1.5,0.1
Luther Head,26,HOU,PG,22,4,322,9.8,0.491,0.376,0.158,1.1,8.4,4.9,17.4,1.0,0.2,12.9,17.9,0.0,0.3,0.4,0.058,-1.7,-0.6,-2.3,0.0
Luther Head,26,MIA,SG,10,0,176,10.2,0.462,0.372,0.186,2.0,15.1,8.5,19.5,3.3,0.5,16.2,14.8,0.0,0.3,0.2,0.059,-3.7,2.2,-1.5,0.0
Mike Dunleavy,28,IND,SG,18,14,495,14.4,0.52,0.388,0.28,3.1,12.1,7.6,14.2,1.2,1.3,12.7,26.3,0.1,0.4,0.5,0.048,0.5,-1.4,-1.0,0.1
Shannon Brown,23,CHA,SG,30,0,341,12.1,0.529,0.228,0.244,2.9,5.8,4.4,14.8,2.9,1.2,17.6,22.9,-0.1,0.4,0.3,0.041,-1.8,1.1,-0.7,0.1
Shannon Brown,23,LAL,SG,18,0,136,15.0,0.631,0.214,0.214,2.5,13.9,8.3,10.9,1.5,1.1,16.4,17.8,0.2,0.2,0.4,0.131,0.8,0.4,1.2,0.1
