,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Kevin Durant,23,OKC,SF,66,66,2546,26.2,.610,.265,.386,1.9,20.4,11.8,17.5,1.8,2.2,14.0,31.3,8.5,3.7,12.2,.230,6.2,0.8,7.0,5.8
1,Pau Gasol,31,LAL,PF,65,65,2430,20.4,.547,.029,.285,8.8,21.8,15.6,17.2,0.8,2.6,12.1,22.1,5.2,3.1,8.3,.165,2.6,0.8,3.4,3.3
2,Rudy Gay,25,MEM,SF,65,65,2422,17.8,.521,.162,.246,6.1,14.1,10.1,10.8,2.1,1.8,12.0,25.1,2.8,3.3,6.0,.120,1.7,0.2,1.9,2.4
3,Blake Griffin,22,LAC,PF,66,66,2392,23.4,.557,.016,.458,10.7,25.1,17.8,16.6,1.2,1.7,10.9,26.6,6.6,2.6,9.2,.185,3.9,-0.2,3.7,3.4
4,John Wall,21,WAS,PG,66,66,2386,17.7,.502,.047,.450,2.2,12.0,7.1,36.9,2.1,1.8,19.2,24.9,1.7,1.9,3.5,.071,1.3,-0.6,0.7,1.6
5,Marc Gasol,27,MEM,C,65,65,2370,18.4,.541,.016,.428,5.8,23.1,14.3,14.1,1.4,4.1,12.1,19.1,4.2,4.0,8.2,.166,1.0,2.1,3.1,3.1
6,Brandon Jennings,22,MIL,PG,66,66,2331,18.4,.514,.346,.213,2.3,8.6,5.3,26.7,2.3,0.7,10.6,25.9,3.8,1.8,5.5,.114,3.0,-0.3,2.7,2.8
7,Russell Westbrook,23,OKC,PG,66,66,2331,22.9,.538,.155,.326,5.0,9.4,7.4,29.8,2.5,0.7,14.2,32.7,5.5,2.4,7.9,.163,3.7,-0.7,3.0,3.0
8,Josh Smith,26,ATL,PF,66,66,2329,21.1,.499,.099,.292,6.9,24.8,15.9,20.6,2.1,3.8,11.7,28.4,1.9,4.9,6.8,.139,1.7,2.1,3.8,3.3
9,LeBron James,27,MIA,SF,62,62,2326,30.7,.605,.127,.429,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,10.0,4.5,14.5,.298,8.2,2.7,10.9,7.6
10,Kobe Bryant,33,LAL,SG,58,58,2232,21.9,.527,.215,.338,3.5,11.8,7.8,23.7,1.6,0.6,11.7,35.7,4.2,2.0,6.2,.132,4.2,-0.9,3.3,2.9
11,Wesley Matthews,25,POR,SG,66,53,2228,14.1,.539,.442,.224,2.9,9.0,5.9,8.3,2.3,0.5,8.0,18.7,3.4,1.4,4.8,.104,0.3,0.1,0.3,1.3
12,Andre Iguodala,28,PHI,SF,62,62,2209,17.6,.537,.305,.310,2.8,16.4,9.6,23.7,2.6,1.0,13.8,17.7,3.1,4.2,7.3,.158,1.5,2.5,4.0,3.3
13,DeMar DeRozan,22,TOR,SG,63,63,2206,12.8,.503,.102,.367,2.1,9.0,5.6,10.8,1.2,0.6,10.5,25.0,1.1,1.4,2.5,.054,-1.4,-1.3,-2.7,-0.4
14,Jrue Holiday,21,PHI,PG,65,65,2196,14.7,.496,.205,.144,2.9,7.9,5.4,21.6,2.5,0.6,13.2,21.8,0.9,3.3,4.2,.092,-0.5,0.9,0.4,1.3
15,Jeff Teague,23,ATL,PG,66,66,2183,15.8,.551,.222,.275,1.1,7.4,4.3,24.3,2.6,1.3,15.1,19.1,3.0,3.0,6.0,.131,0.0,1.3,1.3,1.8
16,Chris Paul,26,LAC,PG,60,60,2181,27.0,.581,.239,.339,2.3,9.4,5.8,43.8,3.8,0.2,10.8,24.3,10.4,2.3,12.7,.278,6.7,2.4,9.2,6.1
17,Mike Conley,24,MEM,PG,62,61,2174,16.8,.523,.232,.231,1.2,7.4,4.2,29.8,3.3,0.4,14.2,18.3,3.6,2.8,6.4,.141,1.0,1.4,2.4,2.4
18,Tyreke Evans,22,SAC,SG,63,61,2162,16.4,.512,.110,.287,3.1,12.0,7.3,22.1,2.0,1.0,14.4,23.8,2.0,0.6,2.7,.059,0.3,-0.9,-0.6,0.8
19,Kris Humphries,26,NJN,PF,62,62,2162,17.9,.539,.000,.414,12.2,24.8,18.3,7.4,1.2,2.6,13.0,19.3,3.6,1.7,5.3,.118,0.2,-1.2,-0.9,0.6
20,Antawn Jamison,35,CLE,PF,65,65,2151,16.1,.481,.256,.260,6.3,15.7,10.8,11.9,1.2,1.5,7.2,26.2,2.1,1.0,3.1,.070,1.4,-1.6,-0.3,0.9
21,Kevin Love,23,MIN,PF,55,55,2145,25.4,.568,.266,.434,11.6,26.4,19.0,10.0,1.1,0.9,9.2,28.8,7.6,2.3,10.0,.223,6.1,-0.9,5.2,3.9
22,Brandon Knight,20,DET,PG,66,60,2129,11.7,.511,.359,.178,1.8,10.3,5.9,20.8,1.2,0.4,17.1,21.7,0.3,1.0,1.3,.029,-0.9,-1.7,-2.6,-0.3
23,Luol Deng,26,CHI,SF,54,54,2129,14.1,.500,.285,.219,4.1,14.0,9.2,11.7,1.4,1.2,10.4,19.8,2.3,3.6,5.8,.132,0.6,1.1,1.7,2.0
24,Joe Johnson,30,ATL,SG,60,60,2127,18.4,.557,.346,.200,2.9,9.2,6.1,19.7,1.2,0.5,10.3,24.9,4.4,2.1,6.4,.145,3.1,-1.0,2.1,2.2
25,Ty Lawson,24,DEN,PG,61,61,2124,19.4,.579,.261,.282,3.1,9.2,6.2,30.2,2.0,0.2,14.7,21.2,5.7,1.2,6.9,.157,3.6,-0.4,3.2,2.8
26,David Lee,28,GSW,PF,57,57,2121,19.7,.549,.005,.304,9.2,19.9,14.6,13.6,1.3,0.8,12.5,26.0,3.8,1.2,5.0,.113,1.2,-1.6,-0.3,0.9
27,Monta Ellis,26,2TM,SG,58,58,2120,17.5,.509,.193,.264,1.1,9.6,5.3,28.6,2.1,0.6,13.2,28.7,1.6,0.9,2.6,.059,1.0,-1.3,-0.3,0.9
28,Monta Ellis,26,GSW,SG,37,37,1365,18.6,.516,.222,.264,1.3,9.2,5.3,29.3,2.1,0.7,13.5,30.7,1.2,0.4,1.5,.054,2.0,-1.5,0.6,0.9
29,Monta Ellis,26,MIL,SG,21,21,755,15.4,.493,.134,.265,0.6,10.4,5.3,27.3,2.0,0.6,12.6,25.0,0.5,0.6,1.1,.067,-0.8,-1.1,-1.9,0.0
30,Marcin Gortat,27,PHO,C,66,66,2114,21.2,.578,.003,.326,10.0,25.0,17.6,4.8,1.2,3.4,9.3,20.8,4.9,2.7,7.6,.172,2.2,0.0,2.2,2.3
31,Andrew Bynum,24,LAL,C,60,60,2112,22.9,.594,.006,.425,10.6,26.1,18.7,7.4,0.7,4.0,13.9,23.8,4.8,3.3,8.0,.183,2.7,0.2,2.9,2.6
32,Paul Millsap,26,UTA,PF,64,62,2100,21.8,.545,.036,.296,9.7,21.2,15.4,12.4,2.9,2.0,10.3,23.2,4.9,2.9,7.8,.179,2.6,1.3,3.9,3.1
33,Tayshaun Prince,31,DET,SF,63,63,2087,12.8,.470,.130,.144,4.0,12.4,8.0,13.2,0.7,1.2,8.0,20.4,1.2,0.9,2.1,.048,0.0,-1.5,-1.5,0.3
34,Arron Afflalo,26,DEN,SG,62,62,2086,14.7,.584,.316,.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,4.7,0.6,5.3,.121,1.4,-1.2,0.1,1.1
35,Greg Monroe,21,DET,C,66,66,2082,22.0,.563,.001,.348,13.3,23.6,18.3,14.0,2.1,1.7,15.2,23.6,4.3,2.7,7.0,.161,2.8,0.1,2.9,2.6
36,Dirk Nowitzki,33,DAL,PF,62,62,2079,21.7,.564,.205,.343,2.5,19.9,11.3,12.6,1.1,1.2,9.0,29.2,5.0,2.6,7.6,.175,3.7,0.1,3.7,3.0
37,Gerald Wallace,29,2TM,SF,58,58,2076,15.9,.547,.237,.356,4.8,17.2,10.8,13.2,2.2,1.3,13.2,18.6,3.0,1.8,4.8,.112,0.4,0.7,1.0,1.6
38,Gerald Wallace,29,POR,SF,42,42,1503,15.5,.556,.228,.374,4.8,17.0,10.7,12.4,2.2,1.3,14.4,17.8,2.0,1.4,3.5,.111,0.1,0.9,0.9,1.1
