Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Chris Mullin,28,GSW,SF,81,81,3346,19.9,0.586,0.11,0.265,4.2,10.4,7.4,12.2,2.4,1.1,10.2,23.6,8.1,2.7,10.8,0.155,3.6,0.1,3.7,4.8
Tim Hardaway,25,GSW,PG,81,81,3332,19.1,0.537,0.236,0.244,2.7,7.4,5.1,33.3,2.3,0.2,13.2,24.4,7.2,2.0,9.2,0.132,3.9,-1.1,2.8,4.1
Dennis Rodman,30,DET,PF,82,80,3301,17.0,0.574,0.159,0.22,18.1,34.1,26.2,8.2,1.1,1.3,16.7,11.1,5.6,7.0,12.6,0.183,1.9,0.9,2.8,4.0
Joe Dumars,28,DET,SG,82,82,3192,15.4,0.538,0.092,0.362,2.9,3.7,3.3,18.9,1.2,0.2,11.3,23.6,5.7,2.5,8.2,0.123,1.3,-0.5,0.7,2.2
Scottie Pippen,26,CHI,SF,82,82,3164,21.5,0.555,0.059,0.319,6.9,15.8,11.5,25.8,2.5,1.8,14.0,24.6,7.1,5.5,12.7,0.192,4.1,2.0,6.1,6.4
Patrick Ewing,29,NYK,C,82,82,3150,22.8,0.563,0.004,0.335,8.4,24.9,16.8,8.5,1.4,5.0,10.7,27.2,6.1,6.9,13.0,0.198,2.6,2.2,4.9,5.5
Ron Harper,28,LAC,SG,82,82,3144,15.4,0.51,0.163,0.308,4.2,11.6,7.9,20.0,2.4,1.4,14.7,23.3,1.1,4.4,5.6,0.085,0.6,1.0,1.6,2.8
Sean Elliott,23,SAS,SF,82,82,3120,14.4,0.564,0.079,0.318,5.0,10.3,7.7,10.0,1.3,0.6,11.4,18.1,5.0,3.4,8.4,0.13,0.4,0.0,0.5,1.9
Reggie Miller,26,IND,SG,82,82,3120,17.6,0.629,0.304,0.459,3.1,7.9,5.6,14.5,1.6,0.5,10.4,20.2,9.3,1.7,11.0,0.169,3.3,-0.7,2.6,3.6
Michael Jordan,28,CHI,SG,80,80,3102,27.7,0.579,0.055,0.325,3.5,15.3,9.5,25.7,3.0,1.5,8.8,31.7,12.1,5.6,17.7,0.274,7.2,2.5,9.7,9.2
Mitch Richmond,26,SAC,SG,80,80,3095,16.3,0.548,0.183,0.277,2.2,9.0,5.6,21.3,1.4,0.6,13.1,25.5,3.4,1.5,4.9,0.076,1.3,-1.3,0.0,1.5
Jeff Hornacek,28,PHO,SG,81,81,3078,18.9,0.592,0.152,0.254,4.0,10.3,7.3,19.3,2.5,0.6,11.0,20.9,7.8,3.8,11.6,0.181,3.0,1.3,4.3,4.9
Reggie Lewis,26,BOS,SG,82,82,3070,17.9,0.55,0.015,0.246,4.4,9.5,7.1,9.0,2.0,2.0,8.1,23.6,5.6,3.5,9.1,0.143,1.3,1.0,2.3,3.3
Sedale Threatt,30,LAL,PG,82,82,3070,16.6,0.54,0.06,0.233,1.6,7.9,4.7,30.3,2.8,0.3,13.7,18.9,4.7,2.6,7.3,0.114,0.6,0.6,1.2,2.5
Grant Long,25,MIA,PF,82,82,3063,15.8,0.568,0.025,0.454,9.3,16.0,12.6,10.8,2.2,0.8,14.8,17.1,4.9,2.8,7.7,0.12,0.7,0.3,1.0,2.3
Otis Thorpe,29,HOU,PF,82,82,3056,17.2,0.619,0.007,0.491,10.7,20.5,15.7,12.8,0.9,0.7,17.1,19.7,5.6,3.2,8.9,0.14,0.8,-0.4,0.4,1.8
Karl Malone,28,UTA,PF,81,81,3054,25.4,0.599,0.011,0.571,8.7,24.1,16.8,13.4,1.8,1.0,11.6,30.3,9.9,5.2,15.1,0.237,5.2,0.6,5.7,5.9
Larry Johnson,22,CHH,PF,82,77,3047,18.9,0.548,0.017,0.325,11.2,20.7,15.9,13.5,1.3,1.0,10.0,21.2,6.4,2.5,8.9,0.14,2.4,-1.0,1.4,2.6
DraÅ¾en PetroviÄ,27,NJN,SG,82,82,3027,15.8,0.587,0.211,0.218,3.3,5.8,4.5,12.7,1.7,0.2,13.0,22.0,6.2,1.6,7.7,0.122,1.3,-0.9,0.4,1.8
Hersey Hawkins,25,PHI,SG,81,81,3013,17.0,0.578,0.203,0.409,2.0,8.2,5.1,13.0,2.7,0.9,12.4,22.1,5.4,2.4,7.8,0.124,1.3,0.5,1.8,2.9
Glen Rice,24,MIA,SF,79,79,3007,17.5,0.561,0.277,0.222,3.1,11.7,7.3,10.2,1.5,0.7,8.4,23.9,6.2,1.7,7.9,0.126,2.8,-1.0,1.8,2.9
John Stockton,29,UTA,PG,82,82,3002,22.8,0.59,0.217,0.39,2.7,7.3,5.1,53.7,4.1,0.4,20.6,19.9,8.8,4.6,13.4,0.215,6.0,2.7,8.7,8.1
Kevin Willis,29,ATL,PF,81,80,2962,19.7,0.535,0.03,0.297,14.7,30.9,22.6,8.6,1.2,1.1,12.5,22.0,4.7,4.1,8.8,0.143,1.6,-1.4,0.2,1.7
Chuck Person,27,IND,SF,81,81,2923,14.5,0.546,0.276,0.153,4.6,11.2,8.1,19.6,1.1,0.4,13.6,22.8,3.0,1.6,4.6,0.075,1.3,-1.7,-0.3,1.2
Pooh Richardson,25,MIN,PG,82,82,2922,17.4,0.504,0.123,0.141,3.3,8.2,5.7,36.1,2.1,0.5,13.2,22.5,3.1,1.0,4.1,0.068,2.7,-1.4,1.3,2.4
Jeff Malone,30,UTA,SG,81,81,2922,15.1,0.554,0.009,0.211,2.0,6.8,4.5,10.0,1.0,0.1,8.7,23.9,4.5,2.1,6.6,0.108,-0.1,-1.5,-1.7,0.3
Isiah Thomas,30,DET,PG,78,78,2918,16.0,0.505,0.068,0.299,2.7,6.9,4.8,31.3,2.1,0.3,15.0,25.3,2.4,3.4,5.8,0.095,0.9,0.2,1.1,2.3
Kendall Gill,23,CHH,SG,79,79,2906,16.5,0.509,0.018,0.267,6.0,8.9,7.4,16.6,2.5,0.9,10.1,24.7,2.7,2.0,4.7,0.077,0.7,-0.4,0.4,1.7
Danny Manning,25,LAC,PF,82,82,2904,19.7,0.577,0.004,0.321,8.7,12.9,10.8,15.8,2.3,2.6,13.3,23.1,5.3,4.5,9.8,0.162,2.6,1.7,4.3,4.6
