Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Anthony Mason,29,NYK,SF,82,82,3457,15.8,0.61,0.0,0.519,7.8,18.1,13.1,16.7,1.1,0.8,17.7,16.1,6.3,5.0,11.3,0.157,1.0,0.9,1.9,3.4
Vin Baker,24,MIL,PF,82,82,3319,18.4,0.527,0.034,0.335,9.5,20.5,14.9,11.4,1.1,2.1,11.6,25.6,3.7,2.4,6.2,0.089,1.2,-1.1,0.1,1.8
Juwan Howard,22,WSB,PF,81,81,3294,17.0,0.53,0.009,0.284,6.9,16.5,11.8,18.7,1.0,0.8,15.2,27.0,2.5,3.1,5.6,0.082,0.6,-1.0,-0.4,1.3
Larry Johnson,26,CHH,PF,81,81,3274,19.8,0.563,0.149,0.46,9.0,16.4,12.7,18.0,0.9,1.0,11.0,22.9,8.8,1.3,10.1,0.149,3.9,-1.1,2.8,3.9
Grant Hill,23,DET,SF,80,80,3260,20.9,0.537,0.021,0.529,4.9,23.4,14.5,31.4,1.7,1.2,14.9,25.9,6.0,5.7,11.7,0.172,3.1,1.7,4.8,5.6
Glenn Robinson,23,MIL,SF,82,82,3249,15.9,0.534,0.19,0.281,5.0,14.1,9.5,15.7,1.6,1.0,15.4,25.8,1.8,1.7,3.5,0.052,1.2,-1.2,0.0,1.6
Michael Finley,22,PHO,SF,82,72,3212,14.0,0.551,0.191,0.331,5.1,8.3,6.7,13.9,1.4,0.7,10.6,17.3,5.0,1.3,6.3,0.095,0.6,-0.8,-0.2,1.5
Gary Payton,27,SEA,PG,81,81,3162,19.6,0.554,0.234,0.24,4.1,8.4,6.3,33.3,3.7,0.5,15.6,23.6,5.9,5.6,11.5,0.174,2.8,1.8,4.6,5.2
Glen Rice,28,CHH,SF,79,79,3142,17.8,0.584,0.311,0.294,3.3,11.5,7.3,12.6,1.5,0.5,10.0,23.4,7.2,1.2,8.3,0.127,2.6,-1.2,1.4,2.7
Karl Malone,32,UTA,PF,82,82,3113,26.0,0.575,0.026,0.466,7.1,24.2,15.8,20.6,2.4,1.5,9.8,29.8,9.9,5.3,15.1,0.233,5.6,1.4,7.0,7.1
Clarence Weatherspoon,25,PHI,SF,78,75,3096,17.1,0.541,0.002,0.42,8.6,19.8,14.0,9.3,1.9,2.6,13.0,19.9,3.4,2.4,5.8,0.089,0.1,-0.3,-0.2,1.4
Michael Jordan,32,CHI,SG,82,82,3090,29.4,0.582,0.141,0.355,5.6,14.9,10.2,21.2,3.1,1.0,8.4,33.3,14.2,6.2,20.4,0.317,8.3,2.2,10.5,9.8
Avery Johnson,30,SAS,PG,82,82,3084,16.3,0.534,0.035,0.295,1.4,5.9,3.7,39.1,2.0,0.5,16.3,17.5,5.6,3.5,9.1,0.141,1.4,0.3,1.7,2.9
Allan Houston,24,DET,SG,82,75,3072,15.7,0.576,0.359,0.291,2.2,9.3,5.9,15.5,1.1,0.4,14.2,25.4,4.2,3.0,7.1,0.112,1.9,-0.9,1.0,2.3
Latrell Sprewell,25,GSW,SG,78,78,3064,15.9,0.527,0.235,0.371,4.6,9.7,7.1,17.7,2.1,1.1,13.7,23.0,3.6,1.9,5.5,0.086,1.3,-0.6,0.7,2.1
Chris Mills,26,CLE,SF,80,80,3060,15.2,0.554,0.216,0.271,4.8,14.6,9.6,11.2,1.4,1.5,10.0,19.9,4.7,3.1,7.8,0.122,0.1,-0.2,-0.1,1.5
Dennis Scott,27,ORL,SF,82,82,3041,16.1,0.589,0.562,0.199,2.5,9.2,5.9,12.4,1.5,0.7,9.1,19.9,6.4,2.4,8.8,0.138,2.9,-0.6,2.3,3.3
Jason Kidd,22,DAL,PG,81,81,3034,17.8,0.468,0.306,0.256,6.5,13.3,9.6,41.5,2.9,0.6,18.6,24.3,1.7,2.6,4.3,0.068,2.3,-0.3,2.0,3.0
David Robinson,30,SAS,C,82,82,3019,29.4,0.589,0.007,0.597,12.3,24.2,18.4,14.6,1.9,6.4,9.8,28.8,11.1,7.2,18.3,0.29,5.8,3.1,8.9,8.3
Anfernee Hardaway,24,ORL,PG,82,82,3015,24.6,0.605,0.233,0.477,5.1,8.5,6.8,32.2,2.9,1.0,13.5,25.5,11.0,3.4,14.4,0.229,6.2,1.0,7.2,6.9
Grant Long,29,ATL,PF,82,82,3008,16.2,0.546,0.103,0.402,9.4,22.1,15.5,9.7,1.9,0.9,13.7,17.1,4.7,3.8,8.4,0.134,0.6,0.2,0.7,2.1
Clifford Robinson,29,POR,SF,78,76,2980,16.3,0.532,0.361,0.415,4.7,12.2,8.5,10.9,1.5,1.7,11.2,25.6,3.9,4.2,8.0,0.13,1.7,0.4,2.1,3.0
Loy Vaught,27,LAC,PF,80,78,2966,16.7,0.551,0.017,0.189,8.1,24.9,16.4,6.3,1.5,1.0,11.8,20.1,3.4,2.9,6.3,0.102,0.1,-1.0,-0.9,0.8
Mitch Richmond,30,SAC,SG,81,81,2946,19.2,0.591,0.376,0.359,2.1,8.5,5.3,15.9,2.2,0.5,12.2,26.9,7.2,2.1,9.3,0.151,3.9,-0.4,3.5,4.1
P.J. Brown,26,NJN,C,81,81,2942,12.6,0.5,0.019,0.332,7.9,13.2,10.5,9.3,1.4,2.6,12.7,15.6,2.0,3.3,5.3,0.087,-1.3,0.7,-0.5,1.1
John Stockton,33,UTA,PG,82,82,2915,21.9,0.642,0.275,0.345,2.3,7.1,4.8,49.1,2.6,0.4,20.7,18.7,10.1,2.9,13.0,0.214,6.0,0.7,6.8,6.4
Sean Elliott,27,SAS,SF,77,77,2901,16.3,0.585,0.348,0.375,2.8,12.1,7.6,11.8,1.2,0.8,13.1,23.4,4.1,3.6,7.7,0.128,1.9,-0.2,1.7,2.7
Derek Harper,34,NYK,PG,82,82,2893,13.9,0.558,0.346,0.219,1.3,6.8,4.1,20.1,2.4,0.1,14.7,19.4,2.6,3.7,6.3,0.105,-0.2,0.7,0.5,1.8
Mookie Blaylock,28,ATL,PG,81,81,2893,18.9,0.529,0.555,0.151,4.3,9.5,6.8,27.6,3.9,0.5,13.6,21.5,5.4,3.6,9.0,0.149,3.8,1.5,5.3,5.4
Damon Stoudamire,22,TOR,PG,70,70,2865,16.7,0.528,0.298,0.262,2.4,9.3,5.8,37.4,1.8,0.5,17.5,23.5,3.7,0.6,4.3,0.072,2.5,-2.4,0.1,1.6
Steve Smith,26,ATL,SG,80,80,2856,16.6,0.551,0.37,0.337,4.9,8.7,6.7,13.4,1.3,0.5,10.3,23.0,6.4,1.5,7.9,0.133,2.3,-1.3,1.0,2.1
Armen Gilliam,31,NJN,SF,78,76,2856,17.6,0.522,0.001,0.288,9.1,18.6,13.7,9.4,1.3,1.4,11.4,23.7,3.3,3.4,6.7,0.113,1.2,-0.4,0.8,1.9
George McCloud,28,DAL,SF,79,63,2846,15.9,0.543,0.529,0.175,3.9,10.6,7.0,12.5,2.0,0.9,10.7,22.6,4.2,1.6,5.8,0.098,1.9,-0.6,1.4,2.4
Otis Thorpe,33,DET,PF,82,82,2841,15.7,0.573,0.005,0.424,9.3,19.6,14.6,10.1,1.0,1.1,16.2,20.3,3.5,4.1,7.6,0.128,-0.4,0.1,-0.4,1.2
Tom Gugliotta,26,MIN,PF,78,78,2835,16.9,0.54,0.086,0.373,7.4,21.7,14.6,14.4,2.5,2.6,16.7,21.9,1.5,3.7,5.3,0.089,0.0,1.0,1.0,2.1
Scottie Pippen,30,CHI,SF,77,77,2825,21.0,0.551,0.33,0.266,6.3,14.2,10.2,25.2,2.5,1.5,13.2,24.4,7.0,5.3,12.3,0.209,4.6,1.7,6.3,5.9
Hersey Hawkins,29,SEA,SG,82,82,2823,16.1,0.603,0.406,0.304,3.8,8.4,6.2,12.5,2.7,0.4,13.4,19.4,5.3,4.2,9.5,0.161,1.9,0.9,2.8,3.4
Joe Smith,20,GSW,PF,82,82,2821,17.2,0.523,0.027,0.383,12.1,17.2,14.6,4.6,1.5,3.4,10.3,20.6,4.1,2.7,6.8,0.116,0.3,-1.0,-0.7,0.9
Jim Jackson,25,DAL,SG,82,82,2820,16.6,0.538,0.255,0.32,5.9,9.7,7.6,14.3,0.8,0.5,11.3,24.9,4.8,0.6,5.4,0.092,1.8,-2.1,-0.3,1.2
Bryant Stith,25,DEN,SG,82,77,2810,13.9,0.519,0.162,0.416,5.1,11.3,8.2,13.8,2.1,0.4,12.7,19.6,2.7,2.5,5.2,0.089,-0.8,0.2,-0.6,1.0
Hakeem Olajuwon,33,HOU,C,72,72,2797,25.5,0.558,0.009,0.367,7.3,24.0,15.9,18.3,2.1,5.3,12.5,31.9,4.5,5.2,9.7,0.166,2.8,2.0,4.9,4.9
Patrick Ewing,33,NYK,C,76,76,2783,20.9,0.516,0.019,0.317,6.9,26.9,17.1,11.2,1.3,5.1,11.8,31.5,0.6,6.1,6.8,0.116,0.3,1.3,1.6,2.5
Blue Edwards,30,VAN,SF,82,82,2773,11.9,0.498,0.256,0.218,4.0,10.9,7.3,13.8,2.2,1.3,14.0,20.0,-0.7,2.5,1.9,0.032,-2.0,0.0,-1.9,0.1
Vinny Del Negro,29,SAS,SG,82,82,2766,15.6,0.564,0.156,0.222,1.5,9.1,5.5,18.3,1.6,0.2,8.6,18.8,5.2,3.2,8.3,0.144,0.4,0.7,1.1,2.2
Nick Anderson,28,ORL,SG,77,77,2717,16.5,0.562,0.476,0.265,4.0,13.5,8.9,15.6,2.3,1.2,12.3,19.1,4.2,3.3,7.4,0.131,2.3,0.6,2.9,3.4
Dikembe Mutombo,29,DEN,C,74,74,2713,17.1,0.562,0.002,0.622,10.6,26.6,18.6,6.1,0.7,8.8,17.1,14.4,2.6,5.0,7.6,0.134,-0.7,2.8,2.1,2.8
Jerry Stackhouse,21,PHI,SG,72,71,2701,14.8,0.525,0.268,0.475,3.7,7.7,5.7,19.0,1.5,2.1,16.0,26.0,0.8,0.4,1.2,0.021,0.7,-1.7,-1.0,0.7
Elden Campbell,27,LAL,PF,82,82,2699,18.0,0.549,0.006,0.393,7.1,19.5,13.4,10.3,1.7,5.5,11.6,19.6,3.8,4.4,8.2,0.147,-0.2,1.9,1.7,2.6
Johnny Newman,32,MIL,SG,82,82,2690,11.5,0.592,0.25,0.357,3.0,6.2,4.6,8.8,1.8,0.4,12.6,14.6,3.7,0.7,4.4,0.079,-1.2,-0.1,-1.4,0.4
Danny Ferry,29,CLE,PF,82,79,2680,14.2,0.557,0.395,0.146,3.5,12.0,7.7,13.2,1.2,1.2,11.1,20.7,3.2,2.3,5.5,0.098,0.6,-0.7,-0.1,1.3
Alonzo Mourning,25,MIA,C,70,70,2671,22.7,0.584,0.028,0.662,9.7,21.7,15.9,11.4,1.4,5.5,15.9,28.1,4.4,5.5,9.9,0.178,2.2,2.0,4.2,4.2
Mark Jackson,30,IND,PG,81,81,2643,15.9,0.568,0.238,0.305,3.2,11.0,7.3,37.4,2.0,0.2,22.1,15.8,4.6,2.6,7.2,0.13,2.5,0.2,2.7,3.1
Robert Horry,25,HOU,SF,71,71,2634,13.7,0.537,0.53,0.195,4.3,13.2,8.9,16.1,2.3,2.9,16.8,16.3,1.5,3.4,4.9,0.089,0.7,1.6,2.3,2.8
Charles Barkley,32,PHO,PF,71,71,2632,24.8,0.585,0.151,0.488,10.9,25.0,18.1,17.4,2.2,1.6,13.4,27.5,7.0,3.5,10.5,0.191,5.0,0.6,5.7,5.1
Michael Cage,34,CLE,C,82,80,2631,14.1,0.561,0.003,0.232,14.3,22.7,18.4,3.3,1.9,2.7,11.0,9.4,4.1,4.0,8.1,0.148,-0.4,0.2,-0.2,1.2
Shawn Kemp,26,SEA,PF,79,76,2631,22.6,0.631,0.013,0.709,13.0,26.9,20.3,11.5,1.8,3.8,20.4,26.2,5.2,6.1,11.2,0.205,1.5,1.3,2.8,3.2
Cedric Ceballos,26,LAL,SF,78,71,2628,22.1,0.599,0.153,0.34,9.7,13.9,11.9,7.9,1.9,0.6,10.8,26.5,7.1,2.8,9.8,0.18,3.9,-1.3,2.6,3.1
Dale Ellis,35,DEN,SF,81,52,2626,14.7,0.58,0.38,0.187,3.9,10.0,6.9,9.1,1.1,0.2,8.6,19.3,4.7,1.5,6.2,0.114,1.5,-0.9,0.6,1.7
Reggie Miller,30,IND,SG,76,76,2621,20.1,0.625,0.385,0.467,1.9,8.1,5.1,17.2,1.6,0.4,12.8,25.8,8.3,2.0,10.3,0.188,5.1,-0.4,4.7,4.5
Dale Davis,26,IND,PF,78,77,2617,14.3,0.553,0.0,0.482,12.4,21.1,16.9,4.6,1.2,3.4,14.1,14.8,2.6,3.7,6.2,0.115,0.1,0.3,0.4,1.5
Bimbo Coles,27,MIA,PG,52,52,1882,13.0,0.523,0.308,0.309,2.4,9.9,6.2,25.7,1.8,0.5,16.2,18.3,1.9,2.4,4.3,0.109,-0.3,0.9,0.6,1.2
Bimbo Coles,27,GSW,PG,29,3,733,10.9,0.486,0.376,0.174,1.7,7.6,4.6,26.3,2.2,0.5,17.0,16.8,0.3,0.4,0.7,0.047,-2.1,-0.2,-2.3,-0.1
Wesley Person,24,PHO,SG,82,47,2609,12.6,0.543,0.357,0.219,2.5,11.6,7.1,8.2,1.1,0.6,8.5,17.9,2.9,1.2,4.0,0.074,0.1,-1.2,-1.2,0.6
Isaiah Rider,24,MIN,SG,75,68,2594,15.6,0.55,0.228,0.245,4.6,9.7,7.1,15.3,0.9,0.7,13.1,26.3,2.6,0.8,3.4,0.063,1.3,-2.2,-0.9,0.7
Jeff Hornacek,32,UTA,SG,82,59,2588,19.1,0.619,0.253,0.33,3.0,6.8,5.0,21.2,2.2,0.6,11.2,20.1,7.9,2.4,10.2,0.19,3.8,0.5,4.4,4.2
Rick Fox,26,BOS,SF,81,81,2588,16.1,0.547,0.293,0.274,6.7,13.0,9.7,22.6,2.2,1.1,17.2,20.9,3.0,2.2,5.1,0.095,1.2,0.2,1.3,2.2
Terrell Brandon,25,CLE,PG,75,75,2570,25.2,0.573,0.214,0.348,2.4,10.6,6.4,38.1,3.0,1.1,10.1,27.6,9.5,3.1,12.7,0.237,6.0,1.5,7.5,6.2
Tim Hardaway,29,GSW,PG,52,18,1487,18.5,0.536,0.383,0.3,1.7,8.5,5.1,40.2,2.6,0.5,15.4,23.8,3.0,1.0,3.9,0.127,3.3,-0.8,2.5,1.7
Tim Hardaway,29,MIA,PG,28,28,1047,19.1,0.548,0.381,0.319,1.5,9.2,5.5,46.4,2.9,0.4,20.0,23.9,1.8,1.6,3.4,0.154,3.2,0.8,4.0,1.6
Bobby Phills,26,CLE,SG,72,69,2530,16.8,0.564,0.255,0.291,3.2,10.7,6.9,19.7,2.4,0.9,11.9,21.1,4.5,2.7,7.1,0.136,1.1,0.6,1.7,2.3
Rod Strickland,29,POR,PG,67,63,2526,19.1,0.519,0.109,0.413,4.0,9.3,6.7,43.4,2.0,0.5,17.4,25.4,3.8,3.3,7.1,0.136,2.9,0.3,3.1,3.2
Oliver Miller,25,TOR,PF,76,72,2516,16.2,0.55,0.014,0.278,8.3,18.3,13.3,14.2,2.2,4.3,18.5,19.2,1.3,2.4,3.8,0.072,-0.9,0.9,0.0,1.2
Nick Van Exel,24,LAL,PG,74,74,2513,15.9,0.528,0.424,0.215,1.4,6.9,4.2,30.7,1.4,0.3,13.0,21.4,4.2,1.6,5.7,0.109,2.3,-1.8,0.6,1.6
Christian Laettner,26,MIN,C,44,44,1518,18.0,0.566,0.053,0.457,7.7,16.1,11.9,15.0,1.4,2.2,13.8,23.7,2.5,1.2,3.7,0.116,1.5,-0.3,1.2,1.2
Christian Laettner,26,ATL,C,30,27,977,17.2,0.556,0.025,0.4,10.0,18.9,14.3,11.7,1.7,2.2,16.4,21.0,1.4,1.2,2.5,0.125,-0.6,0.2,-0.3,0.4
John Starks,30,NYK,SG,81,71,2491,14.2,0.555,0.468,0.206,1.5,9.5,5.6,20.8,2.2,0.3,14.5,20.2,2.3,3.4,5.7,0.11,0.2,0.8,1.0,1.9
Tyus Edney,22,SAC,PG,80,60,2481,12.7,0.505,0.195,0.341,2.9,6.5,4.7,31.5,1.8,0.1,18.4,18.5,2.0,1.2,3.3,0.064,-0.5,-1.3,-1.8,0.1
Alvin Robertson,33,TOR,SG,77,69,2478,12.7,0.531,0.249,0.26,5.3,11.2,8.2,19.7,3.5,1.1,21.3,15.3,0.9,1.9,2.8,0.054,-1.9,1.2,-0.7,0.8
Vlade Divac,27,LAL,C,79,79,2470,17.4,0.544,0.022,0.366,9.5,22.2,16.0,16.3,1.6,3.7,17.5,20.6,2.2,4.0,6.1,0.119,-0.2,1.6,1.4,2.1
Vernon Maxwell,30,PHI,PG,75,57,2467,13.9,0.508,0.437,0.316,1.8,9.1,5.4,24.7,2.0,0.4,15.2,25.6,0.4,0.5,0.9,0.018,0.0,-1.7,-1.7,0.2
Bryant Reeves,22,VAN,C,77,63,2460,13.4,0.506,0.003,0.341,8.2,19.4,13.6,8.3,0.9,1.7,13.5,21.6,0.0,2.3,2.3,0.045,-2.4,-1.2,-3.7,-1.0
Tracy Murray,24,TOR,SF,82,37,2458,16.8,0.557,0.328,0.201,5.5,11.6,8.5,9.3,1.8,1.2,10.0,23.7,4.0,0.9,4.9,0.096,2.0,-1.8,0.1,1.3
Olden Polynice,31,SAC,C,81,80,2441,15.8,0.543,0.004,0.248,12.1,24.1,18.1,4.1,1.1,2.0,12.3,18.6,2.5,2.8,5.3,0.105,-0.4,-1.3,-1.7,0.2
Derrick McKey,29,IND,SF,75,75,2440,14.2,0.543,0.096,0.31,6.5,11.8,9.2,17.5,1.8,1.4,15.0,17.9,3.1,2.6,5.7,0.112,0.7,1.2,1.9,2.4
Chris Childs,28,NJN,PG,78,54,2408,16.4,0.549,0.333,0.391,2.3,9.1,5.6,38.6,2.4,0.3,20.1,20.7,3.3,2.5,5.8,0.115,1.3,0.4,1.7,2.2
Brian Grant,23,SAC,PF,78,75,2398,15.8,0.56,0.02,0.425,8.4,17.9,13.2,9.2,0.9,3.2,15.6,21.7,2.4,2.3,4.7,0.094,-0.6,-0.3,-0.9,0.6
Harvey Grant,30,POR,PF,76,75,2394,10.4,0.487,0.099,0.162,5.6,11.6,8.6,7.3,1.3,1.3,10.1,14.8,0.9,3.1,4.0,0.081,-1.9,1.0,-0.9,0.6
Dell Curry,31,CHH,SG,82,29,2371,16.8,0.568,0.417,0.176,3.4,10.2,6.8,12.5,2.4,0.8,11.0,22.5,3.8,1.4,5.1,0.104,2.1,-0.3,1.8,2.3
Dan Majerle,30,CLE,SF,82,15,2367,15.1,0.53,0.553,0.226,3.9,13.4,8.6,15.9,2.0,1.3,10.2,19.5,3.0,2.6,5.5,0.112,1.7,0.2,1.9,2.3
Andrew Lang,29,ATL,C,51,51,1815,12.4,0.49,0.005,0.191,6.9,15.1,10.9,5.7,1.0,3.6,12.3,18.9,0.4,1.8,2.2,0.058,-2.5,-0.4,-2.9,-0.4
Andrew Lang,29,MIN,C,20,18,550,10.1,0.466,0.012,0.222,9.1,17.2,13.2,0.9,0.7,5.7,13.8,17.5,-0.4,0.5,0.2,0.013,-4.4,-0.5,-4.9,-0.4
Matt Geiger,26,CHH,C,77,50,2349,14.2,0.573,0.012,0.308,10.2,23.6,16.8,4.1,1.0,2.0,15.3,17.2,2.4,1.9,4.3,0.088,-1.8,-1.1,-2.9,-0.5
Kenny Anderson,25,NJN,PG,31,28,1042,19.8,0.511,0.261,0.495,3.8,6.9,5.3,40.4,2.6,0.6,11.1,21.8,2.7,1.0,3.7,0.172,4.2,1.2,5.4,1.9
Kenny Anderson,25,CHH,PG,38,36,1302,19.2,0.555,0.346,0.33,2.4,7.2,4.8,40.4,2.4,0.3,14.5,21.1,3.4,0.6,4.0,0.148,4.1,-0.6,3.4,1.8
Sherman Douglas,29,BOS,PG,10,4,234,9.3,0.482,0.083,0.476,2.8,8.3,5.5,26.0,0.4,0.0,22.2,24.0,-0.3,0.0,-0.3,-0.053,-3.2,-3.6,-6.8,-0.3
Sherman Douglas,29,MIL,PG,69,62,2101,15.2,0.583,0.171,0.298,2.8,6.4,4.6,30.4,1.5,0.2,19.5,18.4,3.2,0.4,3.5,0.081,1.2,-1.7,-0.5,0.8
Shawn Bradley,23,PHI,C,12,11,334,13.4,0.486,0.0,0.258,11.4,25.6,18.3,4.1,1.2,8.4,22.3,18.6,-0.4,0.4,0.0,0.005,-4.7,1.3,-3.4,-0.1
Shawn Bradley,23,NJN,C,67,57,1995,16.1,0.48,0.005,0.285,10.1,19.5,14.7,5.0,1.1,9.6,14.5,22.4,-0.7,3.7,3.0,0.071,-2.9,1.8,-1.1,0.4
Dana Barros,28,BOS,PG,80,25,2328,15.6,0.596,0.457,0.182,1.0,8.4,4.6,20.8,1.2,0.1,12.1,18.3,4.8,0.8,5.6,0.116,2.3,-1.1,1.1,1.8
Calbert Cheaney,24,WSB,SF,70,70,2324,13.0,0.528,0.17,0.236,3.5,8.5,6.1,10.6,1.5,0.6,11.4,21.7,1.5,1.7,3.2,0.065,-1.0,-0.9,-1.9,0.1
Popeye Jones,25,DAL,PF,68,68,2322,13.4,0.486,0.053,0.181,10.8,23.6,16.6,8.8,1.2,0.8,12.1,16.2,1.7,1.9,3.7,0.076,-1.9,-0.8,-2.7,-0.4
Stacey Augmon,27,ATL,SF,77,49,2294,15.9,0.556,0.005,0.43,6.8,9.0,7.8,10.0,2.5,1.0,13.6,19.9,3.5,2.1,5.6,0.117,0.1,0.3,0.4,1.4
Kevin Garnett,19,MIN,SF,80,43,2293,15.8,0.522,0.038,0.203,9.1,17.0,13.1,10.6,1.9,4.4,12.1,17.6,1.8,2.6,4.4,0.092,0.1,0.9,1.0,1.7
Horace Grant,30,ORL,PF,63,62,2286,17.9,0.551,0.009,0.306,9.3,20.0,14.8,11.4,1.4,2.4,7.7,16.5,5.0,3.1,8.0,0.169,1.7,0.6,2.3,2.5
Antonio McDyess,21,DEN,PF,76,75,2280,15.6,0.516,0.005,0.276,11.6,17.4,14.5,5.8,1.2,3.6,13.5,22.4,0.9,2.7,3.6,0.075,-1.4,-0.5,-1.9,0.0
B.J. Armstrong,28,GSW,PG,82,64,2262,17.3,0.595,0.285,0.384,1.1,8.3,4.7,28.4,1.5,0.2,13.1,18.8,6.2,0.8,7.0,0.149,2.7,-0.8,1.8,2.2
Aaron McKie,23,POR,SG,81,73,2259,13.4,0.534,0.162,0.276,4.4,10.9,7.7,14.6,2.1,0.7,14.3,18.3,2.1,3.2,5.3,0.113,-1.3,1.7,0.4,1.4
Gheorghe MureÈan,24,WSB,C,76,76,2242,21.0,0.6,0.001,0.348,13.3,24.7,19.1,4.2,1.2,5.5,13.4,21.2,4.3,3.8,8.0,0.172,0.9,0.8,1.6,2.1
