Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jeff Ruland,25,WSB,C,75,75,3082,19.6,0.633,0.007,0.614,10.0,24.8,17.4,14.9,1.1,1.3,20.6,23.0,5.0,4.3,9.3,0.144,1.9,0.7,2.6,3.6
Sidney Moncrief,26,MIL,SG,79,79,3075,19.8,0.591,0.016,0.555,8.3,11.1,9.8,17.1,1.7,0.5,13.4,22.2,8.4,4.2,12.7,0.198,3.7,0.4,4.1,4.7
Norm Nixon,28,SDC,PG,82,82,3053,16.9,0.501,0.036,0.213,2.1,5.4,3.8,41.1,1.5,0.1,15.6,21.5,5.1,0.3,5.4,0.085,3.1,-2.2,0.8,2.2
Larry Bird,27,BOS,PF,79,77,3028,24.2,0.552,0.047,0.273,7.0,22.3,14.9,26.2,2.3,1.3,12.1,26.7,7.9,5.6,13.6,0.215,5.6,2.0,7.6,7.3
Rolando Blackman,24,DAL,SG,81,81,3025,19.8,0.596,0.008,0.347,4.8,9.5,7.2,14.2,0.9,0.7,10.0,23.3,8.3,1.5,9.8,0.155,3.6,-1.2,2.4,3.3
Isiah Thomas,22,DET,PG,82,82,3007,20.9,0.52,0.045,0.365,3.5,8.2,5.8,41.5,3.1,0.6,15.4,25.4,5.7,3.4,9.1,0.144,4.0,0.7,4.8,5.1
Buck Williams,23,NJN,PF,81,81,3003,15.8,0.556,0.004,0.538,13.3,24.9,19.0,5.8,1.3,2.4,17.1,18.3,2.4,4.9,7.3,0.117,0.0,-0.2,-0.1,1.4
Jack Sikma,28,SEA,C,82,82,2993,19.7,0.572,0.002,0.416,8.6,25.9,17.3,16.0,1.5,1.7,14.7,22.2,5.3,4.4,9.7,0.156,1.7,1.2,2.9,3.7
Adrian Dantley,28,UTA,SF,79,79,2984,24.6,0.652,0.003,0.658,6.7,9.0,7.9,16.2,0.9,0.1,12.4,28.2,13.0,1.6,14.6,0.235,5.8,-1.5,4.2,4.7
Joe Barry Carroll,25,GSW,C,80,80,2962,16.8,0.519,0.001,0.312,8.1,15.9,11.7,10.1,1.6,2.7,14.5,24.3,1.6,3.1,4.7,0.077,0.3,-0.1,0.2,1.6
Dominique Wilkins,24,ATL,SF,81,81,2961,19.2,0.531,0.008,0.347,9.7,12.9,11.2,7.3,2.0,1.8,11.5,27.1,3.4,3.6,7.0,0.113,2.2,-0.7,1.6,2.7
Purvis Short,26,GSW,SF,79,76,2945,16.9,0.529,0.048,0.295,6.3,10.1,8.1,13.0,1.6,0.2,11.8,25.6,4.1,1.9,6.0,0.098,1.3,-1.3,0.0,1.5
Eddie Johnson,24,KCK,SF,82,82,2920,16.6,0.528,0.041,0.213,6.3,11.5,8.9,16.0,1.2,0.4,11.1,26.3,3.4,2.2,5.6,0.093,1.3,-1.3,0.0,1.5
Terry Cummings,22,SDC,PF,81,80,2907,19.8,0.538,0.002,0.354,12.6,17.6,15.1,7.2,1.5,1.1,11.2,26.6,5.7,1.8,7.5,0.123,2.0,-1.6,0.4,1.8
Mark Aguirre,24,DAL,SF,79,79,2900,23.5,0.572,0.032,0.352,6.4,12.3,9.4,21.0,1.3,0.4,12.3,33.4,7.0,2.0,9.0,0.149,5.0,-1.2,3.7,4.1
Larry Nance,24,PHO,PF,82,82,2899,19.4,0.605,0.007,0.337,9.1,18.3,13.7,10.2,1.4,3.5,12.9,19.5,6.2,3.7,9.8,0.163,2.2,0.9,3.1,3.8
Alex English,30,DEN,SF,82,77,2870,22.2,0.57,0.004,0.249,7.7,9.3,8.5,20.9,1.3,1.7,10.5,27.9,7.2,1.0,8.2,0.136,4.7,-1.4,3.4,3.9
Robert Parish,30,BOS,C,80,79,2867,19.2,0.584,0.0,0.323,10.0,23.5,17.0,7.0,0.9,2.3,12.4,21.3,5.7,4.8,10.5,0.175,1.8,0.1,1.9,2.8
Bill Laimbeer,26,DET,C,82,82,2864,19.2,0.59,0.011,0.35,11.8,26.0,18.6,6.8,0.8,1.6,11.1,18.2,7.3,3.5,10.8,0.181,2.5,-0.7,1.8,2.7
Mike Mitchell,28,SAS,SF,79,79,2853,17.1,0.525,0.009,0.221,7.1,14.0,10.6,4.6,1.0,1.3,7.4,25.7,4.1,1.4,5.5,0.092,0.5,-2.2,-1.7,0.2
Gus Williams,30,SEA,PG,80,80,2818,18.9,0.506,0.019,0.303,2.7,5.5,4.1,36.2,3.2,0.5,13.5,25.2,3.0,2.9,5.9,0.101,2.4,0.3,2.7,3.4
Rickey Green,29,UTA,PG,81,81,2768,18.0,0.532,0.019,0.259,2.3,6.2,4.4,35.9,3.6,0.2,14.6,16.9,5.0,3.0,7.9,0.138,1.8,1.2,3.0,3.5
Kiki Vandeweghe,25,DEN,PF,78,71,2734,23.6,0.618,0.019,0.362,3.1,11.4,7.2,13.1,0.8,1.0,7.7,27.8,9.7,0.6,10.3,0.181,5.4,-1.8,3.6,3.9
Dave Greenwood,26,CHI,PF,78,76,2718,13.5,0.54,0.001,0.384,8.9,24.6,16.6,7.4,1.2,1.5,14.5,15.7,2.1,3.6,5.7,0.101,-0.8,0.2,-0.6,0.9
Marques Johnson,27,MIL,SF,74,74,2715,19.4,0.534,0.01,0.264,7.5,12.4,10.0,18.6,2.1,1.0,11.1,25.2,4.4,4.2,8.6,0.152,2.9,0.7,3.6,3.8
