Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Vin Baker,23,MIL,PF,82,82,3361,16.6,0.511,0.02,0.352,10.0,20.6,15.1,15.1,1.3,2.6,13.5,21.6,2.7,3.1,5.8,0.083,0.2,-0.1,0.2,1.8
Dana Barros,27,PHI,PG,82,82,3318,20.9,0.632,0.365,0.331,0.9,8.7,4.8,32.6,2.4,0.1,15.3,21.2,10.5,2.2,12.7,0.183,4.7,0.2,5.0,5.8
Larry Johnson,25,CHH,PF,81,81,3234,17.1,0.555,0.172,0.29,7.3,13.8,10.7,19.4,1.3,0.6,13.1,22.6,4.9,3.6,8.5,0.126,2.3,-0.3,2.0,3.2
Mitch Richmond,29,SAC,SG,82,82,3172,17.2,0.551,0.283,0.297,2.6,10.4,6.6,17.8,1.5,0.7,12.1,27.0,4.9,3.1,8.0,0.12,2.4,-0.3,2.1,3.2
Karl Malone,31,UTA,PF,82,82,3126,25.1,0.59,0.026,0.449,6.6,27.2,17.4,16.4,2.1,2.2,11.3,30.3,8.1,5.8,13.8,0.212,4.3,1.3,5.6,6.0
Dikembe Mutombo,28,DEN,C,82,82,3100,17.0,0.595,0.0,0.604,12.7,26.7,19.9,5.5,0.7,7.5,19.5,14.4,3.5,5.2,8.7,0.135,0.0,1.8,1.8,2.9
Dan Majerle,29,PHO,SF,82,46,3091,15.1,0.555,0.532,0.274,3.9,10.1,7.0,15.6,1.6,0.9,8.3,17.6,6.0,1.7,7.7,0.12,2.4,-0.5,1.9,3.1
David Robinson,29,SAS,C,81,81,3074,29.1,0.602,0.013,0.57,9.1,22.6,16.2,13.7,2.2,5.9,11.1,29.9,10.7,6.7,17.5,0.273,6.0,3.2,9.2,8.7
Mookie Blaylock,27,ATL,PG,80,80,3069,19.2,0.531,0.463,0.179,4.3,10.7,7.5,34.2,3.5,0.6,15.8,22.7,4.6,4.8,9.4,0.147,3.5,1.5,5.1,5.4
Gary Payton,26,SEA,PG,82,82,3015,21.3,0.564,0.172,0.259,4.3,6.7,5.5,31.8,3.4,0.3,11.8,24.4,8.2,3.5,11.7,0.187,4.1,0.8,4.9,5.2
Glen Rice,27,MIA,SF,82,82,3014,19.7,0.586,0.321,0.26,3.8,11.1,7.4,11.1,1.9,0.4,8.9,25.2,7.9,2.1,10.0,0.159,3.9,-0.6,3.3,4.0
Scottie Pippen,29,CHI,SF,79,79,3014,22.6,0.559,0.239,0.333,6.9,18.2,12.5,22.8,4.0,2.2,15.2,26.3,5.1,6.7,11.8,0.188,4.4,3.0,7.5,7.2
Avery Johnson,29,SAS,PG,82,82,3011,15.7,0.554,0.025,0.342,1.9,5.7,3.9,33.4,1.9,0.3,17.3,17.5,5.1,3.0,8.0,0.128,1.2,0.0,1.2,2.4
Clarence Weatherspoon,24,PHI,SF,76,76,2991,15.2,0.489,0.017,0.305,5.6,15.0,10.3,12.8,2.0,1.7,12.0,23.8,0.7,2.9,3.6,0.057,-0.2,-0.4,-0.6,1.1
Jamal Mashburn,22,DAL,SF,80,80,2980,17.3,0.526,0.22,0.386,4.0,8.2,6.0,17.2,1.4,0.2,11.4,28.6,5.0,1.3,6.3,0.102,2.2,-1.5,0.7,2.0
Loy Vaught,26,LAC,PF,80,79,2966,17.1,0.541,0.028,0.209,9.7,21.7,15.3,8.3,1.8,0.7,11.4,21.4,3.0,2.5,5.5,0.089,0.5,-1.2,-0.7,1.0
Glenn Robinson,22,MIL,SF,80,76,2958,16.6,0.538,0.19,0.354,6.7,14.4,10.4,12.2,2.0,0.6,16.1,29.1,1.1,2.2,3.2,0.053,0.6,-1.5,-0.9,0.8
