Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Isiah Thomas,21,DET,PG,81,81,3093,18.9,0.525,0.081,0.337,3.5,7.7,5.5,30.3,2.9,0.5,15.6,26.1,4.5,3.0,7.4,0.115,1.9,0.0,1.9,3.0
Rick Mahorn,24,WSB,PF,82,82,3023,11.6,0.51,0.004,0.331,6.2,22.5,14.3,5.4,1.4,2.8,16.2,14.4,0.0,6.2,6.2,0.099,-2.6,2.2,-0.4,1.2
Mychal Thompson,28,POR,PF,80,80,3017,15.4,0.52,0.001,0.388,6.8,21.3,14.0,17.8,1.1,2.1,18.9,20.1,1.5,3.9,5.4,0.086,0.8,0.7,1.5,2.7
Alex English,29,DEN,SF,82,82,2988,24.1,0.561,0.006,0.264,8.9,11.5,10.2,19.5,1.7,2.1,11.3,28.9,8.7,1.6,10.3,0.166,5.4,-0.8,4.6,5.0
Joe Barry Carroll,24,GSW,C,79,79,2988,20.1,0.549,0.002,0.307,7.7,17.5,12.5,8.6,1.7,2.9,14.1,26.5,4.3,2.8,7.0,0.113,1.9,-0.4,1.5,2.6
Larry Bird,26,BOS,PF,79,79,2982,24.1,0.561,0.052,0.282,7.0,24.2,15.7,22.4,2.3,1.3,12.6,25.0,8.4,5.6,14.0,0.225,5.4,2.1,7.5,7.2
Buck Williams,22,NJN,PF,82,82,2961,18.6,0.611,0.004,0.573,14.1,25.0,19.6,5.9,1.4,2.2,17.7,18.4,5.5,5.9,11.4,0.185,1.6,0.4,2.0,3.0
Eddie Johnson,23,KCK,SF,82,82,2933,15.9,0.537,0.052,0.231,7.0,11.4,9.2,10.4,1.1,0.4,10.7,22.2,5.3,2.1,7.4,0.121,1.6,-1.3,0.2,1.7
Moses Malone,27,PHI,C,78,78,2922,25.1,0.578,0.001,0.604,16.8,25.9,21.6,5.1,1.4,3.0,13.8,26.0,9.1,6.0,15.1,0.248,4.0,-0.3,3.7,4.2
Larry Nance,23,PHO,PF,82,82,2914,18.7,0.573,0.003,0.268,9.5,17.1,13.5,9.7,1.6,4.2,13.7,19.4,4.8,5.6,10.5,0.172,1.7,1.8,3.5,4.0
