,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
239,Gerald Henderson,24,BOS,PG,76,2,1061,12.7,.539,.016,.338,3.9,4.8,4.4,19.0,2.0,0.8,19.9,20.5,0.5,1.2,1.7,.078,-0.5,0.1,-0.4,0.4
240,Willie Smith,26,CLE,PG,62,,1051,12.2,.442,.225,.165,5.4,6.8,6.1,29.3,3.2,0.1,21.9,15.8,0.0,1.0,1.0,.047,-0.7,0.7,0.0,0.5
241,Mike Dunleavy,25,HOU,PG,51,,1036,12.9,.542,.063,.420,2.7,8.1,5.3,26.7,1.8,0.2,22.5,18.6,0.9,0.5,1.4,.065,-0.7,-0.8,-1.5,0.1
242,Glen Gondrezick,24,DEN,SF,59,,1020,16.7,.575,.021,.423,10.7,15.9,13.2,10.9,3.1,0.8,14.6,15.3,1.9,1.2,3.1,.145,0.8,1.2,2.0,1.0
243,Jim Brewer,28,POR,PF,67,,1016,11.3,.493,.027,.158,10.8,17.1,13.9,9.6,2.0,2.5,19.3,9.8,0.5,1.5,2.0,.096,-1.2,1.9,0.7,0.7
244,Don Ford,27,2TM,SF,73,,999,9.6,.518,.011,.193,4.9,14.8,9.9,7.8,1.0,1.1,14.6,13.7,0.6,0.9,1.5,.072,-2.2,0.1,-2.1,0.0
245,Don Ford,27,LAL,SF,52,,580,8.3,.545,.008,.215,4.7,13.0,9.2,7.2,0.9,1.3,17.4,11.9,0.3,0.6,0.9,.073,-2.7,0.1,-2.5,-0.1
246,Don Ford,27,CLE,SF,21,,419,11.4,.494,.014,.174,5.1,17.4,11.0,8.6,1.2,0.8,11.9,16.1,0.2,0.4,0.6,.071,-1.5,0.0,-1.5,0.1
247,Clint Richardson,23,PHI,SG,52,34,988,9.9,.472,.009,.129,6.2,6.9,6.6,14.9,1.1,0.8,14.8,17.5,0.1,1.0,1.1,.052,-2.1,-0.5,-2.6,-0.2
248,Pete Maravich,32,2TM,SG,43,4,964,13.8,.500,.028,.193,2.1,7.0,4.6,13.8,1.2,0.4,12.2,28.9,0.1,0.4,0.5,.027,-1.3,-2.5,-3.8,-0.4
249,Pete Maravich,32,UTA,SG,17,,522,12.4,.459,.037,.170,1.6,7.1,4.5,16.6,1.4,0.4,12.5,29.7,-0.5,0.0,-0.5,-0.043,-2.1,-3.5,-5.6,-0.5
250,Pete Maravich,32,BOS,SG,26,4,442,15.6,.547,.016,.221,2.6,6.9,4.8,10.4,1.0,0.3,11.9,27.9,0.6,0.4,1.0,.110,-0.3,-1.4,-1.7,0.0
251,Doug Collins,28,PHI,SG,36,17,963,13.6,.533,.002,.302,3.4,6.8,5.2,15.1,1.5,0.4,15.0,22.7,0.9,1.0,1.9,.094,-1.1,-0.8,-1.9,0.0
252,Geoff Huston,22,NYK,PG,71,,923,7.0,.425,.071,.158,1.6,5.2,3.4,20.0,1.9,0.3,22.1,13.8,-0.7,0.3,-0.3,-0.017,-3.4,-1.0,-4.4,-0.6
253,Len Elmore,27,KCK,C,58,,915,10.6,.472,.000,.306,8.4,22.2,15.0,8.8,2.1,2.5,19.6,14.9,-0.3,1.8,1.5,.080,-3.5,2.1,-1.4,0.1
254,Jeff Cook,23,PHO,PF,66,,904,14.4,.546,.011,.469,11.2,18.0,14.6,12.2,1.4,1.1,17.6,17.7,1.1,1.3,2.4,.126,-0.3,0.1,-0.2,0.4
255,Pat Cummings,23,MIL,C,71,,900,15.3,.552,.000,.332,10.1,18.4,14.4,8.2,1.1,1.0,14.9,22.0,1.2,1.2,2.5,.131,-1.0,-0.6,-1.6,0.1
256,Gus Gerard,26,KCK,SF,73,,869,14.1,.491,.009,.287,9.2,12.8,10.9,6.9,2.2,1.7,11.1,20.3,0.5,1.4,1.9,.104,-0.8,0.6,-0.2,0.4
