,Season,Lg,Player,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
46,1977-78,NBA,Bill Walton,25,POR,58,33.3,18.9,13.2,5.0,1.0,2.5,.522,,.720,8.4,.209
47,1976-77,NBA,Kareem Abdul-Jabbar,29,LAL,82,36.8,26.2,13.3,3.9,1.2,3.2,.579,,.701,17.8,.283
48,1975-76,NBA,Kareem Abdul-Jabbar,28,LAL,82,41.2,27.7,16.9,5.0,1.5,4.1,.529,,.703,17.0,.242
49,1974-75,NBA,Bob McAdoo,23,BUF,82,43.2,34.5,14.1,2.2,1.1,2.1,.512,,.805,17.8,.242
50,1973-74,NBA,Kareem Abdul-Jabbar,26,MIL,81,43.8,27.0,14.5,4.8,1.4,3.5,.539,,.702,18.4,.250
51,1972-73,NBA,Dave Cowens,24,BOS,82,41.8,20.5,16.2,4.1,,,.452,,.779,12.0,.168
52,1971-72,NBA,Kareem Abdul-Jabbar,24,MIL,81,44.2,34.8,16.6,4.6,,,.574,,.689,25.4,.340
53,1970-71,NBA,Kareem Abdul-Jabbar,23,MIL,82,40.1,31.7,16.0,3.3,,,.577,,.690,22.3,.326
54,1969-70,NBA,Willis Reed,27,NYK,81,38.1,21.7,13.9,2.0,,,.507,,.756,14.6,.227
55,1968-69,NBA,Wes Unseld,22,BAL,82,36.2,13.8,18.2,2.6,,,.476,,.605,10.8,.175
56,1967-68,NBA,Wilt Chamberlain,31,PHI,82,46.8,24.3,23.8,8.6,,,.595,,.380,20.4,.255
57,1966-67,NBA,Wilt Chamberlain,30,PHI,81,45.5,24.1,24.2,7.8,,,.683,,.441,21.9,.285
58,1965-66,NBA,Wilt Chamberlain,29,PHI,79,47.3,33.5,24.6,5.2,,,.540,,.513,21.4,.275
59,1964-65,NBA,Bill Russell,30,BOS,78,44.4,14.1,24.1,5.3,,,.438,,.573,16.9,.234
60,1963-64,NBA,Oscar Robertson,25,CIN,79,45.1,31.4,9.9,11.0,,,.483,,.853,20.6,.278
61,1962-63,NBA,Bill Russell,28,BOS,78,44.9,16.8,23.6,4.5,,,.432,,.555,13.5,.185
62,1961-62,NBA,Bill Russell,27,BOS,76,45.2,18.9,23.6,4.5,,,.457,,.595,15.5,.217
63,1960-61,NBA,Bill Russell,26,BOS,78,44.3,16.9,23.9,3.4,,,.426,,.550,13.0,.181
64,1959-60,NBA,Wilt Chamberlain,23,PHW,72,46.4,37.6,27.0,2.3,,,.461,,.582,17.0,.245
65,1958-59,NBA,Bob Pettit,26,STL,72,39.9,29.2,16.4,3.1,,,.438,,.759,14.8,.246
66,1957-58,NBA,Bill Russell,23,BOS,69,38.3,16.6,22.7,2.9,,,.442,,.519,11.3,.206
67,1956-57,NBA,Bob Cousy,28,BOS,64,36.9,20.6,4.8,7.5,,,.378,,.821,8.8,.178
68,1955-56,NBA,Bob Pettit,23,STL,72,38.8,25.7,16.2,2.6,,,.429,,.736,13.8,.236
