,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Joel Embiid,28,PHI,73,915,1000,0.915,66,34.6,33.1,10.2,4.2,1.0,1.7,.548,.330,.857,12.3,.259
1,2,Nikola JokiÄ,27,DEN,15,674,1000,0.674,69,33.7,24.5,11.8,9.8,1.3,0.7,.632,.383,.822,14.9,.308
2,3,Giannis Antetokounmpo,28,MIL,12,606,1000,0.606,63,32.1,31.1,11.8,5.7,0.8,0.8,.553,.275,.645,8.6,.204
3,4,Jayson Tatum,24,BOS,0,280,1000,0.280,74,36.9,30.1,8.8,4.6,1.1,0.7,.466,.350,.854,10.5,.185
4,5,Shai Gilgeous-Alexander,24,OKC,0,46,1000,0.046,68,35.5,31.4,4.8,5.5,1.6,1.0,.510,.345,.905,11.4,.226
