,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Steve Nash,31,PHO,57,924,1250,0.739,79,35.4,18.8,4.2,10.5,0.8,0.2,.512,.439,.921,12.4,.212
1,2,LeBron James,21,CLE,16,688,1250,0.550,79,42.5,31.4,7.0,6.6,1.6,0.8,.480,.335,.738,16.3,.232
2,3,Dirk Nowitzki,27,DAL,14,544,1250,0.435,81,38.1,26.6,9.0,2.8,0.7,1.0,.480,.406,.901,17.7,.275
3,4,Kobe Bryant,27,LAL,22,483,1250,0.386,80,41.0,35.4,5.3,4.5,1.8,0.4,.450,.347,.850,15.3,.224
4,5,Chauncey Billups,29,DET,15,430,1250,0.344,81,36.1,18.5,3.1,8.6,0.9,0.1,.418,.433,.894,15.5,.254
