Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,LeBron James,28,MIA,120,1207,1210,0.998,jamesle01
2,Kevin Durant,24,OKC,0,765,1210,0.632,duranke01
3,Carmelo Anthony,28,NYK,1,475,1210,0.393,anthoca01
4,Chris Paul,27,LAC,0,289,1210,0.239,paulch01
5,Kobe Bryant,34,LAL,0,184,1210,0.152,bryanko01
6,Tony Parker,30,SAS,0,86,1210,0.071,parketo01
7,Tim Duncan,36,SAS,0,65,1210,0.054,duncati01
8,James Harden,23,HOU,0,33,1210,0.027,hardeja01
9,Russell Westbrook,24,OKC,0,9,1210,0.007,westbru01
10,Dwyane Wade,31,MIA,0,5,1210,0.004,wadedw01
11,Stephen Curry,24,GSW,0,3,1210,0.002,curryst01
12T,Kevin Garnett,36,BOS,0,1,1210,0.001,garneke01
12T,Marc Gasol,28,MEM,0,1,1210,0.001,gasolma01
12T,Ty Lawson,25,DEN,0,1,1210,0.001,lawsoty01
12T,David Lee,29,GSW,0,1,1210,0.001,leeda02
12T,Joakim Noah,27,CHI,0,1,1210,0.001,noahjo01
