Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,Kevin Garnett,27,MIN,120,1219,1230,0.991,garneke01
2,Tim Duncan,27,SAS,0,716,1230,0.582,duncati01
3,Jermaine O'Neal,25,IND,2,523,1230,0.425,onealje01
4,Peja Stojaković,26,SAC,1,281,1230,0.228,stojape01
5,Kobe Bryant,25,LAL,0,212,1230,0.172,bryanko01
6,Shaquille O'Neal,31,LAL,0,178,1230,0.145,onealsh01
7,Ben Wallace,29,DET,0,24,1230,0.020,wallabe01
8,Jason Kidd,30,NJN,0,17,1230,0.014,kiddja01
9,LeBron James,19,CLE,0,11,1230,0.009,jamesle01
10T,Sam Cassell,34,MIN,0,4,1230,0.003,cassesa01
10T,Baron Davis,24,NOH,0,4,1230,0.003,davisba01
10T,Dirk Nowitzki,25,DAL,0,4,1230,0.003,nowitdi01
13,Andrei Kirilenko,22,UTA,0,2,1230,0.002,kirilan01
14T,Carmelo Anthony,19,DEN,0,1,1230,0.001,anthoca01
14T,Yao Ming,23,HOU,0,1,1230,0.001,mingya01
14T,Michael Redd,24,MIL,0,1,1230,0.001,reddmi01
