Player,Share,Team
Steve Nash,0.739,PHO
LeBron James,0.55,CLE
Dirk Nowitzki,0.435,DAL
Kobe Bryant,0.386,LAL
Chauncey Billups,0.344,DET
Dwyane Wade,0.07,MIA
Elton Brand,0.04,LAC
Tim Duncan,0.026,SAS
Tony Parker,0.007,SAS
Allen Iverson,0.001,PHI
Shawn Marion,0.001,PHO
