Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,Giannis Antetokounmpo,24,MIL,78,941,1010,0.932,antetgi01
2,James Harden,29,HOU,23,776,1010,0.768,hardeja01
3,Paul George,28,OKC,0,356,1010,0.352,georgpa01
4,Nikola Jokić,23,DEN,0,212,1010,0.210,jokicni01
5,Stephen Curry,30,GSW,0,175,1010,0.173,curryst01
6,Damian Lillard,28,POR,0,69,1010,0.068,lillada01
7,Joel Embiid,24,PHI,0,49,1010,0.049,embiijo01
8,Kevin Durant,30,GSW,0,25,1010,0.025,duranke01
9,Kawhi Leonard,27,TOR,0,13,1010,0.013,leonaka01
10,Russell Westbrook,30,OKC,0,8,1010,0.008,westbru01
11T,Rudy Gobert,26,UTA,0,1,1010,0.001,goberru01
11T,LeBron James,34,LAL,0,1,1010,0.001,jamesle01
