Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,Kobe Bryant,29,LAL,82,1100,1260,0.873,bryanko01
2,Chris Paul,22,NOH,28,894,1260,0.710,paulch01
3,Kevin Garnett,31,BOS,15,670,1260,0.532,garneke01
4,LeBron James,23,CLE,1,438,1260,0.348,jamesle01
5,Dwight Howard,22,ORL,0,60,1260,0.048,howardw01
6,Amar'e Stoudemire,25,PHO,0,27,1260,0.021,stoudam01
7,Tim Duncan,31,SAS,0,25,1260,0.020,duncati01
8,Tracy McGrady,28,HOU,0,19,1260,0.015,mcgratr01
9,Steve Nash,33,PHO,0,18,1260,0.014,nashst01
10,Manu Ginóbili,30,SAS,0,9,1260,0.007,ginobma01
11,Dirk Nowitzki,29,DAL,0,5,1260,0.004,nowitdi01
12,Deron Williams,23,UTA,0,4,1260,0.003,willide01
13,Carmelo Anthony,23,DEN,0,3,1260,0.002,anthoca01
14T,Carlos Boozer,26,UTA,0,1,1260,0.001,boozeca01
14T,Antawn Jamison,31,WAS,0,1,1260,0.001,jamisan01
14T,Paul Pierce,30,BOS,0,1,1260,0.001,piercpa01
14T,Rasheed Wallace,33,DET,0,1,1260,0.001,wallara01
