Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,Russell Westbrook,28,OKC,69,888,1010,0.879,westbru01
2,James Harden,27,HOU,22,753,1010,0.746,hardeja01
3,Kawhi Leonard,25,SAS,9,500,1010,0.495,leonaka01
4,LeBron James,32,CLE,1,333,1010,0.330,jamesle01
5,Isaiah Thomas,27,BOS,0,81,1010,0.080,thomais02
6,Stephen Curry,28,GSW,0,52,1010,0.051,curryst01
7T,Giannis Antetokounmpo,22,MIL,0,7,1010,0.007,antetgi01
7T,John Wall,26,WAS,0,7,1010,0.007,walljo01
9T,Anthony Davis,23,NOP,0,2,1010,0.002,davisan02
9T,Kevin Durant,28,GSW,0,2,1010,0.002,duranke01
11,DeMar DeRozan,27,TOR,0,1,1010,0.001,derozde01
