,Player,Age,Tm,First,Pts Won,Pts Max,Share
0,Stephen Curry,26,GSW,100,1198,1300,0.922
1,James Harden,25,HOU,25,936,1300,0.720
2,LeBron James,30,CLE,5,552,1300,0.425
3,Russell Westbrook,26,OKC,0,352,1300,0.271
4,Anthony Davis,21,NOP,0,203,1300,0.156
5,Chris Paul,29,LAC,0,124,1300,0.095
6,LaMarcus Aldridge,29,POR,0,6,1300,0.005
7,Marc Gasol,30,MEM,0,3,1300,0.002
8,Blake Griffin,25,LAC,0,3,1300,0.002
9,Tim Duncan,38,SAS,0,1,1300,0.001
10,Kawhi Leonard,23,SAS,0,1,1300,0.001
11,Klay Thompson,24,GSW,0,1,1300,0.001
