Player,Age,Tm,First,Pts Won,Pts Max,Share
Michael Jordan,34,CHI,92,1084,1160,0.934
Karl Malone,34,UTA,20,842,1160,0.726
Gary Payton,29,SEA,3,431,1160,0.372
Shaquille O'Neal,25,LAL,1,311,1160,0.268
Tim Duncan,21,SAS,0,148,1160,0.128
Tim Hardaway,31,MIA,0,71,1160,0.061
David Robinson,32,SAS,0,36,1160,0.031
Vin Baker,26,SEA,0,24,1160,0.021
Grant Hill,25,DET,0,23,1160,0.02
Scottie Pippen,32,CHI,0,14,1160,0.012
Glen Rice,30,CHH,0,7,1160,0.006
Antoine Walker,21,BOS,0,6,1160,0.005
Jason Kidd,24,PHO,0,5,1160,0.004
John Stockton,35,UTA,0,5,1160,0.004
Mitch Richmond,32,SAC,0,3,1160,0.003
Reggie Miller,32,IND,0,2,1160,0.002
Rik Smits,31,IND,0,2,1160,0.002
Michael Finley,24,DAL,0,1,1160,0.001
Rod Strickland,31,WAS,0,1,1160,0.001
