Player,Age,Tm,First,Pts Won,Pts Max,Share
Magic Johnson,30,LAL,27,636,920,0.691
Charles Barkley,26,PHI,38,614,920,0.667
Michael Jordan,26,CHI,21,564,920,0.613
Karl Malone,26,UTA,2,214,920,0.233
Patrick Ewing,27,NYK,1,162,920,0.176
David Robinson,24,SAS,2,102,920,0.111
Hakeem Olajuwon,27,HOU,1,64,920,0.07
Tom Chambers,30,PHO,0,12,920,0.013
John Stockton,27,UTA,0,9,920,0.01
Larry Bird,33,BOS,0,5,920,0.005
Buck Williams,29,POR,0,5,920,0.005
Clyde Drexler,27,POR,0,3,920,0.003
Joe Dumars,26,DET,0,1,920,0.001
Isiah Thomas,28,DET,0,1,920,0.001
