Player,Age,Tm,First,Pts Won,Pts Max,Share
Magic Johnson,29,LAL,42.5,664.5,850,0.782
Michael Jordan,25,CHI,27.5,598.8,850,0.704
Karl Malone,25,UTA,5.0,362.0,850,0.426
Patrick Ewing,26,NYK,8.0,200.0,850,0.235
Hakeem Olajuwon,26,HOU,2.0,179.3,850,0.211
Charles Barkley,25,PHI,0.0,94.3,850,0.111
John Stockton,26,UTA,0.0,28.0,850,0.033
Kevin Johnson,22,PHO,0.0,22.0,850,0.026
Tom Chambers,29,PHO,0.0,20.0,850,0.024
Mark Price,24,CLE,0.0,18.0,850,0.021
Brad Daugherty,23,CLE,0.0,4.0,850,0.005
Robert Parish,35,BOS,0.0,4.0,850,0.005
Mark Eaton,32,UTA,0.0,3.0,850,0.004
Moses Malone,33,ATL,0.0,3.0,850,0.004
Chris Mullin,25,GSW,0.0,3.0,850,0.004
Larry Nance,29,CLE,0.0,3.0,850,0.004
Terry Cummings,27,MIL,0.0,1.0,850,0.001
Joe Dumars,25,DET,0.0,1.0,850,0.001
Isiah Thomas,27,DET,0.0,1.0,850,0.001
