Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,Stephen Curry,27,GSW,131,1310,1310,1.000,curryst01
2,Kawhi Leonard,24,SAS,0,634,1310,0.484,leonaka01
3,LeBron James,31,CLE,0,631,1310,0.482,jamesle01
4,Russell Westbrook,27,OKC,0,486,1310,0.371,westbru01
5,Kevin Durant,27,OKC,0,147,1310,0.112,duranke01
6,Chris Paul,30,LAC,0,107,1310,0.082,paulch01
7,Draymond Green,25,GSW,0,50,1310,0.038,greendr01
8,Damian Lillard,25,POR,0,26,1310,0.020,lillada01
9,James Harden,26,HOU,0,9,1310,0.007,hardeja01
10,Kyle Lowry,29,TOR,0,6,1310,0.005,lowryky01
