Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,LeBron James,25,CLE,116,1205,1230,0.980,jamesle01
2,Kevin Durant,21,OKC,4,609,1230,0.495,duranke01
3,Kobe Bryant,31,LAL,0,599,1230,0.487,bryanko01
4,Dwight Howard,24,ORL,3,478,1230,0.389,howardw01
5,Dwyane Wade,28,MIA,0,119,1230,0.097,wadedw01
6,Carmelo Anthony,25,DEN,0,65,1230,0.053,anthoca01
7,Dirk Nowitzki,31,DAL,0,55,1230,0.045,nowitdi01
8,Steve Nash,35,PHO,0,49,1230,0.040,nashst01
9,Deron Williams,25,UTA,0,7,1230,0.006,willide01
10,Amar'e Stoudemire,27,PHO,0,5,1230,0.004,stoudam01
11,Manu Ginóbili,32,SAS,0,3,1230,0.002,ginobma01
12T,Chauncey Billups,33,DEN,0,1,1230,0.001,billuch01
12T,Chris Bosh,25,TOR,0,1,1230,0.001,boshch01
12T,Stephen Jackson,31,TOT,0,1,1230,0.001,jacksst02
12T,Joe Johnson,28,ATL,0,1,1230,0.001,johnsjo02
