Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,Steve Nash,31,PHO,57,924,1250,0.739,nashst01
2,LeBron James,21,CLE,16,688,1250,0.550,jamesle01
3,Dirk Nowitzki,27,DAL,14,544,1250,0.435,nowitdi01
4,Kobe Bryant,27,LAL,22,483,1250,0.386,bryanko01
5,Chauncey Billups,29,DET,15,430,1250,0.344,billuch01
6,Dwyane Wade,24,MIA,0,87,1250,0.070,wadedw01
7,Elton Brand,26,LAC,1,50,1250,0.040,brandel01
8,Tim Duncan,29,SAS,0,33,1250,0.026,duncati01
9,Tony Parker,23,SAS,0,9,1250,0.007,parketo01
10T,Allen Iverson,30,PHI,0,1,1250,0.001,iversal01
10T,Shawn Marion,27,PHO,0,1,1250,0.001,mariosh01
