,Player,Age,Tm,First,Pts Won,Pts Max,Share
0,James Harden,28,HOU,86,965,1010,0.955
1,LeBron James,33,CLE,15,738,1010,0.731
2,Anthony Davis,24,NOP,0,445,1010,0.441
3,Damian Lillard,27,POR,0,207,1010,0.205
4,Russell Westbrook,29,OKC,0,76,1010,0.075
5,Giannis Antetokounmpo,23,MIL,0,75,1010,0.074
6,Kevin Durant,29,GSW,0,66,1010,0.065
7,DeMar DeRozan,28,TOR,0,32,1010,0.032
8,LaMarcus Aldridge,32,SAS,0,6,1010,0.006
9,Jimmy Butler,28,MIN,0,5,1010,0.005
10,Stephen Curry,29,GSW,0,5,1010,0.005
11,Joel Embiid,23,PHI,0,4,1010,0.004
12,Victor Oladipo,25,IND,0,2,1010,0.002
