Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,Steve Nash,30,PHO,65,1066,1270,0.839,nashst01
2,Shaquille O'Neal,32,MIA,58,1032,1270,0.813,onealsh01
3,Dirk Nowitzki,26,DAL,0,349,1270,0.275,nowitdi01
4,Tim Duncan,28,SAS,1,328,1270,0.258,duncati01
5,Allen Iverson,29,PHI,2,240,1270,0.189,iversal01
6,LeBron James,20,CLE,0,93,1270,0.073,jamesle01
7,Tracy McGrady,25,HOU,0,44,1270,0.035,mcgratr01
8,Dwyane Wade,23,MIA,0,43,1270,0.034,wadedw01
9T,Amar'e Stoudemire,22,PHO,1,41,1270,0.032,stoudam01
9T,Ray Allen,29,SEA,0,41,1270,0.032,allenra02
11,Kevin Garnett,28,MIN,0,15,1270,0.012,garneke01
12,Gilbert Arenas,23,WAS,0,4,1270,0.003,arenagi01
13,Vince Carter,28,TOT,0,3,1270,0.002,cartevi01
14T,P.J. Brown,35,NOH,0,1,1270,0.001,brownpj01
14T,Marcus Camby,30,DEN,0,1,1270,0.001,cambyma01
14T,Shawn Marion,26,PHO,0,1,1270,0.001,mariosh01
