Player,Age,Tm,First,Pts Won,Pts Max,Share
Larry Bird,29,BOS,73,765,780,0.981
Dominique Wilkins,26,ATL,5,407,780,0.522
Magic Johnson,26,LAL,0,205,780,0.263
Hakeem Olajuwon,23,HOU,0,193,780,0.247
Kareem Abdul-Jabbar,38,LAL,0,135,780,0.173
Charles Barkley,22,PHI,0,133,780,0.171
Sidney Moncrief,28,MIL,0,56,780,0.072
Alex English,32,DEN,0,55,780,0.071
Isiah Thomas,24,DET,0,28,780,0.036
Moses Malone,30,PHI,0,21,780,0.027
Terry Cummings,24,MIL,0,9,780,0.012
James Worthy,24,LAL,0,7,780,0.009
Kevin McHale,28,BOS,0,3,780,0.004
Paul Pressey,27,MIL,0,3,780,0.004
Alvin Robertson,23,SAS,0,3,780,0.004
Adrian Dantley,30,UTA,0,2,780,0.003
Buck Williams,25,NJN,0,2,780,0.003
Dennis Johnson,31,BOS,0,1,780,0.001
