Player,Age,Tm,First,Pts Won,Pts Max,Share
Larry Bird,27,BOS,52,652,760,0.858
Bernard King,27,NYK,11,373,760,0.491
Magic Johnson,24,LAL,5,305,760,0.401
Kareem Abdul-Jabbar,36,LAL,3,153,760,0.201
Isiah Thomas,22,DET,1,115,760,0.151
Julius Erving,33,PHI,1,98,760,0.129
Adrian Dantley,28,UTA,1,88,760,0.116
Sidney Moncrief,26,MIL,1,70,760,0.092
Jeff Ruland,25,WSB,1,38,760,0.05
Moses Malone,28,PHI,0,35,760,0.046
Mark Aguirre,24,DAL,0,28,760,0.037
Bill Laimbeer,26,DET,0,9,760,0.012
Rickey Green,29,UTA,0,8,760,0.011
World B. Free,30,CLE,0,1,760,0.001
Marques Johnson,27,MIL,0,1,760,0.001
