Player,Age,Tm,First,Pts Won,Pts Max,Share
Tim Duncan,25,SAS,57,954,1260,0.757
Jason Kidd,28,NJN,45,897,1260,0.712
Shaquille O'Neal,29,LAL,15,696,1260,0.552
Tracy McGrady,22,ORL,7,390,1260,0.31
Kobe Bryant,23,LAL,1,98,1260,0.078
Gary Payton,33,SEA,1,54,1260,0.043
Chris Webber,28,SAC,0,37,1260,0.029
Dirk Nowitzki,23,DAL,0,31,1260,0.025
Allen Iverson,26,PHI,0,29,1260,0.023
Ben Wallace,27,DET,0,24,1260,0.019
Paul Pierce,24,BOS,0,22,1260,0.017
Kevin Garnett,25,MIN,0,17,1260,0.013
Michael Jordan,38,WAS,0,16,1260,0.013
Steve Nash,27,DAL,0,5,1260,0.004
Jerry Stackhouse,27,DET,0,3,1260,0.002
Mike Bibby,23,SAC,0,1,1260,0.001
Elton Brand,22,LAC,0,1,1260,0.001
Peja StojakoviÄ,24,SAC,0,1,1260,0.001
