Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,LeBron James,27,MIA,85,1074,1210,0.888,jamesle01
2,Kevin Durant,23,OKC,24,889,1210,0.735,duranke01
3,Chris Paul,26,LAC,6,385,1210,0.318,paulch01
4,Kobe Bryant,33,LAL,2,352,1210,0.291,bryanko01
5,Tony Parker,29,SAS,4,331,1210,0.274,parketo01
6,Kevin Love,23,MIN,0,58,1210,0.048,loveke01
7,Dwight Howard,26,ORL,0,13,1210,0.011,howardw01
8,Rajon Rondo,25,BOS,0,12,1210,0.010,rondora01
9,Steve Nash,37,PHO,0,7,1210,0.006,nashst01
10,Dwyane Wade,30,MIA,0,6,1210,0.005,wadedw01
11,Derrick Rose,23,CHI,0,5,1210,0.004,rosede01
12T,Dirk Nowitzki,33,DAL,0,4,1210,0.003,nowitdi01
12T,Russell Westbrook,23,OKC,0,4,1210,0.003,westbru01
14,Tim Duncan,35,SAS,0,3,1210,0.002,duncati01
15,Joe Johnson,30,ATL,0,1,1210,0.001,johnsjo02
