Player,Age,Tm,First,Pts Won,Pts Max,Share
Hakeem Olajuwon,31,HOU,66,889,1010,0.88
David Robinson,28,SAS,24,730,1010,0.723
Scottie Pippen,28,CHI,7,390,1010,0.386
Shaquille O'Neal,21,ORL,3,289,1010,0.286
Patrick Ewing,31,NYK,1,255,1010,0.252
Gary Payton,25,SEA,0,20,1010,0.02
Shawn Kemp,24,SEA,0,17,1010,0.017
Karl Malone,30,UTA,0,17,1010,0.017
Mark Price,29,CLE,0,7,1010,0.007
Charles Barkley,30,PHO,0,5,1010,0.005
Mookie Blaylock,26,ATL,0,1,1010,0.001
Kevin Johnson,27,PHO,0,1,1010,0.001
Dennis Rodman,32,SAS,0,1,1010,0.001
Latrell Sprewell,23,GSW,0,1,1010,0.001
John Stockton,31,UTA,0,1,1010,0.001
Dominique Wilkins,34,TOT,0,1,1010,0.001
Kevin Willis,31,ATL,0,1,1010,0.001
