,Player,Age,Tm,First,Pts Won,Pts Max,Share
0,Karl Malone,33,UTA,63,986,1150,0.857
1,Michael Jordan,33,CHI,52,957,1150,0.832
2,Grant Hill,24,DET,0,376,1150,0.327
3,Tim Hardaway,30,MIA,0,238,1150,0.207
4,Glen Rice,29,CHH,0,134,1150,0.117
5,Gary Payton,28,SEA,0,105,1150,0.091
6,Hakeem Olajuwon,34,HOU,0,95,1150,0.083
7,Patrick Ewing,34,NYK,0,57,1150,0.050
8,Anthony Mason,30,CHH,0,7,1150,0.006
9,Shaquille O'Neal,24,LAL,0,7,1150,0.006
10,Scottie Pippen,31,CHI,0,6,1150,0.005
11,Alonzo Mourning,26,MIA,0,5,1150,0.004
12,Dikembe Mutombo,30,ATL,0,4,1150,0.003
13,Mitch Richmond,31,SAC,0,4,1150,0.003
14,John Stockton,34,UTA,0,3,1150,0.003
15,Charles Barkley,33,HOU,0,2,1150,0.002
16,Tom Gugliotta,27,MIN,0,1,1150,0.001
17,Allen Iverson,21,PHI,0,1,1150,0.001
18,Kevin Johnson,30,PHO,0,1,1150,0.001
19,Steve Smith,27,ATL,0,1,1150,0.001
