Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,Nikola Jokić,25,DEN,91,971,1010,0.961,jokicni01
2,Joel Embiid,26,PHI,1,586,1010,0.580,embiijo01
3,Stephen Curry,32,GSW,5,453,1010,0.449,curryst01
4,Giannis Antetokounmpo,26,MIL,1,348,1010,0.345,antetgi01
5,Chris Paul,35,PHO,2,139,1010,0.138,paulch01
6,Luka Dončić,21,DAL,0,42,1010,0.042,doncilu01
7,Damian Lillard,30,POR,0,38,1010,0.038,lillada01
8,Julius Randle,26,NYK,0,20,1010,0.020,randlju01
9,Derrick Rose,32,TOT,1,10,1010,0.010,rosede01
10,Rudy Gobert,28,UTA,0,8,1010,0.008,goberru01
11,Russell Westbrook,32,WAS,0,5,1010,0.005,westbru01
12,Ben Simmons,24,PHI,0,3,1010,0.003,simmobe01
13T,James Harden,31,TOT,0,1,1010,0.001,hardeja01
13T,LeBron James,36,LAL,0,1,1010,0.001,jamesle01
13T,Kawhi Leonard,29,LAC,0,1,1010,0.001,leonaka01
