,Player,Age,Tm,First,Pts Won,Pts Max,Share
0,Michael Jordan,24,CHI,47,665,800,0.831
1,Larry Bird,31,BOS,16,527,800,0.659
2,Magic Johnson,28,LAL,16,508,800,0.635
3,Charles Barkley,24,PHI,1,109,800,0.136
4,Clyde Drexler,25,POR,0,86,800,0.108
5,Dominique Wilkins,28,ATL,0,55,800,0.069
6,Hakeem Olajuwon,25,HOU,0,40,800,0.050
7,Karl Malone,24,UTA,0,36,800,0.045
8,Fat Lever,27,DEN,0,26,800,0.033
9,John Stockton,25,UTA,0,15,800,0.019
10,Alex English,34,DEN,0,4,800,0.005
11,Isiah Thomas,26,DET,0,3,800,0.004
12,Mark Jackson,22,NYK,0,2,800,0.003
13,Michael Adams,25,DEN,0,1,800,0.001
14,Mark Aguirre,28,DAL,0,1,800,0.001
15,Adrian Dantley,32,DET,0,1,800,0.001
16,Buck Williams,27,NJN,0,1,800,0.001
