Player,Share,Team
Moses Malone,0.735,HOU
Larry Bird,0.588,BOS
Julius Erving,0.294,PHI
Robert Parish,0.19,BOS
Gus Williams,0.167,SEA
George Gervin,0.159,SAS
Sidney Moncrief,0.146,MIL
Magic Johnson,0.097,LAL
Jack Sikma,0.048,SEA
Kareem Abdul-Jabbar,0.045,LAL
Dan Roundfield,0.02,ATL
Kelly Tripucka,0.02,DET
Alex English,0.017,DEN
Bernard King,0.014,GSW
Adrian Dantley,0.01,UTA
Ray Williams,0.009,NJN
Michael Cooper,0.004,LAL
Dan Issel,0.004,DEN
Marques Johnson,0.004,MIL
Isiah Thomas,0.004,DET
Dennis Johnson,0.001,PHO
Mychal Thompson,0.001,POR
Jay Vincent,0.001,DAL
Jamaal Wilkes,0.001,LAL
Buck Williams,0.001,NJN
