Player,Share,Team
Julius Erving,0.658,PHI
Larry Bird,0.613,BOS
Kareem Abdul-Jabbar,0.414,LAL
Moses Malone,0.261,HOU
George Gervin,0.12,SAS
Marques Johnson,0.106,MIL
Robert Parish,0.077,BOS
Dennis Johnson,0.072,PHO
Tiny Archibald,0.046,BOS
Jamaal Wilkes,0.028,LAL
Magic Johnson,0.026,LAL
Adrian Dantley,0.022,UTA
Phil Ford,0.022,KCK
Bernard King,0.017,GSW
Kelvin Ransey,0.016,POR
Jack Sikma,0.016,SEA
Otis Birdsong,0.01,KCK
Michael Ray Richardson,0.01,NYK
Truck Robinson,0.009,PHO
Reggie Theus,0.009,CHI
Norm Nixon,0.007,LAL
Artis Gilmore,0.006,CHI
Bob Lanier,0.006,MIL
Michael Cooper,0.004,LAL
Walter Davis,0.004,PHO
George Johnson,0.004,SAS
Bobby Jones,0.004,PHI
Mike Mitchell,0.004,CLE
James Silas,0.004,SAS
Quinn Buckner,0.001,MIL
Caldwell Jones,0.001,PHI
