Player,Age,Tm,First,Pts Won,Pts Max,Share
Magic Johnson,27,LAL,65,733,780,0.94
Michael Jordan,23,CHI,10,449,780,0.576
Larry Bird,30,BOS,1,271,780,0.347
Kevin McHale,29,BOS,0,254,780,0.326
Dominique Wilkins,27,ATL,0,128,780,0.164
Charles Barkley,23,PHI,1,113,780,0.145
Hakeem Olajuwon,24,HOU,1,28,780,0.036
Isiah Thomas,25,DET,0,17,780,0.022
Fat Lever,26,DEN,0,11,780,0.014
Moses Malone,31,WSB,0,9,780,0.012
Steve Johnson,29,POR,0,4,780,0.005
Karl Malone,23,UTA,0,3,780,0.004
Robert Parish,33,BOS,0,3,780,0.004
Alex English,33,DEN,0,2,780,0.003
Mark Aguirre,27,DAL,0,1,780,0.001
Rolando Blackman,27,DAL,0,1,780,0.001
Joe Barry Carroll,28,GSW,0,1,780,0.001
