Player,Share,Team
Stephen Curry,1.0,GSW
Kawhi Leonard,0.484,SAS
LeBron James,0.482,CLE
Russell Westbrook,0.371,OKC
Kevin Durant,0.112,OKC
Chris Paul,0.082,LAC
Draymond Green,0.038,GSW
Damian Lillard,0.02,POR
James Harden,0.007,HOU
Kyle Lowry,0.005,TOR
