Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,Nikola Jokić,28,DEN,79,926,990,0.935,jokicni01
2,Shai Gilgeous-Alexander,25,OKC,15,640,990,0.646,gilgesh01
3,Luka Dončić,24,DAL,4,566,990,0.572,doncilu01
4,Giannis Antetokounmpo,29,MIL,1,192,990,0.194,antetgi01
5,Jalen Brunson,27,NYK,0,142,990,0.143,brunsja01
6,Jayson Tatum,25,BOS,0,86,990,0.087,tatumja01
7,Anthony Edwards,22,MIN,0,18,990,0.018,edwaran01
8,Domantas Sabonis,27,SAC,0,3,990,0.003,sabondo01
9,Kevin Durant,35,PHO,0,1,990,0.001,duranke01
