Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,Nikola Jokić,26,DEN,65,875,1000,0.875,jokicni01
2,Joel Embiid,27,PHI,26,706,1000,0.706,embiijo01
3,Giannis Antetokounmpo,27,MIL,9,595,1000,0.595,antetgi01
4,Devin Booker,25,PHO,0,216,1000,0.216,bookede01
5,Luka Dončić,22,DAL,0,146,1000,0.146,doncilu01
6,Jayson Tatum,23,BOS,0,43,1000,0.043,tatumja01
7,Ja Morant,22,MEM,0,10,1000,0.010,moranja01
8,Stephen Curry,33,GSW,0,4,1000,0.004,curryst01
9,Chris Paul,36,PHO,0,2,1000,0.002,paulch01
10T,DeMar DeRozan,32,CHI,0,1,1000,0.001,derozde01
10T,Kevin Durant,33,BRK,0,1,1000,0.001,duranke01
10T,LeBron James,37,LAL,0,1,1000,0.001,jamesle01
