Player,Age,Tm,First,Pts Won,Pts Max,Share
David Robinson,29,SAS,73,901,1050,0.858
Shaquille O'Neal,22,ORL,12,605,1050,0.576
Karl Malone,31,UTA,14,532,1050,0.507
Patrick Ewing,32,NYK,2,230,1050,0.219
Hakeem Olajuwon,32,HOU,1,147,1050,0.14
Charles Barkley,31,PHO,1,96,1050,0.091
Scottie Pippen,29,CHI,1,83,1050,0.079
John Stockton,32,UTA,1,47,1050,0.045
Gary Payton,26,SEA,0,34,1050,0.032
Anfernee Hardaway,23,ORL,0,23,1050,0.022
Michael Jordan,31,CHI,0,12,1050,0.011
Dennis Rodman,33,SAS,0,9,1050,0.009
Jason Kidd,21,DAL,0,7,1050,0.007
Clyde Drexler,32,TOT,0,3,1050,0.003
Cedric Ceballos,25,LAL,0,1,1050,0.001
