Player,Share,Team
LeBron James,0.969,CLE
Kobe Bryant,0.577,LAL
Dwyane Wade,0.562,MIA
Dwight Howard,0.271,ORL
Chris Paul,0.159,NOH
Chauncey Billups,0.027,DET
Chauncey Billups,0.027,DEN
Paul Pierce,0.017,BOS
Tony Parker,0.007,SAS
Brandon Roy,0.006,POR
Dirk Nowitzki,0.002,DAL
Tim Duncan,0.002,SAS
Yao Ming,0.001,HOU
