,Player,Age,Tm,First,Pts Won,Pts Max,Share
0,Giannis Antetokounmpo,24,MIL,78,941,1010,0.932
1,James Harden,29,HOU,23,776,1010,0.768
2,Paul George,28,OKC,0,356,1010,0.352
3,Nikola JokiÄ,23,DEN,0,212,1010,0.210
4,Stephen Curry,30,GSW,0,175,1010,0.173
5,Damian Lillard,28,POR,0,69,1010,0.068
6,Joel Embiid,24,PHI,0,49,1010,0.049
7,Kevin Durant,30,GSW,0,25,1010,0.025
8,Kawhi Leonard,27,TOR,0,13,1010,0.013
9,Russell Westbrook,30,OKC,0,8,1010,0.008
10,Rudy Gobert,26,UTA,0,1,1010,0.001
11,LeBron James,34,LAL,0,1,1010,0.001
