Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,James Harden,28,HOU,86,965,1010,0.955,hardeja01
2,LeBron James,33,CLE,15,738,1010,0.731,jamesle01
3,Anthony Davis,24,NOP,0,445,1010,0.441,davisan02
4,Damian Lillard,27,POR,0,207,1010,0.205,lillada01
5,Russell Westbrook,29,OKC,0,76,1010,0.075,westbru01
6,Giannis Antetokounmpo,23,MIL,0,75,1010,0.074,antetgi01
7,Kevin Durant,29,GSW,0,66,1010,0.065,duranke01
8,DeMar DeRozan,28,TOR,0,32,1010,0.032,derozde01
9,LaMarcus Aldridge,32,SAS,0,6,1010,0.006,aldrila01
10T,Jimmy Butler,28,MIN,0,5,1010,0.005,butleji01
10T,Stephen Curry,29,GSW,0,5,1010,0.005,curryst01
12,Joel Embiid,23,PHI,0,4,1010,0.004,embiijo01
13,Victor Oladipo,25,IND,0,2,1010,0.002,oladivi01
