Player,Share,Team
Russell Westbrook,0.879,OKC
James Harden,0.746,HOU
Kawhi Leonard,0.495,SAS
LeBron James,0.33,CLE
Isaiah Thomas,0.08,BOS
Stephen Curry,0.051,GSW
Giannis Antetokounmpo,0.007,MIL
John Wall,0.007,WAS
Anthony Davis,0.002,NOP
Kevin Durant,0.002,GSW
DeMar DeRozan,0.001,TOR
