Player,Share,Team
Kareem Abdul-Jabbar,0.665,LAL
Julius Erving,0.143,PHI
George Gervin,0.086,SAS
Larry Bird,0.068,BOS
Tiny Archibald,0.009,BOS
Dennis Johnson,0.009,SEA
Dan Roundfield,0.009,ATL
Gus Williams,0.007,SEA
Moses Malone,0.005,HOU
