Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,Stephen Curry,26,GSW,100,1198,1300,0.922,curryst01
2,James Harden,25,HOU,25,936,1300,0.720,hardeja01
3,LeBron James,30,CLE,5,552,1300,0.425,jamesle01
4,Russell Westbrook,26,OKC,0,352,1300,0.271,westbru01
5,Anthony Davis,21,NOP,0,203,1300,0.156,davisan02
6,Chris Paul,29,LAC,0,124,1300,0.095,paulch01
7,LaMarcus Aldridge,29,POR,0,6,1300,0.005,aldrila01
8T,Marc Gasol,30,MEM,0,3,1300,0.002,gasolma01
8T,Blake Griffin,25,LAC,0,3,1300,0.002,griffbl01
10T,Tim Duncan,38,SAS,0,1,1300,0.001,duncati01
10T,Kawhi Leonard,23,SAS,0,1,1300,0.001,leonaka01
10T,Klay Thompson,24,GSW,0,1,1300,0.001,thompkl01
