Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,Giannis Antetokounmpo,25,MIL,85,962,1010,0.952,antetgi01
2,LeBron James,35,LAL,16,753,1010,0.746,jamesle01
3,James Harden,30,HOU,0,367,1010,0.363,hardeja01
4,Luka Dončić,20,DAL,0,200,1010,0.198,doncilu01
5,Kawhi Leonard,28,LAC,0,168,1010,0.166,leonaka01
6,Anthony Davis,26,LAL,0,82,1010,0.081,davisan02
7,Chris Paul,34,OKC,0,26,1010,0.026,paulch01
8,Damian Lillard,29,POR,0,23,1010,0.023,lillada01
9,Nikola Jokić,24,DEN,0,18,1010,0.018,jokicni01
10,Pascal Siakam,25,TOR,0,17,1010,0.017,siakapa01
11,Jimmy Butler,30,MIA,0,9,1010,0.009,butleji01
12,Jayson Tatum,21,BOS,0,1,1010,0.001,tatumja01
