Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,Dirk Nowitzki,28,DAL,83,1138,1290,0.882,nowitdi01
2,Steve Nash,32,PHO,44,1013,1290,0.785,nashst01
3,Kobe Bryant,28,LAL,2,521,1290,0.404,bryanko01
4,Tim Duncan,30,SAS,0,286,1290,0.222,duncati01
5,LeBron James,22,CLE,0,183,1290,0.142,jamesle01
6,Tracy McGrady,27,HOU,0,110,1290,0.085,mcgratr01
7,Chris Bosh,22,TOR,0,43,1290,0.033,boshch01
8,Gilbert Arenas,25,WAS,0,31,1290,0.024,arenagi01
9T,Carlos Boozer,25,UTA,0,7,1290,0.005,boozeca01
9T,Kevin Garnett,30,MIN,0,7,1290,0.005,garneke01
11,Chauncey Billups,30,DET,0,4,1290,0.003,billuch01
12T,Shaquille O'Neal,34,MIA,0,3,1290,0.002,onealsh01
12T,Dwyane Wade,25,MIA,0,3,1290,0.002,wadedw01
14,Amar'e Stoudemire,24,PHO,0,2,1290,0.002,stoudam01
15T,Carmelo Anthony,22,DEN,0,1,1290,0.001,anthoca01
15T,Baron Davis,27,GSW,0,1,1290,0.001,davisba01
15T,Tony Parker,24,SAS,0,1,1290,0.001,parketo01
