Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Golden State Warriors,73-9,39-2,34-7,27-3,46-6,48-4,25-5,7-2,44-5
2,San Antonio Spurs,67-15,40-1,27-14,24-6,43-9,45-8,22-7,4-4,44-6
3,Cleveland Cavaliers,57-25,33-8,24-17,35-17,22-8,38-14,19-11,4-7,32-8
4,Toronto Raptors,56-26,32-9,24-17,39-13,17-13,35-17,21-9,6-6,28-10
5,Oklahoma City Thunder,55-27,32-9,23-18,18-12,37-15,40-14,15-13,8-6,33-5
6,Los Angeles Clippers,53-29,29-12,24-17,22-8,31-21,35-18,18-11,8-4,28-15
7,Atlanta Hawks,48-34,27-14,21-20,29-23,19-11,31-24,17-10,5-7,29-17
8,Boston Celtics,48-34,28-13,20-21,31-21,17-13,32-23,16-11,5-7,26-13
9,Charlotte Hornets,48-34,30-11,18-23,33-19,15-15,27-26,21-8,6-5,25-17
10,Miami Heat,48-34,28-13,20-21,31-21,17-13,29-24,19-10,7-5,24-20
11,Indiana Pacers,45-37,26-15,19-22,30-22,15-15,28-25,17-12,9-9,21-13
12,Detroit Pistons,44-38,26-15,18-23,29-23,15-15,27-27,17-11,6-5,21-20
13,Portland Trail Blazers,44-38,28-13,16-25,15-15,29-23,27-27,17-11,2-7,23-21
14,Dallas Mavericks,42-40,23-18,19-22,15-15,27-25,29-26,13-14,6-11,19-18
15,Memphis Grizzlies,42-40,26-15,16-25,17-13,25-27,31-22,11-18,8-3,15-23
16,Chicago Bulls,42-40,26-15,16-25,25-27,17-13,27-25,15-15,10-4,14-19
17,Houston Rockets,41-41,23-18,18-23,13-17,28-24,27-28,14-13,5-8,14-18
18,Washington Wizards,41-41,22-19,19-22,30-22,11-19,23-28,18-13,7-6,22-22
19,Utah Jazz,40-42,24-17,16-25,16-14,24-28,26-26,14-16,6-8,23-13
20,Orlando Magic,35-47,23-18,12-29,21-31,14-16,23-29,12-18,6-10,12-20
21,Denver Nuggets,33-49,18-23,15-26,15-15,18-34,22-32,11-17,10-5,11-21
22,Milwaukee Bucks,33-49,23-18,10-31,21-31,12-18,22-32,11-17,6-4,12-27
23,Sacramento Kings,33-49,18-23,15-26,14-16,19-33,22-31,11-18,8-4,11-19
24,New York Knicks,32-50,18-23,14-27,21-31,11-19,23-32,9-18,4-7,14-23
25,New Orleans Pelicans,30-52,21-20,9-32,10-20,20-32,20-33,10-19,5-5,11-23
26,Minnesota Timberwolves,29-53,14-27,15-26,11-19,18-34,17-37,12-16,7-7,9-23
27,Phoenix Suns,23-59,14-27,9-32,6-24,17-35,14-40,9-19,4-5,10-32
28,Brooklyn Nets,21-61,14-27,7-34,12-40,9-21,14-40,7-21,7-4,6-34
29,Los Angeles Lakers,17-65,12-29,5-36,9-21,8-44,11-44,6-21,2-7,4-44
30,Philadelphia 76ers,10-72,7-34,3-38,3-49,7-23,8-45,2-27,0-6,5-41
