Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,CLE,80.49,95.12,65.85,76.92,86.67,78.43,83.87,50.0,85.42
2,LAL,79.27,87.8,70.73,70.0,84.62,80.77,76.67,58.33,83.33
3,BOS,75.61,85.37,65.85,78.85,70.0,80.0,66.67,70.0,85.37
4,ORL,71.95,78.05,65.85,71.15,73.33,74.51,67.74,81.82,76.19
5,DEN,65.85,80.49,51.22,63.33,67.31,67.92,62.07,61.54,69.57
6,POR,65.85,82.93,48.78,73.33,61.54,61.54,73.33,90.0,73.81
7,SAS,65.85,68.29,63.41,60.0,69.23,68.63,61.29,63.16,68.42
8,HOU,64.63,80.49,48.78,60.0,67.31,60.38,72.41,38.46,72.5
9,DAL,60.98,78.05,43.9,70.0,55.77,59.62,63.33,71.43,66.67
10,NOH,59.76,68.29,51.22,63.33,57.69,60.0,59.38,88.89,57.5
11,UTA,58.54,80.49,36.59,50.0,63.46,56.6,62.07,25.0,63.41
12,ATL,57.32,75.61,39.02,57.69,56.67,59.62,53.33,41.67,58.06
13,PHO,56.1,68.29,43.9,53.33,57.69,54.9,58.06,62.5,52.27
14,MIA,52.44,68.29,36.59,53.85,50.0,53.85,50.0,53.85,48.48
15,CHI,50.0,68.29,31.71,46.15,56.67,43.4,62.07,33.33,48.65
16,PHI,50.0,58.54,41.46,48.08,53.33,52.94,45.16,40.0,44.12
17,DET,47.56,51.22,43.9,50.0,43.33,52.94,38.71,45.45,42.86
18,IND,43.9,60.98,26.83,44.23,43.33,38.89,53.57,42.86,37.5
19,CHA,42.68,56.1,29.27,38.46,50.0,40.38,46.67,50.0,43.75
20,MIL,41.46,53.66,29.27,40.38,43.33,47.27,29.63,62.5,43.24
21,NJN,41.46,46.34,36.59,44.23,36.67,45.28,34.48,42.86,42.86
22,TOR,40.24,43.9,36.59,42.31,36.67,38.18,44.44,42.86,38.46
23,NYK,39.02,48.78,29.27,38.46,40.0,40.38,36.67,20.0,37.5
24,GSW,35.37,51.22,19.51,36.67,34.62,35.19,35.71,33.33,34.21
25,MEM,29.27,39.02,19.51,33.33,26.92,28.85,30.0,33.33,22.45
26,MIN,29.27,26.83,31.71,36.67,25.0,33.33,22.58,42.86,20.59
27,OKC,28.05,36.59,19.51,26.67,28.85,24.53,34.48,43.75,15.0
28,LAC,23.17,26.83,19.51,30.0,19.23,24.53,20.69,33.33,19.61
29,WAS,23.17,31.71,14.63,19.23,30.0,20.75,27.59,58.33,16.67
30,SAC,20.73,26.83,14.63,3.33,30.77,20.37,21.43,12.5,15.38
