Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Boston Celtics,75.61,80.49,70.73,74.14,79.17,79.07,71.79,69.23,88.57
2,Los Angeles Lakers,65.85,68.29,63.41,68.18,65.0,61.9,70.0,54.55,66.67
3,Philadelphia 76ers,63.41,78.05,48.78,60.34,70.83,67.44,58.97,66.67,64.0
4,Milwaukee Bucks,60.98,73.17,48.78,60.34,62.5,55.81,66.67,45.45,66.67
5,Detroit Pistons,59.76,73.17,46.34,58.62,62.5,54.76,65.0,55.0,73.53
6,Portland Trail Blazers,58.54,80.49,36.59,54.55,60.0,60.0,56.76,53.33,71.43
7,New York Knicks,57.32,70.73,43.9,50.0,75.0,57.14,57.5,29.41,72.41
8,New Jersey Nets,54.88,70.73,39.02,56.9,50.0,50.0,60.53,64.71,59.26
9,Utah Jazz,54.88,75.61,34.15,45.45,58.33,62.79,46.15,60.0,54.29
10,Dallas Mavericks,52.44,75.61,29.27,31.82,60.0,56.82,47.37,52.0,59.26
11,Seattle SuperSonics,51.22,78.05,24.39,50.0,51.67,53.66,48.78,46.15,48.57
12,Phoenix Suns,50.0,75.61,24.39,36.36,55.0,44.19,56.41,36.36,56.82
13,Atlanta Hawks,48.78,75.61,21.95,55.17,33.33,54.55,42.11,58.82,42.42
14,Denver Nuggets,46.34,65.85,26.83,50.0,45.0,43.18,50.0,44.44,47.06
15,Kansas City Kings,46.34,63.41,29.27,54.55,43.33,40.48,52.5,52.38,38.71
16,Golden State Warriors,45.12,65.85,24.39,45.45,45.0,44.44,45.95,66.67,23.33
17,San Antonio Spurs,45.12,68.29,21.95,50.0,43.33,45.45,44.74,37.5,44.44
18,Washington Bullets,42.68,60.98,24.39,39.66,50.0,43.18,42.11,47.06,32.26
19,San Diego Clippers,36.59,60.98,12.2,31.82,38.33,34.88,38.46,41.67,29.41
20,Houston Rockets,35.37,51.22,19.51,36.36,35.0,40.91,28.95,45.45,35.71
21,Cleveland Cavaliers,34.15,56.1,12.2,34.48,33.33,28.57,40.0,38.46,25.0
22,Chicago Bulls,32.93,43.9,21.95,31.03,37.5,40.0,26.19,29.41,27.03
23,Indiana Pacers,31.71,48.78,14.63,29.31,37.5,29.27,34.15,38.89,28.57
