Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Sacramento Kings,74.39,87.8,60.98,80.0,71.15,75.51,72.73,85.71,72.22
2,Los Angeles Lakers,70.73,82.93,58.54,70.0,71.15,71.74,69.44,58.33,76.74
3,San Antonio Spurs,70.73,78.05,63.41,66.67,73.08,64.58,79.41,50.0,82.93
4,Dallas Mavericks,69.51,73.17,65.85,76.67,65.38,71.43,66.67,50.0,73.81
5,New Jersey Nets,63.41,80.49,46.34,64.81,60.71,68.09,57.14,60.0,65.0
6,Detroit Pistons,60.98,63.41,58.54,70.37,42.86,55.32,68.57,52.94,57.58
7,Minnesota Timberwolves,60.98,70.73,51.22,70.0,55.77,67.35,51.52,64.29,69.23
8,Boston Celtics,59.76,65.85,53.66,64.81,50.0,57.14,63.64,47.06,59.38
9,Portland Trail Blazers,59.76,73.17,46.34,73.33,51.92,52.08,70.59,35.71,54.05
10,Seattle SuperSonics,54.88,63.41,46.34,63.33,50.0,52.08,58.82,42.86,66.67
11,Charlotte Hornets,53.66,51.22,56.1,57.41,46.43,47.92,61.76,50.0,51.52
12,Orlando Magic,53.66,65.85,41.46,53.7,53.57,51.02,57.58,57.14,54.76
13,Utah Jazz,53.66,60.98,46.34,63.33,48.08,51.02,57.58,46.15,60.0
14,Philadelphia 76ers,52.44,53.66,51.22,57.41,42.86,51.02,54.55,37.5,59.38
15,Indiana Pacers,51.22,60.98,41.46,50.0,53.57,50.0,53.12,50.0,52.5
16,Toronto Raptors,51.22,58.54,43.9,53.7,46.43,58.0,40.62,65.0,50.0
17,Milwaukee Bucks,50.0,60.98,39.02,53.7,42.86,60.87,36.11,33.33,47.22
18,Los Angeles Clippers,47.56,60.98,34.15,53.33,44.23,49.02,45.16,33.33,46.34
19,Washington Wizards,45.12,53.66,36.59,46.3,42.86,55.32,31.43,53.85,45.16
20,Miami Heat,43.9,43.9,43.9,40.74,50.0,38.3,51.43,66.67,50.0
21,Phoenix Suns,43.9,56.1,31.71,40.0,46.15,50.0,35.29,56.25,47.22
22,Atlanta Hawks,40.24,56.1,24.39,38.89,42.86,32.65,51.52,52.94,23.53
23,New York Knicks,36.59,46.34,26.83,37.04,35.71,40.43,31.43,41.18,22.58
24,Cleveland Cavaliers,35.37,48.78,21.95,37.04,32.14,31.25,41.18,20.0,37.5
25,Houston Rockets,34.15,43.9,24.39,33.33,34.62,32.65,36.36,40.0,20.0
26,Denver Nuggets,32.93,48.78,17.07,26.67,36.54,31.11,35.14,57.89,23.08
27,Memphis Grizzlies,28.05,36.59,19.51,30.0,26.92,28.57,27.27,53.85,14.63
28,Chicago Bulls,25.61,34.15,17.07,24.07,28.57,23.4,28.57,66.67,7.5
29,Golden State Warriors,25.61,34.15,17.07,26.67,25.0,30.43,19.44,11.11,28.95
