Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Milwaukee Bucks,56-17,30-5,26-12,37-7,19-10,46-8,10-9,3-2,38-8
2,Toronto Raptors,53-19,26-10,27-9,34-11,19-8,40-15,13-4,6-4,23-10
3,Los Angeles Lakers,52-19,25-10,27-9,16-9,36-10,41-12,11-7,7-3,25-11
4,Los Angeles Clippers,49-23,27-9,22-14,17-7,32-16,37-18,12-5,8-3,32-8
5,Boston Celtics,48-24,26-10,22-14,30-13,18-11,38-16,10-8,6-5,29-7
6,Denver Nuggets,46-27,26-11,20-16,17-11,29-16,38-17,8-10,9-5,16-13
7,Indiana Pacers,45-28,25-11,20-17,28-19,17-9,32-23,13-5,5-7,20-12
8,Houston Rockets,44-28,24-12,20-16,16-9,28-19,34-20,10-8,4-5,22-14
9,Miami Heat,44-29,29-7,15-22,30-13,14-16,35-19,9-10,6-4,23-11
10,Oklahoma City Thunder,44-28,23-14,21-14,17-9,27-19,33-22,11-6,8-6,18-10
11,Utah Jazz,44-28,23-12,21-16,20-7,24-21,36-18,8-10,7-5,18-11
12,Dallas Mavericks,43-32,20-18,23-14,16-12,27-20,33-22,10-10,2-11,23-9
13,Philadelphia 76ers,43-30,31-4,12-26,28-18,15-12,34-21,9-9,6-5,19-15
14,Brooklyn Nets,35-37,20-16,15-21,23-23,12-14,25-28,10-9,7-7,17-19
15,Portland Trail Blazers,35-39,21-15,14-24,15-12,20-27,25-31,10-8,9-3,17-18
16,Memphis Grizzlies,34-39,20-17,14-22,14-13,20-26,28-26,6-13,3-4,18-21
17,Phoenix Suns,34-39,17-22,17-17,15-12,19-27,22-33,12-6,4-8,15-18
18,Orlando Magic,33-40,18-17,15-23,20-23,13-17,24-31,9-9,5-5,18-20
19,San Antonio Spurs,32-39,19-15,13-24,12-16,20-23,23-31,9-8,10-7,10-12
20,Sacramento Kings,31-41,16-19,15-22,8-18,23-23,21-33,10-8,6-8,12-18
21,New Orleans Pelicans,30-42,15-21,15-21,12-12,18-30,23-32,7-10,2-6,18-15
22,Washington Wizards,25-47,16-20,9-27,18-27,7-20,20-33,5-14,1-4,12-25
23,Charlotte Hornets,23-42,10-21,13-21,16-24,7-18,18-36,5-6,9-8,5-25
24,Chicago Bulls,22-43,14-20,8-23,15-28,7-15,19-36,3-7,6-6,7-19
25,New York Knicks,21-45,11-22,10-23,15-28,6-17,17-38,4-7,7-6,8-21
26,Atlanta Hawks,20-47,14-20,6-27,11-32,9-15,15-41,5-6,1-5,8-29
27,Detroit Pistons,20-46,11-22,9-24,12-31,8-15,19-38,1-8,4-6,9-26
28,Cleveland Cavaliers,19-46,11-25,8-21,12-32,7-14,14-40,5-6,5-5,6-28
29,Minnesota Timberwolves,19-45,8-24,11-21,10-15,9-30,16-37,3-8,3-4,10-21
30,Golden State Warriors,15-50,8-26,7-24,6-16,9-34,12-43,3-7,1-3,8-30
