Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Boston Celtics,64-18,37-4,27-14,41-11,23-7,43-12,21-6,6-7,42-5
2,Denver Nuggets,57-25,33-8,24-17,24-6,33-19,36-19,21-6,6-6,28-10
3,Oklahoma City Thunder,57-25,33-8,24-17,21-9,36-16,37-17,20-8,6-3,32-10
4,Minnesota Timberwolves,56-26,30-11,26-15,19-11,37-15,39-16,17-10,7-6,32-10
5,Los Angeles Clippers,51-31,25-16,26-15,21-9,30-22,36-17,15-14,6-4,28-17
6,Dallas Mavericks,50-32,25-16,25-16,19-11,31-21,32-23,18-9,5-2,31-21
7,New York Knicks,50-32,27-14,23-18,35-17,15-15,33-22,17-10,4-3,32-16
8,Milwaukee Bucks,49-33,31-11,18-22,34-18,15-15,35-21,14-12,4-6,25-16
9,New Orleans Pelicans,49-33,21-19,28-14,19-11,30-22,33-22,16-11,1-7,32-18
10,Phoenix Suns,49-33,25-16,24-17,20-10,29-23,33-22,16-11,8-6,29-14
11,Cleveland Cavaliers,48-34,26-15,22-19,31-21,17-13,36-17,12-17,9-5,24-16
12,Indiana Pacers,47-35,26-15,21-20,32-20,15-15,31-25,16-10,6-5,30-16
13,Los Angeles Lakers,47-35,28-14,19-21,20-10,27-25,30-26,17-9,11-4,20-25
14,Orlando Magic,47-35,29-12,18-23,32-20,15-15,30-25,17-10,6-9,27-20
15,Philadelphia 76ers,47-35,25-16,22-19,31-21,16-14,32-22,15-13,3-4,27-18
16,Miami Heat,46-36,22-19,24-17,32-20,14-16,30-25,16-11,8-4,21-15
17,Golden State Warriors,46-36,21-20,25-16,20-10,26-26,27-26,19-10,4-11,24-12
18,Sacramento Kings,46-36,24-17,22-19,16-14,30-22,31-23,15-13,6-5,26-19
19,Houston Rockets,41-41,27-14,14-27,13-17,28-24,24-30,17-11,8-5,23-17
20,Chicago Bulls,39-43,20-21,19-22,22-29,17-14,26-29,13-14,6-8,12-25
21,Atlanta Hawks,36-46,21-20,15-26,22-30,14-16,24-31,12-15,9-6,15-21
22,Brooklyn Nets,32-50,20-21,12-29,24-28,8-22,21-33,11-17,4-6,17-28
23,Utah Jazz,31-51,21-20,10-31,15-15,16-36,26-30,5-21,5-8,15-33
24,Memphis Grizzlies,27-55,9-32,18-23,13-18,14-37,20-36,7-19,6-3,11-31
25,Toronto Raptors,25-57,14-27,11-30,18-34,7-23,19-36,6-21,5-10,10-30
26,San Antonio Spurs,22-60,12-29,10-31,8-23,14-37,11-44,11-16,5-7,12-31
27,Charlotte Hornets,21-61,11-30,10-31,14-38,7-23,13-41,8-20,7-3,5-43
28,Portland Trail Blazers,21-61,11-30,10-31,13-17,8-44,15-39,6-22,5-6,5-38
29,Washington Wizards,15-67,7-34,8-33,11-41,4-26,9-45,6-22,4-5,6-35
30,Detroit Pistons,14-68,7-33,7-35,10-41,4-27,8-46,6-22,1-7,8-39
