Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,BOS,75.61,85.37,65.85,72.41,83.33,81.13,65.52,64.71,76.32
2,PHI,75.61,90.24,60.98,72.41,83.33,81.48,64.29,61.54,84.44
3,MIL,73.17,82.93,63.41,70.69,79.17,73.58,72.41,58.33,80.0
4,PHO,69.51,87.8,51.22,59.09,73.33,71.93,64.0,69.23,78.26
5,LAL,65.85,73.17,58.54,68.18,65.0,66.67,64.29,50.0,67.86
6,SAS,63.41,82.93,43.9,54.55,66.67,62.96,64.29,77.78,56.76
7,NYK,60.98,68.29,53.66,62.07,58.33,58.49,65.52,77.27,59.38
8,CHI,54.88,63.41,46.34,58.62,45.83,50.0,64.29,50.0,63.41
9,POR,54.88,73.17,36.59,54.55,55.0,50.0,64.29,55.56,48.48
10,IND,53.66,65.85,41.46,55.17,50.0,57.41,46.43,31.58,53.12
11,HOU,48.78,60.98,36.59,36.36,53.33,45.28,55.17,46.15,50.0
12,KCK,48.78,58.54,39.02,45.45,50.0,44.44,57.14,52.38,44.83
13,GSW,47.56,63.41,31.71,50.0,46.67,51.92,40.0,43.48,39.13
14,WSB,47.56,63.41,31.71,39.66,66.67,48.15,46.43,27.27,54.9
15,DEN,45.12,56.1,34.15,40.91,46.67,38.46,56.67,44.0,55.17
16,SDC,43.9,53.66,34.15,31.82,48.33,43.4,44.83,33.33,44.44
17,SEA,41.46,53.66,29.27,50.0,38.33,40.38,43.33,52.63,35.48
18,ATL,37.8,48.78,26.83,31.03,54.17,35.85,41.38,28.0,33.33
19,CLE,34.15,48.78,19.51,32.76,37.5,40.74,21.43,43.75,30.77
20,UTA,34.15,48.78,19.51,27.27,36.67,41.82,18.52,64.71,18.42
21,NJN,29.27,39.02,19.51,27.59,33.33,26.79,34.62,52.94,21.95
22,DET,25.61,34.15,17.07,27.59,20.83,23.64,29.63,38.1,18.18
23,DAL,18.29,26.83,9.76,13.64,20.0,15.09,24.14,33.33,10.26
