Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Houston Rockets,65-17,34-7,31-10,24-6,41-11,44-13,21-4,5-3,38-8
2,Toronto Raptors,59-23,34-7,25-16,40-12,19-11,41-16,18-7,5-7,33-5
3,Golden State Warriors,58-24,29-12,29-12,24-6,34-18,44-14,14-10,5-1,38-13
4,Boston Celtics,55-27,27-14,28-13,33-19,22-8,40-19,15-8,11-8,25-9
5,Philadelphia 76ers,52-30,30-11,22-19,34-18,18-12,30-25,22-5,4-7,31-11
6,Cleveland Cavaliers,50-32,29-12,21-20,35-17,15-15,34-22,16-10,8-5,17-20
7,Portland Trail Blazers,49-33,28-13,21-20,18-12,31-21,32-26,17-7,8-8,20-12
8,Indiana Pacers,48-34,27-14,21-20,32-20,16-14,33-25,15-9,11-2,20-16
9,New Orleans Pelicans,48-34,24-17,24-17,21-9,27-25,31-26,17-8,7-3,19-16
10,Oklahoma City Thunder,48-34,27-14,21-20,20-10,28-24,33-26,15-8,8-10,24-11
11,Utah Jazz,48-34,28-13,20-21,14-16,34-18,30-28,18-6,4-5,31-19
12,Minnesota Timberwolves,47-35,30-11,17-24,13-17,34-18,36-25,11-10,7-7,25-12
13,San Antonio Spurs,47-35,33-8,14-27,18-12,29-23,35-24,12-11,8-10,25-17
14,Denver Nuggets,46-36,31-10,15-26,18-12,28-24,32-26,14-10,10-5,21-15
15,Miami Heat,44-38,26-15,18-23,31-21,13-17,30-28,14-10,9-9,16-13
16,Milwaukee Bucks,44-38,25-16,19-22,27-25,17-13,32-25,12-13,7-4,14-16
17,Washington Wizards,43-39,23-18,20-21,28-24,15-15,33-24,10-15,5-7,22-12
18,Los Angeles Clippers,42-40,22-19,20-21,18-12,24-28,30-26,12-14,8-2,22-19
19,Detroit Pistons,39-43,25-16,14-27,24-28,15-15,28-29,11-14,4-7,19-23
20,Charlotte Hornets,36-46,21-20,15-26,22-30,14-16,24-33,12-13,1-5,23-23
21,Los Angeles Lakers,35-47,20-21,15-26,16-14,19-33,23-34,12-13,6-7,18-21
22,New York Knicks,29-53,19-22,10-31,17-35,12-18,23-36,6-17,2-7,15-30
23,Brooklyn Nets,28-54,15-26,13-28,19-33,9-21,19-40,9-14,5-7,9-27
24,Chicago Bulls,27-55,17-24,10-31,21-31,6-24,20-37,7-18,9-5,6-30
25,Sacramento Kings,27-55,14-27,13-28,13-17,14-38,18-39,9-16,6-5,5-32
26,Orlando Magic,25-57,17-24,8-33,15-37,10-20,18-39,7-18,3-5,10-27
27,Atlanta Hawks,24-58,16-25,8-33,12-40,12-18,18-41,6-17,6-8,8-35
28,Dallas Mavericks,24-58,15-26,9-32,10-20,14-38,18-40,6-18,2-9,11-20
29,Memphis Grizzlies,22-60,16-25,6-35,4-26,18-34,18-38,4-22,5-12,8-26
30,Phoenix Suns,21-61,10-31,11-30,6-24,15-37,18-41,3-20,6-5,5-40
