Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Los Angeles Lakers,75.61,87.8,63.41,72.73,76.67,81.4,69.23,60.0,76.32
2,Boston Celtics,69.51,87.8,51.22,67.24,75.0,71.11,67.57,81.82,71.11
3,Denver Nuggets,65.85,85.37,46.34,68.18,65.0,60.47,71.79,62.5,65.31
4,Detroit Pistons,65.85,82.93,48.78,67.24,62.5,60.98,70.73,38.46,74.47
5,Dallas Mavericks,64.63,80.49,48.78,54.55,68.33,65.12,64.1,50.0,65.91
6,Portland Trail Blazers,64.63,80.49,48.78,63.64,65.0,61.9,67.5,66.67,66.67
7,Atlanta Hawks,60.98,73.17,48.78,60.34,62.5,66.67,54.05,47.62,64.29
8,Chicago Bulls,60.98,73.17,48.78,58.62,66.67,60.0,62.16,50.0,67.57
9,Utah Jazz,57.32,80.49,34.15,40.91,63.33,50.0,65.79,43.75,68.29
10,Houston Rockets,56.1,75.61,36.59,59.09,55.0,59.52,52.5,33.33,54.29
11,Seattle SuperSonics,53.66,78.05,29.27,59.09,51.67,55.56,51.35,60.0,55.81
12,Cleveland Cavaliers,51.22,75.61,26.83,51.72,50.0,51.11,51.35,50.0,59.46
13,Milwaukee Bucks,51.22,73.17,29.27,48.28,58.33,52.38,50.0,52.94,53.85
14,New York Knicks,46.34,70.73,21.95,46.55,45.83,36.36,57.89,55.0,50.0
15,Washington Bullets,46.34,60.98,31.71,44.83,50.0,40.48,52.5,41.67,42.11
16,Indiana Pacers,46.34,60.98,31.71,43.1,54.17,50.0,42.11,55.0,44.44
17,Philadelphia 76ers,43.9,65.85,21.95,43.1,45.83,46.51,41.03,21.43,41.46
18,San Antonio Spurs,37.8,56.1,19.51,27.27,41.67,43.9,31.71,61.54,23.08
19,Phoenix Suns,34.15,53.66,14.63,31.82,35.0,30.95,37.5,40.0,31.71
20,Sacramento Kings,29.27,46.34,12.2,22.73,31.67,32.56,25.64,58.82,23.68
21,Golden State Warriors,24.39,39.02,9.76,22.73,25.0,23.81,25.0,37.5,17.07
22,New Jersey Nets,23.17,39.02,7.32,18.97,33.33,22.73,23.68,23.08,17.07
23,Los Angeles Clippers,20.73,34.15,7.32,18.18,21.67,23.81,17.5,58.33,12.24
